Cor C	Cor B	Value	Error
-550.0	-400.0	0.0004851	0.775
-544.5	-400.0	0.000201709	0.4108
-539.0	-400.0	0.000116171	0.213
-533.5	-400.0	0.000544397	0.5217
-528.0	-400.0	0.000894438	0.5418
-522.5	-400.0	0.00030469	0.4816
-517.0	-400.0	0.000160037	0.174
-511.5	-400.0	0.000278634	0.5552
-506.0	-400.0	0.000772034	0.6207
-500.5	-400.0	0.000583333	0.5124
-495.0	-400.0	0.000187079	0.2906
-489.5	-400.0	0.000250827	0.142
-484.0	-400.0	0.000270014	0.129
-478.5	-400.0	0.000415908	0.284
-473.0	-400.0	0.000476345	0.4104
-467.5	-400.0	0.000746806	0.5309
-462.0	-400.0	0.000995007	0.4308
-456.5	-400.0	0.000857698	0.3741
-451.0	-400.0	0.000807944	0.4176
-445.5	-400.0	0.00103672	0.3567
-440.0	-400.0	0.000925795	0.2831
-434.5	-400.0	0.000617702	0.2215
-429.0	-400.0	0.00102051	0.3724
-423.5	-400.0	0.00128486	0.3646
-418.0	-400.0	0.000607394	0.2923
-412.5	-400.0	0.00126349	0.4356
-407.0	-400.0	0.00186175	0.3639
-401.5	-400.0	0.00189544	0.4043
-396.0	-400.0	0.00149641	0.2707
-390.5	-400.0	0.00114707	0.391
-385.0	-400.0	0.000922963	0.2299
-379.5	-400.0	0.00213441	0.3892
-374.0	-400.0	0.00228117	0.3202
-368.5	-400.0	0.000919692	0.2698
-363.0	-400.0	0.00167556	0.3232
-357.5	-400.0	0.00129303	0.2917
-352.0	-400.0	0.00162483	0.3508
-346.5	-400.0	0.00138755	0.3179
-341.0	-400.0	0.0028329	0.3828
-335.5	-400.0	0.00177459	0.378
-330.0	-400.0	0.00167246	0.2959
-324.5	-400.0	0.00174783	0.2354
-319.0	-400.0	0.00185697	0.3139
-313.5	-400.0	0.00139615	0.2632
-308.0	-400.0	0.00094465	0.1982
-302.5	-400.0	0.00144628	0.3012
-297.0	-400.0	0.00197149	0.2614
-291.5	-400.0	0.00104712	0.1611
-286.0	-400.0	0.00343143	0.2652
-280.5	-400.0	0.00210937	0.2573
-275.0	-400.0	0.00260789	0.2452
-269.5	-400.0	0.00309415	0.2662
-264.0	-400.0	0.00212574	0.1881
-258.5	-400.0	0.00369209	0.2724
-253.0	-400.0	0.0022001	0.2817
-247.5	-400.0	0.00175548	0.2448
-242.0	-400.0	0.00242943	0.2379
-236.5	-400.0	0.00321043	0.2838
-231.0	-400.0	0.00448879	0.2087
-225.5	-400.0	0.00355849	0.2734
-220.0	-400.0	0.00308359	0.2588
-214.5	-400.0	0.00442633	0.2863
-209.0	-400.0	0.00556875	0.2306
-203.5	-400.0	0.00585389	0.2439
-198.0	-400.0	0.00459057	0.2016
-192.5	-400.0	0.00655533	0.2021
-187.0	-400.0	0.0100443	0.2043
-181.5	-400.0	0.00900183	0.2549
-176.0	-400.0	0.00715963	0.1751
-170.5	-400.0	0.0103537	0.2254
-165.0	-400.0	0.00689275	0.1579
-159.5	-400.0	0.010745	0.1636
-154.0	-400.0	0.0120731	0.1666
-148.5	-400.0	0.00946919	0.1702
-143.0	-400.0	0.0133722	0.183
-137.5	-400.0	0.0125848	0.1574
-132.0	-400.0	0.0143065	0.1434
-126.5	-400.0	0.0198524	0.3053
-121.0	-400.0	0.0112985	0.1572
-115.5	-400.0	0.0179737	0.1976
-110.0	-400.0	0.0165416	0.139
-104.5	-400.0	0.016408	0.1752
-99.0	-400.0	0.0140817	0.1412
-93.5	-400.0	0.0179686	0.1395
-88.0	-400.0	0.0232616	0.1367
-82.5	-400.0	0.0199846	0.1536
-77.0	-400.0	0.0226907	0.1296
-71.5	-400.0	0.0236937	0.3066
-66.0	-400.0	0.0201748	0.1581
-60.5	-400.0	0.0157971	0.1259
-55.0	-400.0	0.0222847	0.1412
-49.5	-400.0	0.0236039	0.1184
-44.0	-400.0	0.0218168	0.1383
-38.5	-400.0	0.0240913	0.1258
-33.0	-400.0	0.0253456	0.1344
-27.5	-400.0	0.0246963	0.1416
-22.0	-400.0	0.0205245	0.1147
-16.5	-400.0	0.0230665	0.1476
-11.0	-400.0	0.0238229	0.1703
-5.5	-400.0	0.0319921	0.1695
0.0	-400.0	0.0225366	0.1261
5.5	-400.0	0.0270057	0.1099
11.0	-400.0	0.0210705	0.1353
16.5	-400.0	0.0254392	0.1152
22.0	-400.0	0.0252644	0.1229
