Parent,Nuclide,Atoms_EOB,Atoms_after_cooling,Activity_EOB_Bq,Activity_after_cooling_Bq
Na24,"Nuclide: Na-24, decay dataset: icrp107_ame2020_nubase2020",27621.30750784576,9083.97911394264,0.35552048604040926,0.11692207795928818
Na24,"Nuclide: Mg-24, decay dataset: icrp107_ame2020_nubase2020",-27621.30750784576,-36705.2866217884,-0.0,-0.0
Li7,"Nuclide: Li-7, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Be9,"Nuclide: Be-9, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ar44,"Nuclide: Ar-44, decay dataset: icrp107_ame2020_nubase2020",2531758.929702943,7.659456246151716e-31,2464.0291547052234,7.4545499882649884e-34
Ar44,"Nuclide: K-44, decay dataset: icrp107_ame2020_nubase2020",-5460800.691379501,-1.410010236344106e-13,-2850.6842919336505,-7.360631268885218e-17
Ar44,"Nuclide: Ca-44, decay dataset: icrp107_ame2020_nubase2020",2929041.761676557,2929041.761676557,0.0,0.0
K45,"Nuclide: K-45, decay dataset: icrp107_ame2020_nubase2020",1256681.679997992,1.1025372591139576e-19,839.1766506280767,7.362433454885641e-23
K45,"Nuclide: Ca-45, decay dataset: icrp107_ame2020_nubase2020",-1256774.4979203418,-1251430.6953523897,-0.06198143280257277,-0.06171788787838484
K45,"Nuclide: Sc-45, decay dataset: icrp107_ame2020_nubase2020",92.81792234990131,1251523.5132747395,0.0,0.0
K46,"Nuclide: K-46, decay dataset: icrp107_ame2020_nubase2020",1267026.342115535,2.5009412963309067e-242,8364.149873643464,1.6509718174263834e-244
K46,"Nuclide: Ca-46, decay dataset: icrp107_ame2020_nubase2020",-1267026.342115535,-1267026.342115535,-0.0,-0.0
Ca46,"Nuclide: Ca-46, decay dataset: icrp107_ame2020_nubase2020",0.0,0.0,0.0,0.0
Ca47,"Nuclide: Ca-47, decay dataset: icrp107_ame2020_nubase2020",16032.252879074565,13760.363828526233,0.028355233444059155,0.024337086719877846
Ca47,"Nuclide: Sc-47, decay dataset: icrp107_ame2020_nubase2020",45243.71556736701,75617.86798450016,0.10837494734638313,0.18113195078029426
Ca47,"Nuclide: Ti-47, decay dataset: icrp107_ame2020_nubase2020",-61275.96844644156,-150654.20025946794,-0.0,-0.0
Sc48,"Nuclide: Sc-48, decay dataset: icrp107_ame2020_nubase2020",39589.75861701382,27048.543359011914,0.1745511129203364,0.11925693692308818
Sc48,"Nuclide: Ti-48, decay dataset: icrp107_ame2020_nubase2020",-39589.75861701382,-66638.30197602573,-0.0,-0.0
