parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number_after_irradiation,atom_number_after_cooling,activity_after_cooling_Bq,is_stable,decay_constant,half_life,half_life_seconds,cooling_time_hours
Na24,Na24,1e-09,Na24,Na24,242455562684.81085,3588815.184593197,46.19250259508386,False,1.2871240289382558e-05,14.96 小时,53852.4,240.0
Na24,Na24,1e-09,Mg24,Mg-24,,,0.0,True,0.0,稳定,inf,240.0
Li7,Li7,1.62e-08,Li7,Li7,43680513600000.0,43680513600000.0,0.0,True,0.0,稳定,inf,240.0
Be9,Be9,8.12e-09,Be9,Be9,21894183359999.996,21894183359999.996,0.0,True,0.0,稳定,inf,240.0
Ar44,Ar44,8.12e-09,Ar44,Ar44,26037034390.61915,0.0,0.0,False,0.0009732479367592605,11.87 分钟,712.1999999999999,240.0
Ar44,Ar44,8.12e-09,K44,K-44,104702310341.0338,1.3791632020812367e-185,7.19960148406865e-189,False,0.0005220267966259567,22.13 分钟,1327.8,240.0
Ar44,Ar44,8.12e-09,Ca44,Ca-44,,,0.0,True,0.0,稳定,inf,240.0
K45,K45,4.06e-09,K45,K45,18973913014.22541,5.126687138612085e-241,3.42345735620607e-244,False,0.000667771850250429,17.30 分钟,1038.0,240.0
K45,K45,4.06e-09,Ca45,Ca-45,10717929708306.02,10270825278937.463,506535.15639189695,False,4.931786323253461e-08,162.67 天,14054687.999999998,240.0
K45,K45,4.06e-09,Sc45,Sc-45,,,0.0,True,0.0,稳定,inf,240.0
K46,K46,4.06e-09,K46,K46,1919326460.976559,0.0,0.0,False,0.006601401719618527,1.75 分钟,105.0,240.0
K46,K46,4.06e-09,Ca46,Ca-46,,,0.0,True,0.0,稳定,inf,240.0
Ca46,Ca46,1.22e-08,Ca46,Ca46,32895201600000.0,32895201600000.0,0.0,True,0.0,稳定,inf,240.0
Ca47,Ca47,4.06e-09,Ca47,Ca47,5609672462973.874,1217001544880.7905,2152433.7949980856,False,1.7686368633237223e-06,4.54 天,391910.39999999997,240.0
Ca47,Ca47,4.06e-09,Sc47,Sc-47,14163286952043.094,1787937818138.032,4282753.18393778,False,2.3953591341324507e-06,3.35 天,289370.88,240.0
Ca47,Ca47,4.06e-09,Ti47,Ti-47,,,0.0,True,0.0,稳定,inf,240.0
Sc48,Sc48,4.06e-09,Sc48,Sc48,2810037558771.4185,62276243388.02207,274575.74816345086,False,4.408996645039471e-06,1.82 天,157212.0,240.0
Sc48,Sc48,4.06e-09,Ti48,Ti-48,,,0.0,True,0.0,稳定,inf,240.0
Sc49,Sc49,8.12e-09,Sc49,Sc49,125469112648.98192,2.0642471533557065e-65,4.1690766151730797e-69,False,0.00020196596170161577,57.20 分钟,3432.0,240.0
Sc49,Sc49,8.12e-09,Ti49,Ti-49,,,0.0,True,0.0,稳定,inf,240.0
Sc50,Sc50,8.12e-09,Sc50,Sc50,3747256423.8113775,0.0,0.0,False,0.006762411517658003,1.71 分钟,102.5,240.0
Sc50,Sc50,8.12e-09,Ti50,Ti-50,,,0.0,True,0.0,稳定,inf,240.0
Ti44,Ti44,8.12e-09,Ti44,Ti44,21890721207220.727,21883798361556.832,8011.28575060474,False,3.660829632152949e-10,60.04 年,1893415564.8000002,240.0
Ti44,Ti44,8.12e-09,Sc44,Sc-44,2.6077138813786945e+26,165185927.925806,8011.346222358715,False,4.849896309543418e-05,3.97 小时,14292.0,240.0
Ti44,Ti44,8.12e-09,Ca44,Ca-44,,,0.0,True,0.0,稳定,inf,240.0
Ti50,Ti50,4.06e-09,Ti50,Ti50,10947091679999.998,10947091679999.998,0.0,True,0.0,稳定,inf,240.0
Ti51,Ti51,2.03e-08,Ti51,Ti51,31586629757.785656,0.0,0.0,False,0.0020056342030091013,5.76 分钟,345.59999999999997,240.0
Ti51,Ti51,2.03e-08,V51,V-51,,,0.0,True,0.0,稳定,inf,240.0
Ti52,Ti52,4.47e-08,Ti52,Ti52,20527743528.445988,0.0,0.0,False,0.006795560593724954,1.70 分钟,102.0,240.0
Ti52,Ti52,4.47e-08,V52,V-52,,0.0,0.0,False,0.003086415444651996,3.74 分钟,224.57999999999998,240.0
