nuclide,original_nuclide,total_atom_number_irradiation,total_atom_number_cooling,decay_ratio_percent,total_activity_cooling_Bq,total_activity_cooling_GBq,is_stable,decay_constant,half_life,half_life_seconds
Th232,Th-232,1.93E+20,1.93E+20,1.35E-10,3.01E+02,3.01E-07,不稳定,1.56E-18,14059323041.10 年,4.43E+17
Th228,Th-228,1.95E+20,1.93E+20,9.88E-01,2.21E+12,2.21E+03,不稳定,1.15E-08,1.91 年,6.03E+07
Pa231,Pa-231,1.18E+19,1.18E+19,5.79E-05,7.94E+06,7.94E-03,不稳定,6.70E-13,32781.74 年,1.03E+12
Th230,Th-230,9.15E+18,9.15E+18,2.52E-05,2.67E+06,2.67E-03,不稳定,2.91E-13,75430.02 年,2.38E+12
Th229,Th229,8.13E+18,8.13E+18,2.59E-04,2.43E+07,2.43E-02,不稳定,2.99E-12,7344.87 年,2.32E+11
Cs135,Cs-135,2.65E+18,2.65E+18,8.25E-07,2.53E+04,2.53E-05,不稳定,9.55E-15,2301526.19 年,7.26E+13
Th227,Th-227,3.82E+18,2.63E+18,3.10E+01,1.13E+12,1.13E+03,不稳定,4.29E-07,18.68 天,1.61E+06
Pd107,Pd-107,2.32E+18,2.32E+18,2.92E-07,7.85E+03,7.85E-06,不稳定,3.38E-15,6504313.15 年,2.05E+14
I129,I-129,2.31E+18,2.31E+18,1.21E-07,3.24E+03,3.24E-06,不稳定,1.40E-15,15710417.92 年,4.95E+14
Zr93,Zr-93,2.28E+18,2.28E+18,1.24E-06,3.27E+04,3.27E-05,不稳定,1.44E-14,1531015.25 年,4.83E+13
Sr89,Sr-89,2.48E+18,2.16E+18,1.28E+01,3.44E+11,3.44E+02,不稳定,1.59E-07,50.53 天,4.37E+06
Cs137,Cs-137,2.05E+18,2.04E+18,6.29E-02,1.49E+09,1.49E+00,不稳定,7.28E-10,30.19 年,9.52E+08
Sr90,Sr-90,2.02E+18,2.02E+18,6.59E-02,1.54E+09,1.54E+00,不稳定,7.63E-10,28.81 年,9.09E+08
U232,U-232,1.89E+18,1.88E+18,2.75E-02,6.01E+08,6.01E-01,不稳定,3.19E-10,68.95 年,2.17E+09
Zr95,Zr-95,2.03E+18,1.82E+18,1.03E+01,2.28E+11,2.28E+02,不稳定,1.25E-07,64.03 天,5.53E+06
Ac227,Ac-227,1.78E+18,1.78E+18,8.71E-02,1.80E+09,1.80E+00,不稳定,1.01E-09,21.79 年,6.87E+08
Sb125,Sb-125,1.75E+18,1.74E+18,6.86E-01,1.39E+10,1.39E+01,不稳定,7.96E-09,2.76 年,8.71E+07
Ra223,Ra-223,3.05E+18,1.66E+18,4.55E+01,1.17E+12,1.17E+03,不稳定,7.02E-07,11.43 天,9.88E+05
Ru106,Ru106,1.65E+18,1.62E+18,1.84E+00,3.47E+10,3.47E+01,不稳定,2.15E-08,1.02 年,3.23E+07
Tc99,Tc-99,1.55E+18,1.55E+18,8.99E-06,1.62E+05,1.62E-04,不稳定,1.04E-13,211240.08 年,6.66E+12
Rb87,Rb-87,1.51E+18,1.51E+18,3.85E-11,6.75E-01,6.75E-10,不稳定,4.46E-19,49262667139.73 年,1.55E+18
Sn124,Sn124,1.36E+18,1.36E+18,0.00E+00,0.00E+00,0.00E+00,稳定,0.00E+00,稳定,inf
Pa230,Pa230,1.99E+18,1.34E+18,3.29E+01,6.18E+11,6.18E+02,不稳定,4.61E-07,17.40 天,1.50E+06
Ac225,Ac-225,2.62E+18,1.31E+18,5.00E+01,1.05E+12,1.05E+03,不稳定,8.02E-07,10.00 天,8.64E+05
Ce141,Ce-141,1.44E+18,1.16E+18,1.92E+01,2.87E+11,2.87E+02,不稳定,2.47E-07,32.51 天,2.81E+06
Sn123,Sn123,1.06E+18,1.00E+18,5.22E+00,6.21E+10,6.21E+01,不稳定,6.21E-08,129.20 天,1.12E+07
Sn126,Sn126,7.28E+17,7.28E+17,8.25E-06,6.95E+04,6.95E-05,不稳定,9.55E-14,230152.62 年,7.26E+12
Ba140,Ba-140,1.19E+18,6.93E+17,4.19E+01,4.36E+11,4.36E+02,不稳定,6.29E-07,12.75 天,1.10E+06
Y91,Y-91,7.71E+17,6.85E+17,1.12E+01,9.39E+10,9.39E+01,不稳定,1.37E-07,58.51 天,5.06E+06
Sb124,Sb124,7.26E+17,6.47E+17,1.09E+01,8.62E+10,8.62E+01,不稳定,1.33E-07,60.20 天,5.20E+06
Kr85,Kr-85,6.47E+17,6.46E+17,1.76E-01,1.32E+09,1.32E+00,不稳定,2.04E-09,10.76 年,3.39E+08
Pr143,Pr-143,1.05E+18,6.31E+17,4.00E+01,3.73E+11,3.73E+02,不稳定,5.91E-07,13.57 天,1.17E+06
I131,I-131,1.48E+18,6.26E+17,5.79E+01,6.26E+11,6.26E+02,不稳定,1.00E-06,8.02 天,6.93E+05
Ce144,Ce144,5.67E+17,5.54E+17,2.40E+00,1.56E+10,1.56E+01,不稳定,2.82E-08,284.91 天,2.46E+07
Pa233,Pa-233,6.97E+17,5.39E+17,2.27E+01,1.60E+11,1.60E+02,不稳定,2.97E-07,26.97 天,2.33E+06
Cs136,Cs136,8.32E+17,4.91E+17,4.09E+01,3.00E+11,3.00E+02,不稳定,6.10E-07,13.16 天,1.14E+06
Sb126,Sb-126,8.41E+17,4.80E+17,4.30E+01,3.12E+11,3.12E+02,不稳定,6.50E-07,12.35 天,1.07E+06
Cs134,Cs134,4.48E+17,4.44E+17,9.15E-01,4.72E+09,4.72E+00,不稳定,1.06E-08,2.07 年,6.52E+07
Xe133,Xe-133,1.57E+18,4.18E+17,7.33E+01,6.40E+11,6.40E+02,不稳定,1.53E-06,5.24 天,4.53E+05
Se79,Se-79,4.02E+17,4.02E+17,6.43E-06,3.00E+04,3.00E-05,不稳定,7.45E-14,295195.75 年,9.31E+12
Ag111,Ag-111,9.69E+17,3.82E+17,6.06E+01,4.11E+11,4.11E+02,不稳定,1.08E-06,7.45 天,6.44E+05
Nb95,Nb-95,4.38E+17,3.60E+17,1.80E+01,8.24E+10,8.24E+01,不稳定,2.29E-07,34.99 天,3.02E+06
