nuclide,original_nuclide,total_atom_number_EOL,total_atom_number_cooled,total_activity_EOL_Bq,total_activity_EOL_GBq,total_activity_cooled_Bq,total_activity_cooled_GBq,is_stable,decay_constant,half_life,half_life_seconds
Th232,Th-232,1.9279183663562244e+20,1.9279183663554432e+20,301.3998868581682,3.013998868581682e-07,301.3998868580461,3.013998868580461e-07,不稳定,1.5633436151542845e-18,14059323041.10 年,4.43374811424e+17
Pa231,Pa-231,1.0492869397608974e+19,1.049286757406558e+19,7035276.047083846,0.007035276047083846,7035274.824431522,0.0070352748244315215,不稳定,6.704816176104303e-13,32781.74 年,1033804898380.8
Th228,Th-228,9.592878402316403e+18,9.564350416246479e+18,110225654465.91315,110.22565446591315,109897857552.07,109.89785755207001,不稳定,1.1490362938333175e-08,1.91 年,60324219.894528
Th230,Th-230,8.552201037673469e+18,8.552200391740403e+18,2492025.814182348,0.002492025814182348,2492025.6259639156,0.0024920256259639154,不稳定,2.9138999459959797e-13,75430.02 年,2378761087910.4
Th229,Th229,7.629746025435529e+18,7.629740107372052e+18,22832043.871157143,0.022832043871157143,22832026.161329783,0.022832026161329785,不稳定,2.9925037865010483e-12,7344.87 年,231627837427.2
Th227,Th-227,3.811835813806276e+18,3.4102710455587215e+18,1637076720433.5972,1637.076720433597,1464615899465.5632,1464.6158994655632,不稳定,4.294719920790366e-07,18.68 天,1613952.0
Cd114,Cd-114,3.5614850539832694e+18,3.5614850539832694e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Pd108,Pd-108,3.326107067615048e+18,3.326107067615048e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Cd116,Cd-116,2.857723252821944e+18,2.857723252821944e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Zr94,Zr-94,2.8292640096358533e+18,2.8292640096358533e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Sn118,Sn-118,2.794748297282931e+18,2.794748297282931e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Sn119,Sn-119,2.6091208732893117e+18,2.6091208732893117e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Cs135,Cs-135,2.5660478093447434e+18,2.5660478029928576e+18,24505.731803401042,2.4505731803401043e-05,24505.731742740594,2.4505731742740596e-05,不稳定,9.549990344746825e-15,2301526.19 年,72580929984000.0
Sr89,Sr-89,2.478319037777714e+18,2.3783998030157317e+18,393477255344.1985,393.4772553441985,377613298504.52875,377.61329850452876,不稳定,1.5876779758631315e-07,50.53 天,4365792.0
Xe134,Xe-134,2.435375426076378e+18,2.435375426076378e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ba138,Ba-138,2.4001909314689377e+18,2.4001909314689377e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ru102,Ru-102,2.373458812567328e+18,2.373458812567328e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Cd112,Cd-112,2.3566800914097213e+18,2.3566800914097213e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Sr88,Sr-88,2.3165986077335803e+18,2.3165986077335803e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Pd107,Pd-107,2.3165796418613504e+18,2.3165796398322683e+18,7828.249290616891,7.82824929061689e-06,7828.249283760161,7.82824928376016e-06,不稳定,3.3792273527565687e-15,6504313.15 年,205120019520000.0
Xe132,Xe-132,2.304730454483079e+18,2.304730454483079e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Kr84,Kr-84,2.2339379962057375e+18,2.2339379962057375e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Te128,Te-128,2.186912677015321e+18,2.186912677015321e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Zr93,Zr-93,2.149833013679726e+18,2.1498330056799273e+18,30863.42117905654,3.086342117905654e-05,30863.42106420987,3.086342106420987e-05,不稳定,1.4356194635893918e-14,1531015.25 年,48282096902400.0
La139,La-139,2.1242786776854728e+18,2.1242786776854728e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ag109,Ag-109,2.085474592223049e+18,2.085474592223049e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Cs137,Cs-137,2.0456776523057684e+18,2.0452916157582723e+18,1489479075.0308847,1.4894790750308848,1489197997.8244908,1.4891979978244907,不稳定,7.28110351771224e-10,30.19 年,951980944.7479681
Zr95,Zr-95,2.0252302842794542e+18,1.9605173218859067e+18,253740075407.34125,253.74007540734124,245632221162.30496,245.63222116230497,不稳定,1.2528949294159802e-07,64.03 天,5532364.8
Sr90,Sr-90,2.0185443896728694e+18,2.0181452549929303e+18,1540023712.858047,1.540023712858047,1539719197.9437976,1.5397191979437976,不稳定,7.629377489724798e-10,28.81 年,908523901.8432001
Pa230,Pa230,1.9949412694232415e+18,1.7702246801074217e+18,919798262747.0454,919.7982627470454,816189233433.1702,816.1892334331702,不稳定,4.6106533402508075e-07,17.40 天,1503359.9999999998
Zr92,Zr-92,1.9319117543902305e+18,1.9319117543902305e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ru104,Ru-104,1.8770449869310518e+18,1.8770449869310518e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ac227,Ac-227,1.7831558440547628e+18,1.7826896143296356e+18,1798960982.7289305,1.7989609827289306,1798490620.5408533,1.7984906205408533,不稳定,1.0088635767461738e-09,21.79 年,687057394.61376
Mo97,Mo-97,1.764998850120246e+18,1.764998850120246e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
I129,I-129,1.748585033679487e+18,1.748585033045394e+18,2446.345951197336,2.446345951197336e-06,2446.345950310212,2.446345950310212e-06,不稳定,1.3990431715234201e-15,15710417.92 年,495443739456000.0
Ce142,Ce-142,1.6854738361601626e+18,1.6854738361601626e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ru106,Ru106,1.648296107483449e+18,1.639147002689436e+18,35395798065.8537,35.3957980658537,35199328593.95363,35.19932859395363,不稳定,2.1474174394487017e-08,1.02 年,32278175.999999996
Te130,Te-130,1.5843195802285568e+18,1.5843195802285568e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
U232,U-232,1.5323346730797683e+18,1.5322080589339505e+18,488500683.0989101,0.4885006830989101,488460319.1380805,0.48846031913808047,不稳定,3.187950332789215e-10,68.95 年,2174272206.912
Rb87,Rb-87,1.5044744001557637e+18,1.5044744001555896e+18,0.6712522199763258,6.712522199763258e-10,0.6712522199762481,6.71252219976248e-10,不稳定,4.461705828339974e-19,49262667139.73 年,1.5535474709184e+18
Sb125,Sb-125,1.4709318362539812e+18,1.467899147845221e+18,11712264775.177753,11.712264775177754,11688117055.515593,11.688117055515592,不稳定,7.962479624484403e-09,2.76 年,87051674.00724481
I131,I-131,1.4591170052283146e+18,1.1258880507467754e+18,1459451156072.7202,1459.4511560727203,1126145889180.2356,1126.1458891802356,不稳定,1.000229008943908e-06,8.02 天,692988.48
Ce141,Ce-141,1.4051109000023626e+18,1.3180444503652882e+18,346762456018.9047,346.76245601890474,325275628243.9957,325.27562824399575,不稳定,2.4678653906842633e-07,32.51 天,2808691.2
Sn122,Sn122,1.4012989158181312e+18,1.4012989158181312e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Sn124,Sn124,1.3643419680000003e+18,1.3643419680000003e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Th231,Th-231,1.3518272787738842e+18,1.9125829404148957e+17,10199138659070.674,10199.138659070673,1442987496446.8335,1442.9874964468336,不稳定,7.544705465864957e-06,1.06 天,91872.0
Ru101,Ru-101,1.320802251893088e+18,1.320802251893088e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Xe133,Xe-133,1.2872940861026816e+18,8.658266940738979e+17,1969743313689.781,1969.743313689781,1324838170141.4507,1324.8381701414507,不稳定,1.5301424398314711e-06,5.24 天,452995.2
Ac225,Ac-225,1.2759058908575972e+18,1.0363576173741207e+18,1023600197809.9176,1023.6001978099176,831421713581.8221,831.4217135818221,不稳定,8.022536812036404e-07,10.00 天,864000.0
Ba140,Ba-140,1.1939184868214833e+18,1.0142737799450262e+18,751117864734.6415,751.1178647346414,638099806861.0636,638.0998068610636,不稳定,6.291198880204206e-07,12.75 天,1101772.8
Sn117,Sn-117,1.1917605380402186e+18,1.1917605380402186e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Ra224,Ra-224,1.1758069254259395e+18,6.66177738281057e+17,2577309929802.443,2577.309929802443,1460228259212.823,1460.228259212823,不稳定,2.191949948643826e-06,3.66 天,316224.0
Cs133,Cs-133,1.1410247868935543e+18,1.1410247868935543e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Rb85,Rb-85,1.1286133164394753e+18,1.1286133164394753e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Pd110,Pd110,1.0895810109116023e+18,1.0895810109116023e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Kr86,Kr86,1.0569615144653329e+18,1.0569615144653329e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Sn123,Sn123,1.0553611168370733e+18,1.0385113052681501e+18,65531527939.76219,65.53152793976219,64485256781.963715,64.48525678196371,不稳定,6.209393817365639e-08,129.20 天,11162879.999999998
Xe131,Xe-131,1.0466987465238738e+18,1.0466987465238738e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Xe130,Xe-130,1.0219175399484758e+18,1.0219175399484758e+18,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
Te126,Te-126,9.90504569953082e+17,9.90504569953082e+17,0.0,0.0,0.0,0.0,稳定,0.0,稳定,inf
