Cor C	Cor B	Value	Error
-500.0	-500.0	0.00634544	0.2376
-495.0	-500.0	0.00647707	0.2748
-490.0	-500.0	0.00810901	0.216
-485.0	-500.0	0.00718617	0.2563
-480.0	-500.0	0.00546783	0.2477
-475.0	-500.0	0.00531855	0.2398
-470.0	-500.0	0.00625496	0.2478
-465.0	-500.0	0.00763102	0.214
-460.0	-500.0	0.00772802	0.2389
-455.0	-500.0	0.0081289	0.1842
-450.0	-500.0	0.00904293	0.2134
-445.0	-500.0	0.00921175	0.1961
-440.0	-500.0	0.00903797	0.2642
-435.0	-500.0	0.0100444	0.264
-430.0	-500.0	0.0122865	0.2414
-425.0	-500.0	0.0107938	0.2387
-420.0	-500.0	0.0154013	0.2791
-415.0	-500.0	0.0153998	0.2709
-410.0	-500.0	0.0226684	0.2771
-405.0	-500.0	0.0137157	0.1801
-400.0	-500.0	0.0135182	0.2005
-395.0	-500.0	0.0207432	0.3208
-390.0	-500.0	0.0325275	0.4103
-385.0	-500.0	0.064968	0.6623
-380.0	-500.0	0.0196551	0.1402
-375.0	-500.0	0.020003	0.159
-370.0	-500.0	0.0207286	0.1645
-365.0	-500.0	0.0191252	0.2446
-360.0	-500.0	0.025206	0.2398
-355.0	-500.0	0.0332211	0.176
-350.0	-500.0	0.0225565	0.1264
-345.0	-500.0	0.0615679	0.3683
-340.0	-500.0	0.0344481	0.191
-335.0	-500.0	0.032078	0.1444
-330.0	-500.0	0.0380596	0.193
-325.0	-500.0	0.0426587	0.1549
-320.0	-500.0	0.0512201	0.1657
-315.0	-500.0	0.0498448	0.2109
-310.0	-500.0	0.0398176	0.1235
-305.0	-500.0	0.0540247	0.187
-300.0	-500.0	0.247148	0.6732
-295.0	-500.0	0.0447712	0.1134
-290.0	-500.0	0.138191	0.6335
-285.0	-500.0	0.0574205	0.1268
-280.0	-500.0	0.0631291	0.1695
-275.0	-500.0	0.116303	0.5363
-270.0	-500.0	0.0607208	0.1051
-265.0	-500.0	0.0885503	0.3589
-260.0	-500.0	0.128584	0.4794
-255.0	-500.0	0.0736644	0.1109
-250.0	-500.0	0.0690214	0.1068
-245.0	-500.0	0.0847263	0.1804
-240.0	-500.0	0.119357	0.3015
-235.0	-500.0	0.139688	0.384
-230.0	-500.0	0.0872534	0.0949
-225.0	-500.0	0.0852143	0.1632
-220.0	-500.0	0.107782	0.1192
-215.0	-500.0	0.125216	0.1032
-210.0	-500.0	0.144559	0.129
-205.0	-500.0	0.119598	0.1312
-200.0	-500.0	0.151826	0.2112
-195.0	-500.0	0.191259	0.3502
-190.0	-500.0	0.174127	0.1368
-185.0	-500.0	0.157724	0.1996
-180.0	-500.0	0.145767	0.1107
-175.0	-500.0	0.131965	0.0762
-170.0	-500.0	0.163956	0.1199
-165.0	-500.0	0.165736	0.0727
-160.0	-500.0	0.153765	0.0736
-155.0	-500.0	0.231601	0.1889
-150.0	-500.0	0.179345	0.1098
-145.0	-500.0	0.204045	0.0965
-140.0	-500.0	0.20575	0.084
-135.0	-500.0	0.201021	0.101
-130.0	-500.0	0.20742	0.0723
-125.0	-500.0	0.268067	0.1248
-120.0	-500.0	0.240943	0.1024
-115.0	-500.0	0.252237	0.1224
-110.0	-500.0	0.252856	0.0876
-105.0	-500.0	0.317703	0.1698
-100.0	-500.0	0.285888	0.1651
-95.0	-500.0	0.305011	0.095
-90.0	-500.0	0.278789	0.0803
-85.0	-500.0	0.267028	0.0713
-80.0	-500.0	0.301666	0.0916
-75.0	-500.0	0.443669	0.3845
-70.0	-500.0	0.643674	0.5154
-65.0	-500.0	0.314357	0.0831
-60.0	-500.0	0.429836	0.183
-55.0	-500.0	0.28965	0.0661
-50.0	-500.0	0.334217	0.1202
-45.0	-500.0	0.330252	0.0709
-40.0	-500.0	0.412411	0.1189
-35.0	-500.0	0.339472	0.0884
-30.0	-500.0	0.390097	0.2304
-25.0	-500.0	0.452293	0.2213
-20.0	-500.0	0.302188	0.0654
-15.0	-500.0	0.470115	0.1595
-10.0	-500.0	0.502061	0.264
-5.0	-500.0	0.293395	0.0637
0.0	-500.0	0.291999	0.091
5.0	-500.0	0.505404	0.4019
10.0	-500.0	0.288563	0.0654
15.0	-500.0	0.453733	0.2854
20.0	-500.0	0.401043	0.1746
25.0	-500.0	0.295875	0.06
30.0	-500.0	0.265697	0.0589
35.0	-500.0	0.316007	0.1097
40.0	-500.0	0.337139	0.1268
45.0	-500.0	0.313149	0.1009
50.0	-500.0	0.330771	0.1688
55.0	-500.0	0.352932	0.172
60.0	-500.0	0.292312	0.0736
65.0	-500.0	0.312512	0.1296
70.0	-500.0	0.300269	0.0887
75.0	-500.0	0.283669	0.0791
80.0	-500.0	0.388893	0.1763
85.0	-500.0	0.272863	0.0825
90.0	-500.0	0.270155	0.0821
95.0	-500.0	0.242397	0.0906
100.0	-500.0	0.23991	0.0766
105.0	-500.0	0.300526	0.1108
110.0	-500.0	0.291774	0.1232
115.0	-500.0	0.263252	0.1227
120.0	-500.0	0.234585	0.0888
125.0	-500.0	0.301436	0.2375
130.0	-500.0	0.181658	0.0737
135.0	-500.0	0.205612	0.1544
140.0	-500.0	0.220071	0.1057
145.0	-500.0	0.292257	0.3565
150.0	-500.0	0.17328	0.095
155.0	-500.0	0.175891	0.1126
160.0	-500.0	0.180994	0.1282
165.0	-500.0	0.304934	0.4122
170.0	-500.0	0.143291	0.0869
175.0	-500.0	0.138896	0.1095
180.0	-500.0	0.158103	0.1464
185.0	-500.0	0.127406	0.0838
190.0	-500.0	0.145689	0.0996
195.0	-500.0	0.105342	0.0712
200.0	-500.0	0.158255	0.1789
205.0	-500.0	0.136648	0.1336
210.0	-500.0	0.120267	0.0806
215.0	-500.0	0.0966946	0.0822
220.0	-500.0	0.0995314	0.1285
225.0	-500.0	0.114212	0.116
230.0	-500.0	0.109915	0.1277
235.0	-500.0	0.0834559	0.0949
240.0	-500.0	0.076257	0.1547
245.0	-500.0	0.0749019	0.112
250.0	-500.0	0.0869557	0.2204
255.0	-500.0	0.103514	0.2844
260.0	-500.0	0.104367	0.2425
265.0	-500.0	0.0861583	0.187
270.0	-500.0	0.060205	0.1182
275.0	-500.0	0.0688128	0.1578
280.0	-500.0	0.0468228	0.1227
285.0	-500.0	0.0608472	0.2511
290.0	-500.0	0.0516295	0.1864
295.0	-500.0	0.0395799	0.1085
300.0	-500.0	0.0535027	0.248
305.0	-500.0	0.0416952	0.1158
310.0	-500.0	0.0452573	0.126
315.0	-500.0	0.0472065	0.156
320.0	-500.0	0.0392528	0.1699
325.0	-500.0	0.0408759	0.2384
330.0	-500.0	0.027458	0.1386
335.0	-500.0	0.0225	0.1457
340.0	-500.0	0.0315969	0.2056
345.0	-500.0	0.0419671	0.2122
350.0	-500.0	0.0279881	0.1562
355.0	-500.0	0.0243594	0.1572
360.0	-500.0	0.0430212	0.4218
365.0	-500.0	0.0179533	0.1636
370.0	-500.0	0.0184138	0.1697
375.0	-500.0	0.0119011	0.1691
380.0	-500.0	0.029941	0.4321
385.0	-500.0	0.0155982	0.1968
390.0	-500.0	0.0105141	0.2058
395.0	-500.0	0.00927488	0.143
400.0	-500.0	0.0109645	0.164
405.0	-500.0	0.0204141	0.2384
410.0	-500.0	0.016955	0.2336
415.0	-500.0	0.010348	0.2138
420.0	-500.0	0.0071738	0.1647
425.0	-500.0	0.0108734	0.2453
430.0	-500.0	0.00885379	0.2515
435.0	-500.0	0.00662838	0.171
440.0	-500.0	0.00636133	0.187
445.0	-500.0	0.00645208	0.1931
450.0	-500.0	0.00736122	0.2374
455.0	-500.0	0.00622331	0.2041
460.0	-500.0	0.00476811	0.1861
465.0	-500.0	0.00797181	0.2475
470.0	-500.0	0.00749361	0.2848
475.0	-500.0	0.00874808	0.267
480.0	-500.0	0.00677741	0.3393
485.0	-500.0	0.00351775	0.2759
490.0	-500.0	0.00490827	0.2189
495.0	-500.0	0.00662469	0.2995
-500.0	-495.0	0.00683523	0.262
-495.0	-495.0	0.00623829	0.2936
-490.0	-495.0	0.00354197	0.2174
-485.0	-495.0	0.00735588	0.2127
-480.0	-495.0	0.00711385	0.2171
-475.0	-495.0	0.00455217	0.212
-470.0	-495.0	0.00574595	0.2139
-465.0	-495.0	0.00657487	0.2072
-460.0	-495.0	0.00600726	0.2255
-455.0	-495.0	0.00548211	0.2329
-450.0	-495.0	0.00883008	0.1881
-445.0	-495.0	0.00665198	0.2194
-440.0	-495.0	0.00830058	0.257
-435.0	-495.0	0.00782131	0.2162
-430.0	-495.0	0.0165428	0.6649
-425.0	-495.0	0.00872368	0.2224
-420.0	-495.0	0.00852329	0.1908
-415.0	-495.0	0.0137932	0.2559
-410.0	-495.0	0.0174542	0.2755
-405.0	-495.0	0.0185113	0.268
-400.0	-495.0	0.00822431	0.1864
-395.0	-495.0	0.0151236	0.1767
-390.0	-495.0	0.0222176	0.2897
-385.0	-495.0	0.0459004	0.6261
-380.0	-495.0	0.0486865	0.5529
-375.0	-495.0	0.0152648	0.1508
-370.0	-495.0	0.0167851	0.1359
-365.0	-495.0	0.026893	0.1523
-360.0	-495.0	0.018084	0.1307
-355.0	-495.0	0.0293563	0.2569
-350.0	-495.0	0.02791	0.1611
-345.0	-495.0	0.0313811	0.1527
-340.0	-495.0	0.0574928	0.3766
-335.0	-495.0	0.0328185	0.1871
-330.0	-495.0	0.0286949	0.1274
-325.0	-495.0	0.0362799	0.1279
-320.0	-495.0	0.0422557	0.1991
-315.0	-495.0	0.0524539	0.1676
-310.0	-495.0	0.0410828	0.1085
-305.0	-495.0	0.0459871	0.1288
-300.0	-495.0	0.153053	0.5516
-295.0	-495.0	0.140366	0.593
-290.0	-495.0	0.0660107	0.2876
-285.0	-495.0	0.126397	0.55
-280.0	-495.0	0.0483577	0.1044
-275.0	-495.0	0.125046	0.535
-270.0	-495.0	0.0649589	0.1229
-265.0	-495.0	0.0551189	0.0852
-260.0	-495.0	0.158018	0.5715
-255.0	-495.0	0.0786635	0.1143
-250.0	-495.0	0.0725816	0.0978
-245.0	-495.0	0.0770894	0.1611
-240.0	-495.0	0.0853704	0.1171
-235.0	-495.0	0.174583	0.5015
-230.0	-495.0	0.105137	0.1133
-225.0	-495.0	0.0932899	0.142
-220.0	-495.0	0.111616	0.1276
-215.0	-495.0	0.115591	0.1012
-210.0	-495.0	0.15517	0.1277
-205.0	-495.0	0.13963	0.1388
-200.0	-495.0	0.113809	0.1221
-195.0	-495.0	0.221751	0.3988
-190.0	-495.0	0.149934	0.1238
-185.0	-495.0	0.170831	0.2593
-180.0	-495.0	0.15	0.0884
-175.0	-495.0	0.125079	0.077
-170.0	-495.0	0.160951	0.1076
-165.0	-495.0	0.148862	0.0727
-160.0	-495.0	0.149746	0.0656
-155.0	-495.0	0.212988	0.1803
-150.0	-495.0	0.183173	0.1086
-145.0	-495.0	0.197745	0.0735
-140.0	-495.0	0.192608	0.0798
-135.0	-495.0	0.228868	0.109
-130.0	-495.0	0.215931	0.0798
-125.0	-495.0	0.241936	0.0841
-120.0	-495.0	0.280315	0.1422
-115.0	-495.0	0.280484	0.1172
-110.0	-495.0	0.233298	0.0807
-105.0	-495.0	0.299582	0.098
-100.0	-495.0	0.340097	0.2364
-95.0	-495.0	0.301318	0.0997
-90.0	-495.0	0.243752	0.0632
-85.0	-495.0	0.304411	0.0808
-80.0	-495.0	0.326445	0.0892
-75.0	-495.0	0.301783	0.0701
-70.0	-495.0	0.797879	0.6278
-65.0	-495.0	0.329347	0.072
-60.0	-495.0	0.369135	0.1119
-55.0	-495.0	0.37367	0.1848
-50.0	-495.0	0.328307	0.0863
-45.0	-495.0	0.325509	0.0672
-40.0	-495.0	0.456336	0.111
-35.0	-495.0	0.359389	0.0811
-30.0	-495.0	0.42169	0.216
-25.0	-495.0	0.462706	0.2168
-20.0	-495.0	0.30091	0.0666
-15.0	-495.0	0.454602	0.1462
-10.0	-495.0	0.492897	0.2634
-5.0	-495.0	0.311287	0.0596
0.0	-495.0	0.299404	0.0841
5.0	-495.0	0.521624	0.3896
10.0	-495.0	0.307528	0.0636
15.0	-495.0	0.464633	0.2795
20.0	-495.0	0.399163	0.1614
25.0	-495.0	0.30467	0.0621
30.0	-495.0	0.287366	0.0798
35.0	-495.0	0.333392	0.0983
40.0	-495.0	0.364197	0.1194
45.0	-495.0	0.332856	0.1016
50.0	-495.0	0.347507	0.1659
55.0	-495.0	0.387	0.159
60.0	-495.0	0.303158	0.073
65.0	-495.0	0.330993	0.1249
70.0	-495.0	0.310854	0.0839
75.0	-495.0	0.304609	0.0942
80.0	-495.0	0.354082	0.1524
85.0	-495.0	0.308505	0.0858
90.0	-495.0	0.267308	0.0632
95.0	-495.0	0.284135	0.1244
100.0	-495.0	0.260259	0.0704
105.0	-495.0	0.302755	0.1084
110.0	-495.0	0.300098	0.158
115.0	-495.0	0.238365	0.0768
120.0	-495.0	0.233734	0.093
125.0	-495.0	0.291295	0.2433
130.0	-495.0	0.194212	0.0857
135.0	-495.0	0.237276	0.1565
140.0	-495.0	0.242351	0.2268
145.0	-495.0	0.244062	0.2232
150.0	-495.0	0.204816	0.1008
155.0	-495.0	0.168293	0.09
160.0	-495.0	0.165082	0.1169
165.0	-495.0	0.28139	0.4453
170.0	-495.0	0.136614	0.0877
175.0	-495.0	0.146793	0.1036
180.0	-495.0	0.138925	0.096
185.0	-495.0	0.144673	0.1084
190.0	-495.0	0.15527	0.2444
195.0	-495.0	0.119603	0.0891
200.0	-495.0	0.16137	0.1515
205.0	-495.0	0.150189	0.1719
210.0	-495.0	0.121116	0.093
215.0	-495.0	0.0953697	0.0939
220.0	-495.0	0.120755	0.1164
225.0	-495.0	0.129852	0.137
230.0	-495.0	0.111667	0.1911
235.0	-495.0	0.092169	0.1243
240.0	-495.0	0.0801568	0.1136
245.0	-495.0	0.0623143	0.1058
250.0	-495.0	0.116341	0.3812
255.0	-495.0	0.0889992	0.145
260.0	-495.0	0.110702	0.2588
265.0	-495.0	0.0686166	0.1182
270.0	-495.0	0.0590209	0.1806
275.0	-495.0	0.0650076	0.1286
280.0	-495.0	0.0450341	0.1125
285.0	-495.0	0.0814959	0.2643
290.0	-495.0	0.0474893	0.1262
295.0	-495.0	0.0461402	0.1389
300.0	-495.0	0.0566927	0.2056
305.0	-495.0	0.0497187	0.1109
310.0	-495.0	0.0357614	0.1063
315.0	-495.0	0.0493163	0.169
320.0	-495.0	0.0311404	0.1449
325.0	-495.0	0.0392634	0.2151
330.0	-495.0	0.0277851	0.1484
335.0	-495.0	0.0271067	0.1546
340.0	-495.0	0.0298034	0.1739
345.0	-495.0	0.0349144	0.186
