# 核反应率计算结果汇总
# 能谱文件: Spectrum.txt
# 截面文件目录: TENDL_Downloads
# 计算时间: 2025-11-23T03:57:52
#================================================================================
# 产物名称	反应率 R (reactions/s)	积分值 (b*#/cm²*MeV)	数据点数
#================================================================================
rp088226	3.013874e-05	4.149411e-02	53
rp088227	2.721906e-05	3.747439e-02	53
rp088228	7.691557e-07	1.058951e-03	53
rp088225	6.814762e-07	9.382360e-04	53
rp088224	2.552777e-09	3.514587e-06	53
rp087227	6.865513e-10	9.452233e-07	53
rp087226	5.356721e-11	7.374974e-08	53
rp086223	2.385638e-12	3.284475e-09	53
rp086224	2.025199e-12	2.788233e-09	53
rp087225	5.093578e-13	7.012686e-10	53
rp086222	1.041170e-13	1.433451e-10	53
rp087224	4.187247e-15	5.764875e-12	53
rp086221	4.848168e-18	6.674812e-15	53
rp087223	1.517361e-20	2.089057e-17	53
rp084220	2.554210e-21	3.516560e-18	53
rp086225	1.504294e-21	2.071067e-18	53
rp085223	8.171137e-22	1.124978e-18	53
rp084219	2.176419e-27	2.996428e-24	53
rp082216	7.041516e-30	9.694548e-27	53
rp083217	7.041516e-30	9.694548e-27	53
rp083219	7.041516e-30	9.694548e-27	53
rp076188	0.000000e+00	0.000000e+00	53
rp076189	0.000000e+00	0.000000e+00	53
rp076190	0.000000e+00	0.000000e+00	53
rp076191	0.000000e+00	0.000000e+00	53
rp076192	0.000000e+00	0.000000e+00	53
rp076193	0.000000e+00	0.000000e+00	53
rp076194	0.000000e+00	0.000000e+00	53
rp076195	0.000000e+00	0.000000e+00	53
rp076196	0.000000e+00	0.000000e+00	53
rp076197	0.000000e+00	0.000000e+00	53
rp076198	0.000000e+00	0.000000e+00	53
rp076199	0.000000e+00	0.000000e+00	53
rp076200	0.000000e+00	0.000000e+00	53
rp076201	0.000000e+00	0.000000e+00	53
rp076202	0.000000e+00	0.000000e+00	53
rp076203	0.000000e+00	0.000000e+00	53
rp076204	0.000000e+00	0.000000e+00	53
rp076205	0.000000e+00	0.000000e+00	53
rp077190	0.000000e+00	0.000000e+00	53
rp077191	0.000000e+00	0.000000e+00	53
rp077192	0.000000e+00	0.000000e+00	53
rp077193	0.000000e+00	0.000000e+00	53
rp077194	0.000000e+00	0.000000e+00	53
rp077195	0.000000e+00	0.000000e+00	53
rp077196	0.000000e+00	0.000000e+00	53
rp077197	0.000000e+00	0.000000e+00	53
rp077198	0.000000e+00	0.000000e+00	53
rp077199	0.000000e+00	0.000000e+00	53
rp077200	0.000000e+00	0.000000e+00	53
rp077201	0.000000e+00	0.000000e+00	53
rp077203	0.000000e+00	0.000000e+00	53
rp077204	0.000000e+00	0.000000e+00	53
rp077205	0.000000e+00	0.000000e+00	53
rp077206	0.000000e+00	0.000000e+00	53
rp077207	0.000000e+00	0.000000e+00	53
rp078191	0.000000e+00	0.000000e+00	53
rp078192	0.000000e+00	0.000000e+00	53
rp078193	0.000000e+00	0.000000e+00	53
rp078194	0.000000e+00	0.000000e+00	53
rp078195	0.000000e+00	0.000000e+00	53
rp078196	0.000000e+00	0.000000e+00	53
rp078197	0.000000e+00	0.000000e+00	53
rp078198	0.000000e+00	0.000000e+00	53
rp078199	0.000000e+00	0.000000e+00	53
rp078200	0.000000e+00	0.000000e+00	53
rp078201	0.000000e+00	0.000000e+00	53
rp078202	0.000000e+00	0.000000e+00	53
rp078203	0.000000e+00	0.000000e+00	53
rp078204	0.000000e+00	0.000000e+00	53
rp078205	0.000000e+00	0.000000e+00	53
rp078206	0.000000e+00	0.000000e+00	53
rp078207	0.000000e+00	0.000000e+00	53
rp078208	0.000000e+00	0.000000e+00	53
rp078209	0.000000e+00	0.000000e+00	53
rp079192	0.000000e+00	0.000000e+00	53
rp079193	0.000000e+00	0.000000e+00	53
rp079194	0.000000e+00	0.000000e+00	53
rp079195	0.000000e+00	0.000000e+00	53
rp079196	0.000000e+00	0.000000e+00	53
rp079197	0.000000e+00	0.000000e+00	53
rp079198	0.000000e+00	0.000000e+00	53
rp079199	0.000000e+00	0.000000e+00	53
rp079200	0.000000e+00	0.000000e+00	53
rp079201	0.000000e+00	0.000000e+00	53
rp079202	0.000000e+00	0.000000e+00	53
rp079203	0.000000e+00	0.000000e+00	53
rp079204	0.000000e+00	0.000000e+00	53
rp079205	0.000000e+00	0.000000e+00	53
rp079206	0.000000e+00	0.000000e+00	53
rp079207	0.000000e+00	0.000000e+00	53
rp079208	0.000000e+00	0.000000e+00	53
rp079209	0.000000e+00	0.000000e+00	53
rp079210	0.000000e+00	0.000000e+00	53
rp079211	0.000000e+00	0.000000e+00	53
rp079212	0.000000e+00	0.000000e+00	53
rp080193	0.000000e+00	0.000000e+00	53
rp080194	0.000000e+00	0.000000e+00	53
rp080195	0.000000e+00	0.000000e+00	53
rp080196	0.000000e+00	0.000000e+00	53
rp080197	0.000000e+00	0.000000e+00	53
rp080198	0.000000e+00	0.000000e+00	53
rp080199	0.000000e+00	0.000000e+00	53
rp080200	0.000000e+00	0.000000e+00	53
rp080201	0.000000e+00	0.000000e+00	53
rp080202	0.000000e+00	0.000000e+00	53
rp080203	0.000000e+00	0.000000e+00	53
rp080204	0.000000e+00	0.000000e+00	53
rp080205	0.000000e+00	0.000000e+00	53
rp080206	0.000000e+00	0.000000e+00	53
rp080207	0.000000e+00	0.000000e+00	53
rp080208	0.000000e+00	0.000000e+00	53
rp080209	0.000000e+00	0.000000e+00	53
rp080210	0.000000e+00	0.000000e+00	53
rp080211	0.000000e+00	0.000000e+00	53
rp080212	0.000000e+00	0.000000e+00	53
rp080213	0.000000e+00	0.000000e+00	53
rp080214	0.000000e+00	0.000000e+00	53
rp080215	0.000000e+00	0.000000e+00	53
rp080216	0.000000e+00	0.000000e+00	53
rp081194	0.000000e+00	0.000000e+00	53
rp081195	0.000000e+00	0.000000e+00	53
rp081196	0.000000e+00	0.000000e+00	53
rp081197	0.000000e+00	0.000000e+00	53
rp081198	0.000000e+00	0.000000e+00	53
rp081199	0.000000e+00	0.000000e+00	53
rp081200	0.000000e+00	0.000000e+00	53
rp081201	0.000000e+00	0.000000e+00	53
rp081202	0.000000e+00	0.000000e+00	53
rp081203	0.000000e+00	0.000000e+00	53
rp081204	0.000000e+00	0.000000e+00	53
rp081205	0.000000e+00	0.000000e+00	53
rp081206	0.000000e+00	0.000000e+00	53
rp081207	0.000000e+00	0.000000e+00	53
rp081208	0.000000e+00	0.000000e+00	53
rp081209	0.000000e+00	0.000000e+00	53
rp081210	0.000000e+00	0.000000e+00	53
rp081211	0.000000e+00	0.000000e+00	53
rp081212	0.000000e+00	0.000000e+00	53
rp081213	0.000000e+00	0.000000e+00	53
rp081214	0.000000e+00	0.000000e+00	53
rp081215	0.000000e+00	0.000000e+00	53
rp081216	0.000000e+00	0.000000e+00	53
rp081217	0.000000e+00	0.000000e+00	53
rp081218	0.000000e+00	0.000000e+00	53
rp082195	0.000000e+00	0.000000e+00	53
rp082196	0.000000e+00	0.000000e+00	53
rp082197	0.000000e+00	0.000000e+00	53
rp082198	0.000000e+00	0.000000e+00	53
rp082199	0.000000e+00	0.000000e+00	53
rp082200	0.000000e+00	0.000000e+00	53
rp082201	0.000000e+00	0.000000e+00	53
rp082202	0.000000e+00	0.000000e+00	53
rp082203	0.000000e+00	0.000000e+00	53
rp082204	0.000000e+00	0.000000e+00	53
rp082205	0.000000e+00	0.000000e+00	53
rp082206	0.000000e+00	0.000000e+00	53
rp082207	0.000000e+00	0.000000e+00	53
rp082208	0.000000e+00	0.000000e+00	53
rp082209	0.000000e+00	0.000000e+00	53
rp082210	0.000000e+00	0.000000e+00	53
rp082211	0.000000e+00	0.000000e+00	53
rp082212	0.000000e+00	0.000000e+00	53
rp082213	0.000000e+00	0.000000e+00	53
rp082214	0.000000e+00	0.000000e+00	53
rp082215	0.000000e+00	0.000000e+00	53
rp082217	0.000000e+00	0.000000e+00	53
rp082218	0.000000e+00	0.000000e+00	53
rp082219	0.000000e+00	0.000000e+00	53
rp082220	0.000000e+00	0.000000e+00	53
rp083198	0.000000e+00	0.000000e+00	53
rp083199	0.000000e+00	0.000000e+00	53
rp083200	0.000000e+00	0.000000e+00	53
rp083201	0.000000e+00	0.000000e+00	53
rp083202	0.000000e+00	0.000000e+00	53
rp083203	0.000000e+00	0.000000e+00	53
rp083204	0.000000e+00	0.000000e+00	53
rp083205	0.000000e+00	0.000000e+00	53
rp083206	0.000000e+00	0.000000e+00	53
rp083207	0.000000e+00	0.000000e+00	53
rp083208	0.000000e+00	0.000000e+00	53
rp083209	0.000000e+00	0.000000e+00	53
rp083210	0.000000e+00	0.000000e+00	53
rp083211	0.000000e+00	0.000000e+00	53
rp083212	0.000000e+00	0.000000e+00	53
rp083213	0.000000e+00	0.000000e+00	53
rp083214	0.000000e+00	0.000000e+00	53
rp083215	0.000000e+00	0.000000e+00	53
rp083216	0.000000e+00	0.000000e+00	53
rp083218	0.000000e+00	0.000000e+00	53
rp083220	0.000000e+00	0.000000e+00	53
rp083221	0.000000e+00	0.000000e+00	53
rp083222	0.000000e+00	0.000000e+00	53
