Segments	Energy	Value	Error
1	0.001	0.0	0.0
1	0.00111427	1.46461e-05	0.0002
1	0.00124159	1.54271e-05	0.0002
1	0.00138347	1.62183e-05	0.0002
1	0.00154155	1.71525e-05	0.0002
1	0.0017177	1.83531e-05	0.0002
1	0.00191398	1.94314e-05	0.0002
1	0.00213269	2.05536e-05	0.0002
1	0.00237639	2.18634e-05	0.0002
1	0.00264793	2.35572e-05	0.0002
1	0.00295051	2.50616e-05	0.0002
1	0.00328766	2.6632e-05	0.0002
1	0.00366333	2.84363e-05	0.0002
1	0.00408194	3.07867e-05	0.0002
1	0.00454837	3.28688e-05	0.0002
1	0.0050681	3.50562e-05	0.0002
1	0.00564723	3.75333e-05	0.0002
1	0.00629252	4.07851e-05	0.0002
1	0.00701156	4.36628e-05	0.0002
1	0.00781276	4.66939e-05	0.0002
1	0.00870551	5.00901e-05	0.0002
1	0.00970027	5.45393e-05	0.0002
1	0.0108087	5.84821e-05	0.0002
1	0.0120438	6.266e-05	0.0002
1	0.01342	6.72833e-05	0.0002
1	0.0149535	7.34336e-05	0.0002
1	0.0166622	7.88585e-05	0.0002
1	0.0185662	8.4572e-05	0.0002
1	0.0206877	9.08203e-05	0.0002
1	0.0230516	9.91745e-05	0.0002
1	0.0256857	0.000106486	0.0002
1	0.0286207	0.000114191	0.0002
1	0.0318912	0.000122522	0.0002
1	0.0355353	0.000133667	0.0002
1	0.0395959	0.000143353	0.0002
1	0.0441204	0.000153532	0.0003
1	0.049162	0.000164244	0.0003
1	0.0547796	0.000178588	0.0003
1	0.0610392	0.000190618	0.0003
1	0.068014	0.000203113	0.0003
1	0.0757858	0.000216198	0.0003
1	0.0844457	0.000234074	0.0003
1	0.0940952	0.000249003	0.0003
1	0.104847	0.000264408	0.0003
1	0.116828	0.000279845	0.0004
1	0.130178	0.000300704	0.0004
1	0.145053	0.000317563	0.0004
1	0.161628	0.0003345	0.0004
1	0.180097	0.000350985	0.0004
1	0.200676	0.000373078	0.0005
1	0.223607	0.000390131	0.0005
1	0.249158	0.000406574	0.0005
1	0.277629	0.000421289	0.0005
1	0.309353	0.000441624	0.0005
1	0.344702	0.000455694	0.0006
1	0.38409	0.000468501	0.0006
1	0.42798	0.000479471	0.0006
1	0.476884	0.000495513	0.0007
1	0.531377	0.000505712	0.0007
1	0.592096	0.000514206	0.0007
1	0.659754	0.000519868	0.0008
1	0.735143	0.000530528	0.0008
1	0.819146	0.00053639	0.0009
1	0.912748	0.000540118	0.0009
1	1.01705	0.000541092	0.001
1	1.13326	0.000546612	0.001
1	1.26276	0.000547821	0.0011
1	1.40705	0.000549195	0.0011
1	1.56783	0.000548922	0.0012
1	1.74699	0.000553705	0.0012
1	1.94661	0.000555846	0.0013
1	2.16905	0.000558786	0.0013
1	2.4169	0.000560483	0.0014
1	2.69307	0.000568565	0.0015
1	3.00081	0.000575949	0.0015
1	3.3437	0.000585829	0.0016
1	3.72578	0.00059408	0.0016
1	4.15152	0.000610173	0.0017
1	4.6259	0.000627759	0.0017
1	5.1545	0.000648369	0.0018
1	5.74349	0.000668088	0.0018
1	6.39979	0.000699434	0.0019
1	7.13108	0.000732233	0.0019
1	7.94594	0.00077228	0.0019
1	8.8539	0.000814794	0.002
1	9.86562	0.000870411	0.002
1	10.9929	0.000938129	0.002
1	12.2491	0.00102006	0.002
1	13.6488	0.00111101	0.0019
1	15.2084	0.00123014	0.0019
1	16.9462	0.00136898	0.0018
1	18.8826	0.00154639	0.0018
1	21.0403	0.0017806	0.0017
1	23.4446	0.00208439	0.0016
