Cor C	Cor A	Value	Error
-450.0	-65.0	0.00156056	0.5125
-445.5	-65.0	0.00488628	0.9152
-441.0	-65.0	0.0059211	0.8913
-436.5	-65.0	0.00259137	0.7463
-432.0	-65.0	0.000831699	0.6555
-427.5	-65.0	0.000735452	0.2309
-423.0	-65.0	0.00110405	0.5538
-418.5	-65.0	0.000696426	0.2574
-414.0	-65.0	0.000587741	0.3119
-409.5	-65.0	0.000377923	0.303
-405.0	-65.0	0.000407087	0.3182
-400.5	-65.0	0.000574307	0.2739
-396.0	-65.0	0.00357317	0.8051
-391.5	-65.0	0.00043582	0.2824
-387.0	-65.0	0.000216537	0.3781
-382.5	-65.0	0.000508366	0.4329
-378.0	-65.0	0.000731917	0.2241
-373.5	-65.0	0.00131819	0.1988
-369.0	-65.0	0.00194784	0.3426
-364.5	-65.0	0.00190872	0.3746
-360.0	-65.0	0.003089	0.7329
-355.5	-65.0	0.00375005	0.6336
-351.0	-65.0	0.00502841	0.585
-346.5	-65.0	0.0060998	0.5288
-342.0	-65.0	0.00588434	0.4601
-337.5	-65.0	0.00385294	0.3914
-333.0	-65.0	0.00161094	0.2191
-328.5	-65.0	0.00450527	0.6753
-324.0	-65.0	0.0074513	0.6204
-319.5	-65.0	0.00645428	0.7087
-315.0	-65.0	0.0066938	0.6845
-310.5	-65.0	0.00835012	0.5651
-306.0	-65.0	0.00571177	0.479
-301.5	-65.0	0.0117663	0.4276
-297.0	-65.0	0.00893634	0.4272
-292.5	-65.0	0.00596117	0.337
-288.0	-65.0	0.00288723	0.1649
-283.5	-65.0	0.00234096	0.1367
-279.0	-65.0	0.0108985	0.4817
-274.5	-65.0	0.0169803	0.4164
-270.0	-65.0	0.015006	0.4302
-265.5	-65.0	0.0115738	0.4517
-261.0	-65.0	0.00816746	0.3863
-256.5	-65.0	0.00730049	0.4028
-252.0	-65.0	0.0117458	0.3061
-247.5	-65.0	0.00439595	0.3209
-243.0	-65.0	0.0129867	0.2921
-238.5	-65.0	0.0151522	0.3167
-234.0	-65.0	0.0164825	0.3234
-229.5	-65.0	0.0206466	0.259
-225.0	-65.0	0.014826	0.3765
-220.5	-65.0	0.0153604	0.2536
-216.0	-65.0	0.0175546	0.2735
-211.5	-65.0	0.016593	0.3134
-207.0	-65.0	0.0163033	0.2502
-202.5	-65.0	0.0157221	0.2192
-198.0	-65.0	0.0239134	0.3024
-193.5	-65.0	0.0200318	0.2153
-189.0	-65.0	0.0338239	0.3065
-184.5	-65.0	0.0364664	0.3117
-180.0	-65.0	0.0444528	0.2405
-175.5	-65.0	0.0363036	0.2311
-171.0	-65.0	0.0412351	0.185
-166.5	-65.0	0.04766	0.1656
-162.0	-65.0	0.0506553	0.1829
-157.5	-65.0	0.0556753	0.1742
-153.0	-65.0	0.04885	0.1618
-148.5	-65.0	0.0775387	0.1742
-144.0	-65.0	0.0683275	0.2118
-139.5	-65.0	0.0717389	0.205
-135.0	-65.0	0.0667445	0.1627
-130.5	-65.0	0.0739189	0.2019
-126.0	-65.0	0.0997392	0.2241
-121.5	-65.0	0.108604	0.1684
-117.0	-65.0	0.116821	0.1622
-112.5	-65.0	0.0877164	0.1881
-108.0	-65.0	0.155002	0.2395
-103.5	-65.0	0.179641	0.264
-99.0	-65.0	0.170569	0.1949
-94.5	-65.0	0.181271	0.2399
-90.0	-65.0	0.201287	0.2658
-85.5	-65.0	0.206245	0.3231
-81.0	-65.0	0.253326	0.3128
-76.5	-65.0	0.305087	0.3891
-72.0	-65.0	0.300554	0.4404
-67.5	-65.0	0.352915	0.5303
-63.0	-65.0	0.400476	0.4321
-58.5	-65.0	0.436268	0.5614
-54.0	-65.0	0.456036	0.5576
-49.5	-65.0	0.549411	0.599
-45.0	-65.0	0.66418	0.6315
-40.5	-65.0	0.698652	0.688
-36.0	-65.0	0.814376	0.708
-31.5	-65.0	1.03298	0.6935
-27.0	-65.0	1.13335	0.7679
-22.5	-65.0	1.27338	0.7945
-18.0	-65.0	1.19192	0.7589
-13.5	-65.0	1.0613	0.7025
-9.0	-65.0	0.870793	0.6778
-4.5	-65.0	0.711586	0.6077
0.0	-65.0	0.586913	0.5676
4.5	-65.0	0.51552	0.4795
9.0	-65.0	0.495291	0.4251
13.5	-65.0	0.421376	0.3564
18.0	-65.0	0.368364	0.2966
22.5	-65.0	0.352613	0.3141
27.0	-65.0	0.301664	0.2315
31.5	-65.0	0.255065	0.1888
36.0	-65.0	0.309083	0.169
40.5	-65.0	0.270792	0.2212
45.0	-65.0	0.267654	0.1281
49.5	-65.0	0.286737	0.1265
54.0	-65.0	0.257532	0.1054
58.5	-65.0	0.201483	0.1227
63.0	-65.0	0.206107	0.1354
67.5	-65.0	0.245346	0.1337
72.0	-65.0	0.225321	0.1179
76.5	-65.0	0.194193	0.1005
81.0	-65.0	0.200991	0.1082
