Cor C	Cor B	Value	Error
-450.0	-450.0	0.0	0.0
-445.5	-450.0	5.41644e-05	0.7085
-441.0	-450.0	0.0	0.0
-436.5	-450.0	0.0	0.0
-432.0	-450.0	0.0	0.0
-427.5	-450.0	0.0	0.0
-423.0	-450.0	0.0	0.0
-418.5	-450.0	0.0	0.0
-414.0	-450.0	0.0	0.0
-409.5	-450.0	0.0	0.0
-405.0	-450.0	2.73135e-05	1.0
-400.5	-450.0	5.56205e-06	1.0
-396.0	-450.0	0.0	0.0
-391.5	-450.0	0.0	0.0
-387.0	-450.0	2.53522e-05	1.0
-382.5	-450.0	2.8377e-05	0.7907
-378.0	-450.0	1.50671e-05	1.0
-373.5	-450.0	2.22476e-05	0.8438
-369.0	-450.0	0.0	0.0
-364.5	-450.0	0.0	0.0
-360.0	-450.0	2.10919e-05	1.0
-355.5	-450.0	0.0	0.0
-351.0	-450.0	2.78387e-05	1.0
-346.5	-450.0	1.16759e-05	1.0
-342.0	-450.0	6.55314e-05	0.5114
-337.5	-450.0	6.43076e-05	0.6523
-333.0	-450.0	3.07308e-05	1.0
-328.5	-450.0	6.1182e-06	1.0
-324.0	-450.0	1.19199e-05	1.0
-319.5	-450.0	3.27304e-06	1.0
-315.0	-450.0	0.00215721	0.9853
-310.5	-450.0	0.00328436	0.8118
-306.0	-450.0	0.00526327	0.7073
-301.5	-450.0	0.00362657	0.7862
-297.0	-450.0	0.0015473	0.9853
-292.5	-450.0	0.0	0.0
-288.0	-450.0	0.0	0.0
-283.5	-450.0	0.0	0.0
-279.0	-450.0	2.75281e-05	0.7579
-274.5	-450.0	0.00108149	0.9514
-270.0	-450.0	0.00131369	0.9944
-265.5	-450.0	0.00130638	1.0
-261.0	-450.0	0.000658319	0.9836
-256.5	-450.0	1.17118e-05	1.0
-252.0	-450.0	6.04263e-05	0.6179
-247.5	-450.0	1.04441e-05	1.0
-243.0	-450.0	0.0	0.0
-238.5	-450.0	0.0	0.0
-234.0	-450.0	7.10561e-05	0.5914
-229.5	-450.0	6.92241e-06	0.8326
-225.0	-450.0	1.65938e-05	0.7084
-220.5	-450.0	3.89269e-05	1.0
-216.0	-450.0	5.48469e-05	0.7668
-211.5	-450.0	6.31945e-05	0.7195
-207.0	-450.0	4.87234e-05	0.689
-202.5	-450.0	5.38142e-05	0.7091
-198.0	-450.0	0.000684577	0.9044
-193.5	-450.0	0.00109942	0.5343
-189.0	-450.0	0.000697815	0.8598
-184.5	-450.0	0.00281977	0.5136
-180.0	-450.0	0.00378688	0.6012
