Cor B	Cor A	Value	Error
-450.0	-65.0	0.0569395	0.1281
-445.5	-65.0	0.0553904	0.1078
-441.0	-65.0	0.0725661	0.3045
-436.5	-65.0	0.0645314	0.1868
-432.0	-65.0	0.0575957	0.1243
-427.5	-65.0	0.0941004	0.3147
-423.0	-65.0	0.08632	0.3466
-418.5	-65.0	0.0545419	0.142
-414.0	-65.0	0.0520459	0.155
-409.5	-65.0	0.0665472	0.1683
-405.0	-65.0	0.110647	0.3358
-400.5	-65.0	0.119461	0.3169
-396.0	-65.0	0.117714	0.2838
-391.5	-65.0	0.0752987	0.2656
-387.0	-65.0	0.0680943	0.1915
-382.5	-65.0	0.0706041	0.1838
-378.0	-65.0	0.0874399	0.1529
-373.5	-65.0	0.135982	0.3293
-369.0	-65.0	0.143915	0.3228
-364.5	-65.0	0.112199	0.1282
-360.0	-65.0	0.146404	0.138
-355.5	-65.0	0.223219	0.1562
-351.0	-65.0	0.255557	0.1402
-346.5	-65.0	0.338523	0.1966
-342.0	-65.0	0.546149	0.1805
-337.5	-65.0	0.759444	0.208
-333.0	-65.0	1.04846	0.1511
-328.5	-65.0	1.81071	0.1975
-324.0	-65.0	3.60013	0.4902
-319.5	-65.0	2.62379	0.1526
-315.0	-65.0	2.68136	0.1353
-310.5	-65.0	2.68568	0.1121
-306.0	-65.0	2.63723	0.0899
-301.5	-65.0	2.56777	0.0872
-297.0	-65.0	2.6354	0.0809
-292.5	-65.0	2.54202	0.0721
-288.0	-65.0	8.32352	0.704
-283.5	-65.0	8.66059	0.7177
-279.0	-65.0	2.9526	0.1742
-274.5	-65.0	5.47129	0.3837
-270.0	-65.0	3.53119	0.1924
-265.5	-65.0	4.27009	0.3971
-261.0	-65.0	2.96537	0.1997
-256.5	-65.0	2.84322	0.0926
-252.0	-65.0	4.98498	0.2731
-247.5	-65.0	8.58563	0.5377
-243.0	-65.0	23.2149	0.6772
-238.5	-65.0	14.1143	0.2675
-234.0	-65.0	24.6725	0.2883
-229.5	-65.0	53.3279	0.3616
-225.0	-65.0	54.3167	0.2272
-220.5	-65.0	73.1347	0.1642
-216.0	-65.0	115.337	0.2122
-211.5	-65.0	169.252	0.1751
-207.0	-65.0	303.178	0.185
-202.5	-65.0	534.495	0.2463
-198.0	-65.0	1060.13	0.2708
-193.5	-65.0	1328.15	0.2011
-189.0	-65.0	2128.71	0.2163
-184.5	-65.0	3736.65	0.2204
-180.0	-65.0	5323.05	0.2183
