Cor C	Cor A	Value	Error
-450.0	-65.0	0.0332125	0.1534
-445.5	-65.0	0.0311408	0.195
-441.0	-65.0	0.026568	0.1588
-436.5	-65.0	0.0338169	0.3395
-432.0	-65.0	0.0244611	0.1469
-427.5	-65.0	0.031257	0.2876
-423.0	-65.0	0.0252211	0.1464
-418.5	-65.0	0.0261233	0.1209
-414.0	-65.0	0.0348882	0.2285
-409.5	-65.0	0.0484792	0.3991
-405.0	-65.0	0.0404318	0.2755
-400.5	-65.0	0.0363378	0.1789
-396.0	-65.0	0.0590742	0.3396
-391.5	-65.0	0.0922015	0.3327
-387.0	-65.0	0.0464514	0.2249
-382.5	-65.0	0.0632963	0.286
-378.0	-65.0	0.0539747	0.1864
-373.5	-65.0	0.0516572	0.1253
-369.0	-65.0	0.0501398	0.1408
-364.5	-65.0	0.0561623	0.1413
-360.0	-65.0	0.0670871	0.1681
-355.5	-65.0	0.0534031	0.1215
-351.0	-65.0	0.0586052	0.1232
-346.5	-65.0	0.109918	0.2876
-342.0	-65.0	0.0758676	0.2202
-337.5	-65.0	0.0515603	0.0914
-333.0	-65.0	0.0591037	0.0838
-328.5	-65.0	0.0638585	0.0886
-324.0	-65.0	0.0611825	0.0856
-319.5	-65.0	0.081601	0.1186
-315.0	-65.0	0.0735678	0.0765
-310.5	-65.0	0.0948318	0.1337
-306.0	-65.0	0.088529	0.0928
-301.5	-65.0	0.109113	0.1487
-297.0	-65.0	0.112364	0.1856
-292.5	-65.0	0.112405	0.1112
-288.0	-65.0	0.104987	0.0748
-283.5	-65.0	0.123469	0.161
-279.0	-65.0	0.137004	0.1243
-274.5	-65.0	0.167607	0.1958
-270.0	-65.0	0.160767	0.0839
-265.5	-65.0	0.171746	0.0784
-261.0	-65.0	0.151145	0.0614
-256.5	-65.0	0.171257	0.0704
-252.0	-65.0	0.190021	0.0611
-247.5	-65.0	0.199146	0.0542
-243.0	-65.0	0.240381	0.0575
-238.5	-65.0	0.249281	0.0544
-234.0	-65.0	0.259827	0.0626
-229.5	-65.0	0.293959	0.0844
-225.0	-65.0	0.340467	0.0694
-220.5	-65.0	0.357042	0.0565
-216.0	-65.0	0.382319	0.0544
-211.5	-65.0	0.457424	0.0752
-207.0	-65.0	0.462822	0.0585
-202.5	-65.0	0.514685	0.0583
-198.0	-65.0	0.541487	0.0548
-193.5	-65.0	0.621167	0.0581
-189.0	-65.0	0.608329	0.048
-184.5	-65.0	0.636299	0.0457
-180.0	-65.0	0.695783	0.045
-175.5	-65.0	0.800274	0.0514
-171.0	-65.0	0.958488	0.0709
-166.5	-65.0	0.908842	0.0507
-162.0	-65.0	0.914965	0.0375
-157.5	-65.0	1.05142	0.049
-153.0	-65.0	1.07831	0.0368
-148.5	-65.0	1.35334	0.0586
-144.0	-65.0	1.30652	0.0461
-139.5	-65.0	1.35928	0.0387
-135.0	-65.0	1.4071	0.0362
-130.5	-65.0	1.63424	0.0597
-126.0	-65.0	1.66315	0.0491
-121.5	-65.0	1.85972	0.0457
-117.0	-65.0	2.05483	0.0496
-112.5	-65.0	12.7957	0.8175
-108.0	-65.0	2.0515	0.0364
-103.5	-65.0	2.3922	0.047
-99.0	-65.0	2.26613	0.0469
-94.5	-65.0	2.32655	0.0332
-90.0	-65.0	2.49393	0.0447
-85.5	-65.0	2.61225	0.0415
-81.0	-65.0	2.80996	0.0375
-76.5	-65.0	2.92504	0.041
-72.0	-65.0	3.04933	0.0445
-67.5	-65.0	3.49912	0.061
-63.0	-65.0	3.276	0.0423
-58.5	-65.0	5.09571	0.3304
-54.0	-65.0	3.52367	0.0457
-49.5	-65.0	3.27721	0.043
-45.0	-65.0	3.43079	0.0425
-40.5	-65.0	3.26829	0.0354
-36.0	-65.0	3.56499	0.0453
-31.5	-65.0	3.39543	0.0444
-27.0	-65.0	3.47557	0.0473
-22.5	-65.0	3.42645	0.0442
-18.0	-65.0	3.69432	0.0924
-13.5	-65.0	2.71448	0.0392
-9.0	-65.0	3.27577	0.267
-4.5	-65.0	2.12413	0.0266
0.0	-65.0	2.21885	0.0332
4.5	-65.0	2.27816	0.0411
9.0	-65.0	2.32895	0.042
13.5	-65.0	3.04832	0.0482
18.0	-65.0	2.95112	0.0421
22.5	-65.0	3.14187	0.0397
27.0	-65.0	3.3258	0.0422
31.5	-65.0	3.96039	0.1855
