Cor B	Cor A	Value	Error
-450.0	-65.0	0.0037606	0.4515
-445.5	-65.0	0.00582805	0.4705
-441.0	-65.0	0.00478412	0.3741
-436.5	-65.0	0.00294733	0.4945
-432.0	-65.0	0.00628222	0.4762
-427.5	-65.0	0.00585853	0.5505
-423.0	-65.0	0.00554088	0.5755
-418.5	-65.0	0.00561943	0.376
-414.0	-65.0	0.00639069	0.4835
-409.5	-65.0	0.00375974	0.5103
-405.0	-65.0	0.00390082	0.6976
-400.5	-65.0	0.00745359	0.367
-396.0	-65.0	0.00835288	0.4354
-391.5	-65.0	0.00606608	0.4478
-387.0	-65.0	0.00172215	0.6184
-382.5	-65.0	0.00339146	0.5512
-378.0	-65.0	0.0003707	0.3125
-373.5	-65.0	0.00296546	0.69
-369.0	-65.0	0.00966606	0.3996
-364.5	-65.0	0.0137072	0.2776
-360.0	-65.0	0.0215494	0.3554
-355.5	-65.0	0.0236153	0.3243
-351.0	-65.0	0.046113	0.336
-346.5	-65.0	0.0718742	0.2529
-342.0	-65.0	0.0911072	0.2731
-337.5	-65.0	0.272776	0.2521
-333.0	-65.0	0.360273	0.4345
-328.5	-65.0	0.91953	0.3116
-324.0	-65.0	0.721155	0.281
-319.5	-65.0	1.32257	0.1962
-315.0	-65.0	2.35674	0.2045
-310.5	-65.0	2.23694	0.204
-306.0	-65.0	1.54993	0.201
-301.5	-65.0	1.92932	0.193
-297.0	-65.0	1.8269	0.1965
-292.5	-65.0	1.55188	0.198
-288.0	-65.0	2.19723	0.1992
-283.5	-65.0	1.72481	0.1954
-279.0	-65.0	1.38989	0.1939
-274.5	-65.0	1.61416	0.1719
-270.0	-65.0	1.54861	0.282
-265.5	-65.0	1.62337	0.186
-261.0	-65.0	1.27773	0.2056
-256.5	-65.0	0.996773	0.1884
-252.0	-65.0	1.08866	0.2087
-247.5	-65.0	1.67291	0.2309
-243.0	-65.0	1.02283	0.2794
-238.5	-65.0	0.995058	0.275
-234.0	-65.0	2.26809	0.2422
-229.5	-65.0	4.3145	0.2558
-225.0	-65.0	9.94644	0.3361
-220.5	-65.0	16.7906	0.5745
-216.0	-65.0	131.918	0.8439
-211.5	-65.0	53.5036	0.6554
-207.0	-65.0	33.8286	0.2497
-202.5	-65.0	34.0365	0.1835
-198.0	-65.0	63.9575	0.2591
-193.5	-65.0	108.67	0.2614
-189.0	-65.0	144.483	0.3325
-184.5	-65.0	117.505	0.2043
-180.0	-65.0	264.77	0.1722
-175.5	-65.0	508.723	0.1451
-171.0	-65.0	882.692	0.1074
-166.5	-65.0	2582.88	0.1407
-162.0	-65.0	7864.19	0.2016
-157.5	-65.0	21644.8	0.146
-153.0	-65.0	85762.0	0.0849
-148.5	-65.0	457052.0	0.0668
-144.0	-65.0	734146.0	0.0624
-139.5	-65.0	786704.0	0.065
-135.0	-65.0	1005690.0	0.0622
-130.5	-65.0	1108320.0	0.0611
-126.0	-65.0	1045640.0	0.0612
-121.5	-65.0	1093780.0	0.0563
-117.0	-65.0	1172680.0	0.0561
-112.5	-65.0	1306800.0	0.0539
-108.0	-65.0	1542080.0	0.0483
-103.5	-65.0	1696590.0	0.0489
-99.0	-65.0	2042860.0	0.0416
-94.5	-65.0	2404300.0	0.0371
-90.0	-65.0	2774660.0	0.035
-85.5	-65.0	3411670.0	0.0318
-81.0	-65.0	4033380.0	0.0307
-76.5	-65.0	4729990.0	0.028
-72.0	-65.0	5564410.0	0.0254
-67.5	-65.0	6366360.0	0.024
