Cor C	Cor B	Value	Error
-450.0	-450.0	0.000990895	0.8022
-445.5	-450.0	0.0006016	0.3328
-441.0	-450.0	0.000394072	0.3356
-436.5	-450.0	0.000559712	0.4209
-432.0	-450.0	0.000187686	0.3401
-427.5	-450.0	0.000383488	0.4333
-423.0	-450.0	0.000756227	0.2756
-418.5	-450.0	0.000890032	0.3139
-414.0	-450.0	0.000954476	0.3528
-409.5	-450.0	0.000704022	0.5262
-405.0	-450.0	0.00103204	0.3796
-400.5	-450.0	0.000646605	0.247
-396.0	-450.0	0.00129773	0.5521
-391.5	-450.0	0.00110072	0.2906
-387.0	-450.0	0.000412324	0.3299
-382.5	-450.0	0.000825746	0.4237
-378.0	-450.0	0.00145554	0.2923
-373.5	-450.0	0.000671896	0.3785
-369.0	-450.0	0.000838543	0.3196
-364.5	-450.0	0.001387	0.4508
-360.0	-450.0	0.00202422	0.273
-355.5	-450.0	0.00121842	0.3384
-351.0	-450.0	0.00156785	0.3334
-346.5	-450.0	0.0017102	0.3893
-342.0	-450.0	0.00134326	0.3226
-337.5	-450.0	0.00176596	0.256
-333.0	-450.0	0.00202484	0.323
-328.5	-450.0	0.00113649	0.2732
-324.0	-450.0	0.00188852	0.2363
-319.5	-450.0	0.002482	0.3089
-315.0	-450.0	0.00226926	0.2528
-310.5	-450.0	0.00241424	0.252
-306.0	-450.0	0.00489095	0.5841
-301.5	-450.0	0.00391818	0.3144
-297.0	-450.0	0.00474596	0.3553
-292.5	-450.0	0.00225444	0.2825
-288.0	-450.0	0.001654	0.1778
-283.5	-450.0	0.00252796	0.1773
-279.0	-450.0	0.0049901	0.3093
-274.5	-450.0	0.0104735	0.35
-270.0	-450.0	0.00572735	0.2784
-265.5	-450.0	0.00350952	0.1921
-261.0	-450.0	0.00510009	0.2314
-256.5	-450.0	0.00225781	0.1936
-252.0	-450.0	0.00391614	0.1985
-247.5	-450.0	0.00702361	0.3051
-243.0	-450.0	0.00818182	0.2672
-238.5	-450.0	0.00793018	0.243
-234.0	-450.0	0.012403	0.2379
-229.5	-450.0	0.0103244	0.3709
-225.0	-450.0	0.0152887	0.2893
-220.5	-450.0	0.0124843	0.2348
-216.0	-450.0	0.0297399	0.3698
-211.5	-450.0	0.0174286	0.2353
-207.0	-450.0	0.0179643	0.3125
-202.5	-450.0	0.0182274	0.2335
-198.0	-450.0	0.0124802	0.2389
-193.5	-450.0	0.0100345	0.1313
-189.0	-450.0	0.0168222	0.2763
-184.5	-450.0	0.0168011	0.3972
-180.0	-450.0	0.011629	0.1573
-175.5	-450.0	0.019315	0.3224
-171.0	-450.0	0.0196282	0.2132
-166.5	-450.0	0.0195183	0.3155
-162.0	-450.0	0.0148859	0.2201
-157.5	-450.0	0.0114823	0.2494
-153.0	-450.0	0.0158415	0.2631
-148.5	-450.0	0.0207032	0.2207
-144.0	-450.0	0.0305097	0.378
-139.5	-450.0	0.0159024	0.2892
-135.0	-450.0	0.0150635	0.1591
-130.5	-450.0	0.0211564	0.2435
-126.0	-450.0	0.0329649	0.3626
-121.5	-450.0	0.0188075	0.117
-117.0	-450.0	0.0261786	0.2488
-112.5	-450.0	0.0237408	0.246
-108.0	-450.0	0.0546213	0.4992
-103.5	-450.0	0.0292258	0.2697
-99.0	-450.0	0.0391763	0.3188
-94.5	-450.0	0.0158616	0.1507
-90.0	-450.0	0.034611	0.2476
-85.5	-450.0	0.0574761	0.3134
-81.0	-450.0	0.0333674	0.1726
-76.5	-450.0	0.04533	0.4399
-72.0	-450.0	0.0242669	0.1407
-67.5	-450.0	0.0256909	0.1288
-63.0	-450.0	0.0218443	0.1492
-58.5	-450.0	0.0279472	0.1566
-54.0	-450.0	0.0170946	0.1035
-49.5	-450.0	0.0240004	0.1582
-45.0	-450.0	0.0238958	0.1333
-40.5	-450.0	0.0190662	0.1358
-36.0	-450.0	0.0303805	0.2136
-31.5	-450.0	0.0252225	0.1368
-27.0	-450.0	0.0311942	0.1245
-22.5	-450.0	0.0256678	0.1459
-18.0	-450.0	0.0461357	0.3682
-13.5	-450.0	0.0696682	0.6291
-9.0	-450.0	0.0335873	0.2025
-4.5	-450.0	0.0250891	0.1226
0.0	-450.0	0.0249303	0.1088
4.5	-450.0	0.0490131	0.5177
9.0	-450.0	0.034478	0.2149
13.5	-450.0	0.0281201	0.1791
18.0	-450.0	0.0227489	0.1224
22.5	-450.0	0.0219842	0.1387
27.0	-450.0	0.0315644	0.2007
31.5	-450.0	0.0223154	0.1782
36.0	-450.0	0.0362189	0.2486
40.5	-450.0	0.0459743	0.3993
45.0	-450.0	0.0229083	0.1101
49.5	-450.0	0.0322252	0.2888
54.0	-450.0	0.0296435	0.1504
58.5	-450.0	0.0303317	0.1479
63.0	-450.0	0.0355006	0.2148
67.5	-450.0	0.0217583	0.1324
72.0	-450.0	0.0321362	0.1673
76.5	-450.0	0.033726	0.2534
81.0	-450.0	0.0263246	0.1477
85.5	-450.0	0.0269892	0.1689
90.0	-450.0	0.032457	0.1892
94.5	-450.0	0.0249587	0.0938
99.0	-450.0	0.0259695	0.1036
103.5	-450.0	0.0266448	0.1131
108.0	-450.0	0.0270412	0.1212
112.5	-450.0	0.0265241	0.1125
117.0	-450.0	0.0560263	0.4317
121.5	-450.0	0.0357386	0.2817
126.0	-450.0	0.0245973	0.0992
130.5	-450.0	0.0297151	0.1111
135.0	-450.0	0.0234268	0.1098
139.5	-450.0	0.021326	0.1043
144.0	-450.0	0.0388104	0.2294
148.5	-450.0	0.0212721	0.1019
153.0	-450.0	0.0248677	0.1493
157.5	-450.0	0.0220727	0.1049
162.0	-450.0	0.0213984	0.1002
166.5	-450.0	0.0225999	0.1291
171.0	-450.0	0.0190432	0.1033
175.5	-450.0	0.0299139	0.1834
180.0	-450.0	0.029858	0.2221
184.5	-450.0	0.0203633	0.0956
189.0	-450.0	0.0233758	0.2931
193.5	-450.0	0.019728	0.121
198.0	-450.0	0.0259284	0.1547
202.5	-450.0	0.0169327	0.1353
207.0	-450.0	0.0264663	0.201
211.5	-450.0	0.0240138	0.1699
216.0	-450.0	0.0189154	0.115
220.5	-450.0	0.0178386	0.1053
225.0	-450.0	0.0283288	0.4026
229.5	-450.0	0.0210494	0.1968
234.0	-450.0	0.0143865	0.1117
238.5	-450.0	0.0179599	0.2071
243.0	-450.0	0.0161641	0.1259
247.5	-450.0	0.0173598	0.1874
252.0	-450.0	0.0171706	0.1577
256.5	-450.0	0.0145264	0.1419
261.0	-450.0	0.0145789	0.1343
265.5	-450.0	0.0179652	0.1846
270.0	-450.0	0.0135631	0.165
274.5	-450.0	0.013391	0.1545
279.0	-450.0	0.010952	0.15
283.5	-450.0	0.00991133	0.1461
288.0	-450.0	0.0135502	0.1427
292.5	-450.0	0.019925	0.4267
297.0	-450.0	0.00807915	0.1555
301.5	-450.0	0.00921265	0.1678
306.0	-450.0	0.00959891	0.1666
310.5	-450.0	0.0123626	0.305
315.0	-450.0	0.00749249	0.256
319.5	-450.0	0.00507229	0.1504
324.0	-450.0	0.00607643	0.1706
328.5	-450.0	0.00687079	0.2869
333.0	-450.0	0.00955678	0.2508
337.5	-450.0	0.00635514	0.2185
342.0	-450.0	0.0047533	0.1765
346.5	-450.0	0.0040821	0.1818
351.0	-450.0	0.00560527	0.2881
355.5	-450.0	0.00641924	0.1904
360.0	-450.0	0.00529864	0.2284
364.5	-450.0	0.00657897	0.2665
369.0	-450.0	0.00406455	0.2139
373.5	-450.0	0.002195	0.1797
378.0	-450.0	0.00311405	0.2664
382.5	-450.0	0.00460365	0.239
387.0	-450.0	0.00293401	0.2417
391.5	-450.0	0.00204079	0.2044
396.0	-450.0	0.00215008	0.2104
400.5	-450.0	0.00193895	0.3793
405.0	-450.0	0.00262842	0.253
409.5	-450.0	0.00180258	0.3063
414.0	-450.0	0.00236837	0.3075
418.5	-450.0	0.00176264	0.2208
423.0	-450.0	0.00179622	0.2444
427.5	-450.0	0.00134657	0.2855
432.0	-450.0	0.000609399	0.2115
436.5	-450.0	0.000935135	0.2119
441.0	-450.0	0.00113316	0.2743
445.5	-450.0	0.00142431	0.2478
-450.0	-445.5	0.000260519	0.3812
-445.5	-445.5	0.000448634	0.5672
-441.0	-445.5	0.000452788	0.3952
-436.5	-445.5	0.000430501	0.3313
-432.0	-445.5	0.000174408	0.5727
-427.5	-445.5	0.000415082	0.4931
-423.0	-445.5	0.000472548	0.2872
-418.5	-445.5	0.000381217	0.3586
-414.0	-445.5	0.000548573	0.2995
-409.5	-445.5	0.000899699	0.4213
-405.0	-445.5	0.00114348	0.6101
-400.5	-445.5	0.000551172	0.4692
-396.0	-445.5	0.000838769	0.3931
-391.5	-445.5	0.000920387	0.3785
-387.0	-445.5	0.000900138	0.3249
-382.5	-445.5	0.00143639	0.3846
-378.0	-445.5	0.00248704	0.5393
-373.5	-445.5	0.00134617	0.3266
-369.0	-445.5	0.00181979	0.3377
-364.5	-445.5	0.00114106	0.3558
-360.0	-445.5	0.00172197	0.3346
-355.5	-445.5	0.00165295	0.3288
-351.0	-445.5	0.00141999	0.2763
-346.5	-445.5	0.00262511	0.3651
-342.0	-445.5	0.00148653	0.3081
-337.5	-445.5	0.00133933	0.2571
-333.0	-445.5	0.00158623	0.2324
-328.5	-445.5	0.00167858	0.2788
-324.0	-445.5	0.00124508	0.2509
-319.5	-445.5	0.00178247	0.2576
-315.0	-445.5	0.00201925	0.2738
-310.5	-445.5	0.00236935	0.2385
-306.0	-445.5	0.00268487	0.2423
-301.5	-445.5	0.00383013	0.348
-297.0	-445.5	0.00412446	0.3081
-292.5	-445.5	0.00300231	0.2334
-288.0	-445.5	0.00240379	0.1899
-283.5	-445.5	0.0026502	0.2461
-279.0	-445.5	0.0045255	0.2895
-274.5	-445.5	0.00962003	0.394
-270.0	-445.5	0.0044593	0.2421
-265.5	-445.5	0.00469958	0.2766
-261.0	-445.5	0.00582857	0.221
-256.5	-445.5	0.00453996	0.1972
-252.0	-445.5	0.00282505	0.1871
-247.5	-445.5	0.00734566	0.3132
-243.0	-445.5	0.0062999	0.2386
-238.5	-445.5	0.00748347	0.2834
-234.0	-445.5	0.0108335	0.2124
-229.5	-445.5	0.0107888	0.3053
-225.0	-445.5	0.0163398	0.4276
-220.5	-445.5	0.0145028	0.3247
-216.0	-445.5	0.0266273	0.4509
-211.5	-445.5	0.021677	0.3594
-207.0	-445.5	0.0199236	0.295
-202.5	-445.5	0.0274726	0.2729
-198.0	-445.5	0.016967	0.3659
-193.5	-445.5	0.0094141	0.1474
-189.0	-445.5	0.0144963	0.2199
-184.5	-445.5	0.0175941	0.3842
-180.0	-445.5	0.0117178	0.1482
-175.5	-445.5	0.0216577	0.4162
-171.0	-445.5	0.0135741	0.1699
-166.5	-445.5	0.0180384	0.3752
-162.0	-445.5	0.0182136	0.274
-157.5	-445.5	0.0122757	0.1398
-153.0	-445.5	0.0125533	0.2118
-148.5	-445.5	0.0198892	0.195
-144.0	-445.5	0.027966	0.2348
-139.5	-445.5	0.0221455	0.3506
-135.0	-445.5	0.0162384	0.1469
-130.5	-445.5	0.0152026	0.149
-126.0	-445.5	0.0330817	0.2852
-121.5	-445.5	0.0279986	0.3363
