Cor C	Cor A	Value	Error
-450.0	-65.0	0.000280858	0.3087
-445.5	-65.0	0.00273136	0.6019
-441.0	-65.0	0.000508828	0.4672
-436.5	-65.0	0.000505036	0.3019
-432.0	-65.0	0.000272007	0.3716
-427.5	-65.0	0.000249781	0.3781
-423.0	-65.0	0.00308149	0.8581
-418.5	-65.0	0.000705659	0.2851
-414.0	-65.0	0.000849617	0.2645
-409.5	-65.0	0.000393448	0.3201
-405.0	-65.0	0.000227768	0.4145
-400.5	-65.0	0.00287722	0.6217
-396.0	-65.0	0.000753456	0.7083
-391.5	-65.0	0.000418698	0.2973
-387.0	-65.0	0.00347891	0.9392
-382.5	-65.0	0.00256474	0.5998
-378.0	-65.0	0.00183952	0.7483
-373.5	-65.0	0.000419717	0.3378
-369.0	-65.0	0.000487914	0.2876
-364.5	-65.0	0.00360951	0.6289
-360.0	-65.0	0.00125297	0.4769
-355.5	-65.0	0.00102423	0.2345
-351.0	-65.0	0.000879232	0.2388
-346.5	-65.0	0.00549056	0.7656
-342.0	-65.0	0.00169675	0.2913
-337.5	-65.0	0.000765595	0.2363
-333.0	-65.0	0.00214449	0.5033
-328.5	-65.0	0.00157854	0.3561
-324.0	-65.0	0.00186552	0.4195
-319.5	-65.0	0.0011779	0.1886
-315.0	-65.0	0.00160047	0.1756
-310.5	-65.0	0.00156906	0.1594
-306.0	-65.0	0.00339766	0.6008
-301.5	-65.0	0.00127569	0.1939
-297.0	-65.0	0.00172871	0.2503
-292.5	-65.0	0.00598246	0.4018
-288.0	-65.0	0.00448601	0.4502
-283.5	-65.0	0.00337499	0.4948
-279.0	-65.0	0.00474142	0.3591
-274.5	-65.0	0.00382743	0.3472
-270.0	-65.0	0.00948838	0.578
-265.5	-65.0	0.00955233	0.5
-261.0	-65.0	0.00406878	0.4008
-256.5	-65.0	0.00517266	0.4056
-252.0	-65.0	0.00670166	0.3559
-247.5	-65.0	0.0118955	0.4042
-243.0	-65.0	0.00469209	0.2825
-238.5	-65.0	0.00657115	0.4118
-234.0	-65.0	0.00756904	0.3256
-229.5	-65.0	0.00636326	0.2713
