Cor C	Cor B	Value	Error
-450.0	-450.0	0.00247241	0.6307
-445.5	-450.0	0.00105424	0.6065
-441.0	-450.0	0.000590764	0.3273
-436.5	-450.0	0.00118443	0.4083
-432.0	-450.0	0.0010491	0.3297
-427.5	-450.0	0.000903318	0.277
-423.0	-450.0	0.00057611	0.2809
-418.5	-450.0	0.00082715	0.2769
-414.0	-450.0	0.00143049	0.2785
-409.5	-450.0	0.00119934	0.3132
-405.0	-450.0	0.0011315	0.2966
-400.5	-450.0	0.000990512	0.296
-396.0	-450.0	0.00174118	0.3439
-391.5	-450.0	0.0015419	0.2871
-387.0	-450.0	0.00128539	0.2523
-382.5	-450.0	0.00223612	0.382
-378.0	-450.0	0.000667973	0.2549
-373.5	-450.0	0.001621	0.2223
-369.0	-450.0	0.00240835	0.2095
-364.5	-450.0	0.00274487	0.2557
-360.0	-450.0	0.00245737	0.2083
-355.5	-450.0	0.00271846	0.2535
-351.0	-450.0	0.00389686	0.2579
-346.5	-450.0	0.00232291	0.2216
-342.0	-450.0	0.00334857	0.247
-337.5	-450.0	0.00280885	0.1848
-333.0	-450.0	0.00485137	0.2282
-328.5	-450.0	0.0054159	0.2291
-324.0	-450.0	0.00448238	0.2415
-319.5	-450.0	0.00461521	0.1949
-315.0	-450.0	0.0190337	0.7008
-310.5	-450.0	0.00421437	0.2546
-306.0	-450.0	0.00631092	0.221
-301.5	-450.0	0.00558332	0.1667
-297.0	-450.0	0.00537853	0.2163
-292.5	-450.0	0.00636974	0.2389
-288.0	-450.0	0.0184828	0.5516
-283.5	-450.0	0.00601149	0.223
-279.0	-450.0	0.0112888	0.1819
-274.5	-450.0	0.0106969	0.2475
-270.0	-450.0	0.0105171	0.2022
-265.5	-450.0	0.0109053	0.2011
-261.0	-450.0	0.00988279	0.1874
-256.5	-450.0	0.0126299	0.1613
-252.0	-450.0	0.0142809	0.2174
-247.5	-450.0	0.0132142	0.1608
-243.0	-450.0	0.0151734	0.2322
-238.5	-450.0	0.0142562	0.3105
-234.0	-450.0	0.0107231	0.1484
-229.5	-450.0	0.0183159	0.1623
-225.0	-450.0	0.0123743	0.1838
-220.5	-450.0	0.0210391	0.2158
-216.0	-450.0	0.0150553	0.1576
-211.5	-450.0	0.0181415	0.1399
-207.0	-450.0	0.0160926	0.1541
-202.5	-450.0	0.0343663	0.3843
-198.0	-450.0	0.0229623	0.1463
-193.5	-450.0	0.0222307	0.1205
-189.0	-450.0	0.0372526	0.3145
-184.5	-450.0	0.0208684	0.1277
-180.0	-450.0	0.024161	0.1173
-175.5	-450.0	0.0609538	0.2969
-171.0	-450.0	0.0303623	0.2279
-166.5	-450.0	0.0372633	0.1481
-162.0	-450.0	0.0411283	0.1143
-157.5	-450.0	0.042029	0.1081
-153.0	-450.0	0.0736734	0.385
-148.5	-450.0	0.057334	0.1904
-144.0	-450.0	0.0505228	0.0833
-139.5	-450.0	0.0607287	0.1172
-135.0	-450.0	0.0702709	0.0941
-130.5	-450.0	0.113392	0.2162
-126.0	-450.0	0.102235	0.1035
-121.5	-450.0	0.177295	0.1659
-117.0	-450.0	0.204835	0.1729
-112.5	-450.0	0.287405	0.154
-108.0	-450.0	0.418716	0.2024
-103.5	-450.0	0.197741	0.1163
-99.0	-450.0	0.275022	0.1511
-94.5	-450.0	0.322472	0.1461
-90.0	-450.0	0.252597	0.1247
-85.5	-450.0	0.319011	0.1433
-81.0	-450.0	0.330714	0.1259
-76.5	-450.0	0.286916	0.1734
-72.0	-450.0	0.33319	0.139
-67.5	-450.0	0.33265	0.1321
-63.0	-450.0	0.327071	0.1467
-58.5	-450.0	0.373989	0.1727
-54.0	-450.0	0.29309	0.1336
-49.5	-450.0	0.277687	0.1245
-45.0	-450.0	0.315771	0.122
-40.5	-450.0	0.321695	0.1339
-36.0	-450.0	0.299287	0.1187
-31.5	-450.0	0.432223	0.1649
-27.0	-450.0	0.370145	0.1744
-22.5	-450.0	0.351847	0.174
-18.0	-450.0	0.269133	0.1748
-13.5	-450.0	0.376671	0.1492
-9.0	-450.0	0.381179	0.1492
-4.5	-450.0	0.340993	0.1735
0.0	-450.0	0.261793	0.1329
4.5	-450.0	0.200429	0.2225
9.0	-450.0	0.116285	0.0843
13.5	-450.0	0.12688	0.1598
18.0	-450.0	0.0929679	0.1204
22.5	-450.0	0.0799208	0.0916
27.0	-450.0	0.0985604	0.2047
31.5	-450.0	0.0755288	0.1209
36.0	-450.0	0.0761998	0.0833
40.5	-450.0	0.0626835	0.094
45.0	-450.0	0.100053	0.3092
49.5	-450.0	0.0735015	0.1285
54.0	-450.0	0.0605472	0.093
58.5	-450.0	0.0669937	0.1459
63.0	-450.0	0.0766596	0.1386
67.5	-450.0	0.0419522	0.0933
72.0	-450.0	0.0570519	0.1566
76.5	-450.0	0.0612839	0.1033
81.0	-450.0	0.214347	0.6792
85.5	-450.0	0.059523	0.1218
90.0	-450.0	0.057333	0.1127
94.5	-450.0	0.0467842	0.1325
99.0	-450.0	0.0705458	0.2041
103.5	-450.0	0.090755	0.3873
108.0	-450.0	0.0512883	0.3075
112.5	-450.0	0.0473262	0.1826
117.0	-450.0	0.045703	0.1194
121.5	-450.0	0.0528828	0.1964
126.0	-450.0	0.0335603	0.1127
130.5	-450.0	0.0315954	0.1018
135.0	-450.0	0.0554755	0.2849
139.5	-450.0	0.028986	0.1195
144.0	-450.0	0.0334072	0.1511
148.5	-450.0	0.0375577	0.1406
153.0	-450.0	0.0424211	0.1518
157.5	-450.0	0.114127	0.6649
162.0	-450.0	0.09449	0.65
166.5	-450.0	0.0427118	0.2319
171.0	-450.0	0.0308942	0.1485
175.5	-450.0	0.0270973	0.1331
180.0	-450.0	0.0291802	0.2052
184.5	-450.0	0.0322005	0.3586
189.0	-450.0	0.0265399	0.12
193.5	-450.0	0.0247978	0.1263
198.0	-450.0	0.0271958	0.1324
202.5	-450.0	0.0240616	0.1513
207.0	-450.0	0.035433	0.3021
211.5	-450.0	0.018212	0.1336
216.0	-450.0	0.0204223	0.1577
220.5	-450.0	0.0154667	0.1454
225.0	-450.0	0.0215709	0.1824
229.5	-450.0	0.0243073	0.1954
234.0	-450.0	0.0266572	0.3309
238.5	-450.0	0.0185886	0.1685
243.0	-450.0	0.0154237	0.1773
247.5	-450.0	0.0186781	0.2712
252.0	-450.0	0.013106	0.1827
256.5	-450.0	0.0156231	0.1907
261.0	-450.0	0.0255432	0.4777
265.5	-450.0	0.0154219	0.1672
270.0	-450.0	0.0122316	0.1507
274.5	-450.0	0.00976667	0.161
279.0	-450.0	0.0116932	0.2729
283.5	-450.0	0.00941581	0.171
288.0	-450.0	0.0152862	0.2385
292.5	-450.0	0.00738959	0.1558
297.0	-450.0	0.00735933	0.1984
301.5	-450.0	0.00707004	0.1804
306.0	-450.0	0.00960885	0.1952
310.5	-450.0	0.00716116	0.2713
315.0	-450.0	0.0243385	0.407
319.5	-450.0	0.014992	0.3409
324.0	-450.0	0.00630991	0.2279
328.5	-450.0	0.00837811	0.208
333.0	-450.0	0.0083949	0.2138
337.5	-450.0	0.00393135	0.1977
342.0	-450.0	0.00661781	0.362
346.5	-450.0	0.00487617	0.3324
351.0	-450.0	0.0045679	0.2351
355.5	-450.0	0.00338719	0.181
360.0	-450.0	0.00352434	0.2037
364.5	-450.0	0.00514869	0.2493
369.0	-450.0	0.00435644	0.279
373.5	-450.0	0.00549934	0.2282
378.0	-450.0	0.00331785	0.1887
382.5	-450.0	0.00321621	0.202
387.0	-450.0	0.00333577	0.3209
391.5	-450.0	0.00451096	0.2864
396.0	-450.0	0.0025735	0.2758
400.5	-450.0	0.0056068	0.3656
405.0	-450.0	0.00427884	0.2502
409.5	-450.0	0.00265968	0.2265
414.0	-450.0	0.00265913	0.2123
418.5	-450.0	0.00444747	0.2525
423.0	-450.0	0.00417603	0.2982
427.5	-450.0	0.00282285	0.3154
432.0	-450.0	0.00497379	0.2989
436.5	-450.0	0.00329129	0.2694
441.0	-450.0	0.0024828	0.2253
445.5	-450.0	0.00476946	0.2542
-450.0	-445.5	0.000422916	0.3531
-445.5	-445.5	0.000633475	0.4561
-441.0	-445.5	0.000500952	0.2986
-436.5	-445.5	0.000791216	0.2572
-432.0	-445.5	0.000567972	0.3326
-427.5	-445.5	0.00111871	0.3097
-423.0	-445.5	0.000808016	0.2978
-418.5	-445.5	0.000820114	0.2972
-414.0	-445.5	0.00104465	0.3122
-409.5	-445.5	0.00122038	0.4602
-405.0	-445.5	0.00127434	0.2481
-400.5	-445.5	0.00115778	0.2822
-396.0	-445.5	0.0022928	0.6204
-391.5	-445.5	0.00168781	0.2989
-387.0	-445.5	0.00114065	0.3248
-382.5	-445.5	0.0018193	0.2345
