Cor B	Cor A	Value	Error
-450.0	-65.0	0.0552446	0.1286
-445.5	-65.0	0.0554093	0.1077
-441.0	-65.0	0.0725677	0.3045
-436.5	-65.0	0.0645886	0.1866
-432.0	-65.0	0.0577889	0.1239
-427.5	-65.0	0.0941179	0.3146
-423.0	-65.0	0.0862392	0.3469
-418.5	-65.0	0.0545971	0.1419
-414.0	-65.0	0.0522205	0.1545
-409.5	-65.0	0.0666555	0.168
-405.0	-65.0	0.110859	0.3352
-400.5	-65.0	0.119346	0.3172
-396.0	-65.0	0.117513	0.2843
-391.5	-65.0	0.0752501	0.2658
-387.0	-65.0	0.0678451	0.1922
-382.5	-65.0	0.0707178	0.1835
-378.0	-65.0	0.0875165	0.1528
-373.5	-65.0	0.135988	0.3293
-369.0	-65.0	0.143842	0.323
-364.5	-65.0	0.1119	0.1285
-360.0	-65.0	0.146567	0.1379
-355.5	-65.0	0.223199	0.1562
-351.0	-65.0	0.255082	0.1405
-346.5	-65.0	0.339629	0.196
-342.0	-65.0	0.549072	0.1796
-337.5	-65.0	0.758034	0.2084
-333.0	-65.0	1.04438	0.1517
-328.5	-65.0	1.81418	0.1972
-324.0	-65.0	3.61132	0.4886
-319.5	-65.0	2.62314	0.1526
-315.0	-65.0	2.68423	0.1352
-310.5	-65.0	2.6958	0.1117
-306.0	-65.0	2.64388	0.0897
-301.5	-65.0	2.56347	0.0873
-297.0	-65.0	2.63615	0.0808
-292.5	-65.0	2.55443	0.0718
-288.0	-65.0	8.33093	0.7034
-283.5	-65.0	8.65171	0.7184
-279.0	-65.0	2.93585	0.1751
-274.5	-65.0	5.46384	0.3843
-270.0	-65.0	3.52219	0.1929
-265.5	-65.0	4.28083	0.3961
-261.0	-65.0	2.98096	0.1987
-256.5	-65.0	2.84449	0.0925
-252.0	-65.0	4.98476	0.2732
-247.5	-65.0	8.5753	0.5383
-243.0	-65.0	23.2148	0.6772
-238.5	-65.0	14.1168	0.2674
-234.0	-65.0	24.672	0.2883
-229.5	-65.0	53.3269	0.3616
-225.0	-65.0	54.2905	0.2273
-220.5	-65.0	73.1246	0.1642
-216.0	-65.0	115.382	0.2121
-211.5	-65.0	169.835	0.1745
-207.0	-65.0	303.21	0.185
-202.5	-65.0	534.492	0.2463
-198.0	-65.0	1060.13	0.2708
-193.5	-65.0	1328.05	0.2011
-189.0	-65.0	2140.3	0.2152
-184.5	-65.0	3736.97	0.2203
-180.0	-65.0	5321.4	0.2184
-175.5	-65.0	6650.84	0.1261
-171.0	-65.0	9017.5	0.1457
-166.5	-65.0	12251.9	0.1277
-162.0	-65.0	15847.8	0.1145
-157.5	-65.0	23978.9	0.1097
-153.0	-65.0	31557.9	0.0772
-148.5	-65.0	37155.6	0.0785
-144.0	-65.0	39759.4	0.0848
-139.5	-65.0	35141.1	0.0915
-135.0	-65.0	48849.5	0.0857
-130.5	-65.0	39165.9	0.0873
-126.0	-65.0	42570.4	0.0943
-121.5	-65.0	48307.5	0.0949
-117.0	-65.0	53595.3	0.0858
-112.5	-65.0	58472.1	0.0815
-108.0	-65.0	67073.9	0.0774
-103.5	-65.0	77472.4	0.0748
-99.0	-65.0	73937.8	0.0769
-94.5	-65.0	85879.4	0.0682
-90.0	-65.0	96317.1	0.0663
