X	Y	Value
-396	-450	0.0008382
-387	-450	0.0003318
-378	-450	0.000906
-373.5	-450	0.0004926
-364.5	-450	0.0008796
-351	-450	0.0010026
-346.5	-450	0.0011166
-342	-450	0.0009096
-337.5	-450	0.0011694
-333	-450	0.00129
-328.5	-450	0.0008004
-315	-450	0.0014832
-310.5	-450	0.0015228
-306	-450	0.0030618
-283.5	-450	0.001683
-265.5	-450	0.0021948
-252	-450	0.0024396
-247.5	-450	0.004563
-238.5	-450	0.0049146
-234	-450	0.007899
-211.5	-450	0.0106092
-193.5	-450	0.0086262
-184.5	-450	0.0105414
-171	-450	0.0135726
-162	-450	0.0096678
-157.5	-450	0.008145
-139.5	-450	0.0126642
-135	-450	0.0138018
-130.5	-450	0.0149658
-121.5	-450	0.0143082
-117	-450	0.019209
-112.5	-450	0.0195156
-108	-450	0.0357138
-103.5	-450	0.0206046
-99	-450	0.0283314
-94.5	-450	0.0148722
-90	-450	0.0232566
-85.5	-450	0.038391
-81	-450	0.0241272
-76.5	-450	0.0309006
-72	-450	0.0185958
-67.5	-450	0.0214698
-63	-450	0.0161046
-58.5	-450	0.0196236
-49.5	-450	0.022485
-45	-450	0.019521
-40.5	-450	0.0160218
-36	-450	0.023265
-31.5	-450	0.0208164
-27	-450	0.0235284
-22.5	-450	0.0217422
-18	-450	0.033345
-13.5	-450	0.0488748
-9	-450	0.0288834
-4.5	-450	0.0190224
0	-450	0.0215808
4.5	-450	0.0377514
9	-450	0.0248412
13.5	-450	0.0250632
18	-450	0.0191448
22.5	-450	0.019206
27	-450	0.0291774
31.5	-450	0.0235104
36	-450	0.0315114
40.5	-450	0.0369192
45	-450	0.0232398
49.5	-450	0.0309276
54	-450	0.0270972
58.5	-450	0.0314976
63	-450	0.0316302
67.5	-450	0.0205428
72	-450	0.0317904
76.5	-450	0.032151
81	-450	0.0262164
85.5	-450	0.0331962
90	-450	0.0332154
94.5	-450	0.0304158
99	-450	0.0244536
103.5	-450	0.030198
108	-450	0.0282864
112.5	-450	0.032031
117	-450	0.0453096
121.5	-450	0.0337752
126	-450	0.0250626
130.5	-450	0.0326928
135	-450	0.0298242
139.5	-450	0.0322302
144	-450	0.0437148
148.5	-450	0.0319836
153	-450	0.0350442
157.5	-450	0.028758
162	-450	0.0308232
166.5	-450	0.0338712
171	-450	0.0246534
175.5	-450	0.0289134
180	-450	0.0339174
184.5	-450	0.0260982
189	-450	0.0263454
193.5	-450	0.0272988
198	-450	0.0319152
202.5	-450	0.0250578
207	-450	0.0304758
211.5	-450	0.0329088
216	-450	0.0346212
220.5	-450	0.025848
225	-450	0.0289896
229.5	-450	0.032076
234	-450	0.0223458
238.5	-450	0.0241212
243	-450	0.0261024
247.5	-450	0.0240078
252	-450	0.020811
256.5	-450	0.0214938
261	-450	0.0215652
265.5	-450	0.0224664
270	-450	0.016653
274.5	-450	0.0166728
279	-450	0.0132624
283.5	-450	0.0161814
288	-450	0.0146262
292.5	-450	0.0186666
297	-450	0.0102738
301.5	-450	0.0090966
306	-450	0.008853
310.5	-450	0.0112344
315	-450	0.0140424
319.5	-450	0.0079698
324	-450	0.0063582
333	-450	0.0090336
337.5	-450	0.007317
342	-450	0.0077628
346.5	-450	0.0052512
351	-450	0.0064926
355.5	-450	0.0059682
360	-450	0.0063318
364.5	-450	0.004836
369	-450	0.0058644
373.5	-450	0.0037284
378	-450	0.0024006
382.5	-450	0.003186
391.5	-450	0.0031518
405	-450	0.002556
409.5	-450	0.003213
423	-450	0.0015114
436.5	-450	0.0014484
-427.5	-445.5	0.000306
-423	-445.5	0.0003456
-396	-445.5	0.0005544
-382.5	-445.5	0.000918
-378	-445.5	0.0015426
-373.5	-445.5	0.0009114
-364.5	-445.5	0.0007674
-351	-445.5	0.0009378
-346.5	-445.5	0.001677
-342	-445.5	0.0010092
-333	-445.5	0.0010272
-328.5	-445.5	0.0010974
-324	-445.5	0.0008082
-319.5	-445.5	0.0013848
-310.5	-445.5	0.0015534
