energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
34.9,0.3,0.2,0.02,,226.1,,191.2,(M1),,,61.5,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
37.4,0.3,0.2,0.02,,249.4,,212.0,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
42.5,0.2,0.3,0.03,,254.4,,212.0,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
53.6,0.2,0.3,0.03,,344.2,,290.4,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
57.9,0.1,0.66,0.2,,191.2,0.000000071,133.3,E2,,,118.3,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
64.3,0.1,1.8,0.3,,290.4,,226.1,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
78.6,0.2,0.5,0.2,,212.0,0.000000071,133.3,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
92.8,0.1,3.7,0.5,,226.1,0.000000071,133.3,M1,,,3.50,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
94.8,0.1,2.5,0.4,,344.2,,249.4,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
112.7,0.3,0.57,0.2,,,,,,,,,,89,131,Ac,,0,,(3-),26.4,,2,ms,0.0264,0.0002,A,100,,8348,4,87,129,Fr,1-Mar-2007,S. -C. WU,2025-02-24
