energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
95.6,0.2,,,0.00000053,4883.1,,4787.5,E2,,,,,47,47,Ag,,6670,,(21+),0.40,,4,s,0.4,0.04,EC,95.4,0.7,13700,400,46,48,Pd,1-Jan-2006,D. Abriola(a) and  A.A. Sonzogni,2025-02-24
130.2,0.3,0.11,0.05,,6709.9,,6579.7,,,,,,47,47,Ag,,0,,(0+),26,,+26-9,ms,0.026,0.0175,ECP,,,9321,400,45,48,Rh,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
137.6,0.1,0.27,0.05,,4749.0,,4611.4,,,,,,47,47,Ag,,0,,(0+),26,,+26-9,ms,0.026,0.0175,ECP,,,9321,400,45,48,Rh,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
148,1,,,,6857.9,,6709.9,,,,,,47,47,Ag,,0,,(0+),26,,+26-9,ms,0.026,0.0175,ECP,,,9321,400,45,48,Rh,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
153,,,,,2232.5,,2079.6,,,,,,47,47,Ag,,6670,,(21+),0.40,,4,s,0.4,0.04,P,4.1,0.6,,,46,47,Pd,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
159,1,0.11,0.05,,4708.3,,4549.3,,,,,,47,47,Ag,,0,,(0+),26,,+26-9,ms,0.026,0.0175,ECP,,,9321,400,45,48,Rh,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
167,,,,,2595.6,,2428.6,D,,,,,47,47,Ag,,6670,,(21+),0.40,,4,s,0.4,0.04,P,4.1,0.6,,,46,47,Pd,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
191.1,0.1,0.11,0.05,,6579.7,,6388.6,,,,,,47,47,Ag,,0,,(0+),26,,+26-9,ms,0.026,0.0175,ECP,,,9321,400,45,48,Rh,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
196,,,,,2428.6,,2232.5,(D),,,,,47,47,Ag,,6670,,(21+),0.40,,4,s,0.4,0.04,P,4.1,0.6,,,46,47,Pd,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
208,,,,,2079.6,,1871.4,,,,,,47,47,Ag,,6670,,(21+),0.40,,4,s,0.4,0.04,P,4.1,0.6,,,46,47,Pd,15-Dec-2010,CORAL M. BAGLIN,2025-02-24
