energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
425.8,0.1,69.5,0.7,0.1307,425.81,2.053,0,[M3],,,1.14E-3,,13,11,Al,,425.81,0.1,1+,130.7,,13,ms,0.1307,0.0013,IT,69.6,0.7,,,13,11,Al,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
587.95,0.06,0.149,0.008,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
775.4,0.2,0.053,0.008,,6010.34,,5235.16,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
822,0.6,0.021,0.008,,8439.29,,7616.42,[E1],,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
860.2,0.6,0.022,0.011,,9301.08,,8439.29,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
909.09,0.06,0.122,0.006,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
996.83,0.1,0.137,0.007,,5235.16,,4238.35,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1059.78,0.08,0.285,0.017,,10575.94,,9516.18,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1076.86,0.04,14.84,0.31,,9516.18,,8439.29,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1090.67,0.1,0.14,0.007,,8439.29,,7348.61,[E2],,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1117,,10.3,0.3,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1172,,7.3,0.2,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1274.71,0.1,0.106,0.006,,10575.94,,9301.08,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1298,,5.2,0.2,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1340,,7.9,0.2,,,,,,,,,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1368.625,0.005,96.3,0.5,,1368.668,,0,E2,,,5.62E-5,,13,11,Al,,0,,4+,2.053,,4,s,2.053,0.004,EC+B+,100,,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
1368.625,0.005,4.4,1,,1368.667,,0,E2,,,5.62E-5,,13,11,Al,,425.81,0.1,1+,130.7,,13,ms,0.1307,0.0013,EC+B+,30.4,0.7,13884.77,23,12,12,Mg,31-Mar-2022,M. Shamsuzzoha Basunia and  Anagha Chakraborty,2025-02-24
