energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
44.1,0.1,0.0644,0.010870602559196063,,44.11,2768804685.010702,0.0,E2,,,775,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
101.9,0.1,0.0672,0.009121403400793104,,145.99,,44.11,E2,,,14.8,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
301.5,0.1,0.504,0.06841052550594828,,962.85,,661.38,E2,,,0.213,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
324.2,0.3,0.0616,0.010682696288858913,,985.53,,661.38,M1+E2,2.8,8,0.29,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
357.7,0.1,2.1,0.265,,962.85,,605.13,M1+E2,2.43,20,0.224,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
380.3,0.2,0.04452,0.00600020832971656,,985.53,,605.13,[M1],,,0.665,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
515.4,0.2,0.392,0.055578413075581784,,661.38,,145.99,E1+M2,0.114,17,0.023,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
561,0.1,10.92,1.3355283598636158,,605.13,,44.11,E1,,,0.0116,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
565.8,0.3,0.154,0.025620499604808646,,,,,,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
574,0.3,0.112,0.030463092423455632,,1559.85,,985.53,M1+E2,3.2,5,0.055,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
597,0.3,0.1456,0.02292596780945136,,1559.85,,962.85,[M1+E2],,,0.12,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
605.1,0.1,7.56,0.9256370779090475,,605.13,2768804685.010702,0.0,E1,,,0.0101,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
617.4,0.2,0.728,0.09602083107326244,,661.38,,44.11,E1+M2,0.077,17,0.0122,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
633,0.5,0.056,0.006026076667285274,,1596.4,,962.85,,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
653.3,0.5,0.056,0.006026076667285274,,1636.42,,983.09,,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
658.4,0.2,0.1792,0.027437201023428028,,1621.29,,962.85,E0+E2+M1,,,1.39,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
665.2,0.2,,,,,,,E0,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
673.4,0.2,,,,1636.42,,962.85,E0,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
679.5,0.4,0.2548,0.037152792627203675,,1621.29,,941.50,E1,,,0.00809,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
749.2,,,,,,,,E0,,,,,95,143,Am,,0,,1+,98,,2,m,5880,120,EC+B+,100,,2258,59,94,144,Pu,1-Jun-2014,E. BROWNE and  J. K. TULI,2025-02-24
