energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
460.8,1,0.90885,0.09822093514113985,0.0000000000052,460.8,1.5266,0.0,M1,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
665.8,1,2.49,0.11,0.0000000000092,665.8,1.5266,0.0,M1,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2579.4,1.4,0.85905,0.045389563778472246,0.000000000000033,2579.5,1.5266,0.0,M1,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
3129,1,1.29729,0.06463165246224176,0.0000000000000019,3129.2,1.5266,0.0,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
511,,199.84,,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
0.223,,0.0001734675521196998,0.00003532692476231791,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2.621,,0.0024348777610147232,0.00006628429845633302,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2.623,,0.004815818356437348,0.0001289195553161659,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2.816,,0.0006235598661008781,0.00003344751154912392,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24
2.816,,0.0006235598661008781,0.00003344751154912392,,,,,,,,,,18,16,Ar,,0,,0+,843.8,,4,ms,0.8438,0.0004,EC+B+,100,,6061.79,9,17,17,Cl,28-May-2012,NINEL NICA and  BALRAJ SINGH,2025-02-24

