energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
42,2,,,0.0000000036,582.16,,539.86,[E2],,,20,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
135.8,3,,,,1100.45,,963.26,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
157.2,1.3,,,,1822.48,,1664.84,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
165.3,1.2,,,,1265.03,,1100.45,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
192,2,,,,1664.84,,1472.96,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
195,1,,,,1526.49,,1331.56,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
207,2,,,,1472.96,,1265.03,[E2],,,0.0561,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
230,0.2,,,,1526.49,,1296.27,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
231,2,,,,1331.56,,1100.45,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
237,,,,,1710.43,,1472.96,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
268,2,,,,1331.56,,1062.89,[E1],,,0.00437,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
296,2,,,,1822.48,,1526.49,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
311.5,0.1,,,,539.86,70.1,228.72,[E1],,,0.00287,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
333.2,0.6,,,,1664.84,,1331.56,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
350,2,,,,1822.48,,1472.96,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
367.5,2,,,,1331.56,,963.26,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
372.6,0.1,,,,1472.96,,1100.45,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
380.7,0.8,,,,963.26,0.0000000036,582.16,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
397.8,0.1,,,,2880.54,,2482.25,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
400,2,,,,1664.84,,1265.03,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
411.8,1.1,,,,2076.84,,1664.84,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
423,2,,,,963.26,,539.86,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
445.6,0.2,,,,1710.43,,1265.03,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
480,2,,,,1062.89,0.0000000036,582.16,,,,,,33,50,As,,0,,(5/2-),13.4,,4,s,13.4,0.4,B-,100,,5671,4,34,49,Se,31-Dec-2014,E.A. MCCUTCHAN,2025-02-24
