energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
84,8,0.031,0.018,0.005,184,,99.6,[E3],,,55E1,,85,108,At,,0,,(1/2+),28,,+5-4,ms,0.028,0.0045,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
99.6,0.5,9.1,0.5,0.00000001,99.6,0.658,0,M1(+E2),0.6,LT,9.8,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
357.6,0.5,12,5,0.000000886,357.6,0.658,0,M2,,,0.969,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
12.904,,3.622421064,1.2261272501058893,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
12.904,,29.330272244,1.9160900046238662,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
74.815,,2.4951272125555484,1.0403634429743758,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
74.815,,21.43397671887714,1.3032281960413123,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
77.108,,35.86076078112287,2.175239860227373,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
77.108,,4.174547787444451,1.7405238340636922,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
87.388,,1.4299456355283309,0.5965681658872649,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
87.388,,12.283710949464012,0.7666921376944955,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
88.458,,1.867509,0.7790852185220717,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
88.458,,16.0425265,0.9994144858933819,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
89.784,,0.43756336447166927,0.18268981785216953,,,,,,,,,,85,108,At,,39,7,(13/2+),27,,+4-3,ms,0.027,0.0035,A,24,10,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24
89.784,,3.7588155505359877,0.2425140324515528,,,,,,,,,,85,108,At,,5,10,(7/2-),21,,5,ms,0.021,0.005,A,100,,7572,7,83,106,Bi,31-AUG-2021,Balraj Singh,2025-02-24

