energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.642,,0.0000000029,0.0000000003,,1.642,,0.0,M1,,,3116,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,EC+B+,0.03,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
1.642,0.002,,,0.0000000097,1.642,1577846298.7296,0.0,M1,,,3116,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
12.634,,0.000000063,0.000000006,,14.276,,1.642,M1+E2,0.015,4,142,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,EC+B+,0.03,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
12.634,0.008,0.2492,0.030800010081271076,0.00000000252,14.276,0.0000000097,1.642,M1+E2,0.015,4,142,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
32.21,0.03,0.001071,0.000015,3.9,290.20,0.000000000045,257.98,E3,,,9.29E4,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,IT,99.97,,,,79,114,Au,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
37.65,0.03,0.0224,0.00224000111999972,,269.83,,232.16,M1+E2,0.042,13,21.4,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
38.22,0.02,0.053,0.009,0.00000000381,38.23,63540,0.0,M1+E2,0.42,5,89,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,IT,99.97,,,,79,114,Au,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
44.33,0.03,0.0616,0.005600003387998975,,232.16,,187.81,M1,,,12.76,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
49.14,0.03,0.01288,0.0016800004937332607,,,,,M1+E2,0.42,2,26.9,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
52.18,0.02,0.01652,0.002520000541488831,,491.24,,439.05,M1,,,7.90,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
73.62,0.03,0.112,0.0112000055999986,,187.81,,114.158,(M1),,,2.88,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
99.88,0.04,0.14,0.022400004374999574,,114.158,0.00000000252,14.276,M1+E2,0.87,3,5.93,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
110.28,0.05,0.616,0.30800000615999995,,,,,(E1),,,0.318,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
112.515,0.01,2.24,0.1400001791998853,,114.158,0.0000000097,1.642,M1+E2,0.36,2,4.56,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
114.155,0.013,0.756,0.14000002041199852,,114.158,1577846298.7296,0.0,M1+E2,0.48,4,4.24,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
117.99,0.02,0.532,0.08400001684666497,,232.16,,114.158,M1,,,4.15,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
119.64,0.03,0.1764,0.04200000370439984,,121.29,0.0000000097,1.642,M1,,,3.99,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
135.4,,0.0000000103,0.000000001,374112,149.78,,14.276,M4,,,875,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,EC+B+,0.03,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
155.68,0.04,0.336,0.08400000671999973,,269.83,,114.158,M1,,,1.89,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
173.52,0.05,2.8,0.00028,,187.81,0.00000000252,14.276,M1+E2,0.355,21,1.300,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
180,0.2,0.0588,0.036400000474923075,,,,,,,,,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
186.17,0.03,9.716,0.5600008428623657,,187.81,0.0000000097,1.642,M1+E2,0.32,4,1.078,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
187.83,0.04,0.868,0.3360000112116665,,187.81,1577846298.7296,0.0,(M1+E2),,,0.78,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
206.85,0.06,0.0868,0.019600001921999906,,439.05,,232.16,(M1),,,0.850,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
215.41,0.1,0.0924,0.025200001693999944,,,,,M1+E2,1.5,5,0.43,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
219.75,0.05,3.85,0.2,0.000000000045,257.98,0.00000000381,38.23,E2,,,0.273,,79,114,Au,,290.2,0.04,11/2-,3.9,,3,s,3.9,0.3,IT,99.97,,,,79,114,Au,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
221.4,0.06,0.0756,0.016800001700999913,,491.24,,269.83,M1+E2,1.7,9,0.37,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
230.5,0.07,0.518,0.05600002395749487,,232.16,0.0000000097,1.642,(E2),,,0.224,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
232.18,0.06,0.518,0.05600002395749487,,232.16,1577846298.7296,0.0,E2,,,0.219,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
251.4,0.5,0.252,0.11200000283499996,,439.05,,187.81,[M1],,,0.495,,79,114,Au,,0,,3/2+,17.65,,15,h,63540,540,EC+B+,100,,1075,9,78,115,Pt,31-Mar-2017,M. Shamsuzzoha Basunia,2025-02-24
