energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.4,,,,,192.77,,179.44,,,,,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
51,3,,,,,,,,,,,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
75.2,0.3,4.7,1.9220822042774341,,345.15,,269.91,,,,2.7,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
76.9,0.3,4.23,1.9141577782408639,,179.44,,102.58,,,,1.2,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
102.6,0.2,4.23,1.4552319402761884,,102.58,,0.0,,,,1.0,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
122.1,0.2,2.82,1.4302796929272261,,407.3,,285.2,,,,0.5,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
126.4,0.2,3.29,0.9808159868191383,,319.15,,192.77,,,,0.5,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
134.8,0.3,2.35,0.2,,134.8,,0.0,,,,,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
139.7,0.2,17.86,3.203560519172379,,319.15,,179.44,,,,0.33,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
146,0.3,1.88,0.16,,248.90,,102.58,,,,,,56,64,Ba,,0,,0+,24,,2,s,24,2,EC+B+,100,,5000,300,55,65,Cs,1-DEC-2001,K. KITAO and  Y. TENDOW AND A. HASHIZUME,2025-02-24
