energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
64,,0.264708,0.068628,,64.1,,0.0,M1(+E2),0.14,LT,7.8,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
139.8,0.5,14.11776,1.9607999999999999,,650.1,0.000000008,510.3,M1(+E2),0.33,LT,3.81,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
446,1,2.25492,0.58824,0.000000008,510.3,,64.1,[E2],,,0.0406,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
510.3,0.5,73.53,4.902,0.000000008,510.3,,0.0,E2(+M1),1.3,GT,0.044,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
650.1,0.8,23.5296,2.9412,,650.1,,0.0,E2,,,0.0169,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
921,0.5,98.04,0,0.00258,1571.1,,650.1,E3(+M4),0.05,LT,0.0200,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
2614.5,,99.785,0,,2614.5,,0.0,E3,,,0.00247,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
12.522,,28.69843265953582,1.1546901471251558,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
12.904,,19.221803745366444,2.2346868313219543,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
72.805,,12.15355301896236,0.16336083287513073,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
74.815,,13.334673278137739,1.8106162987911834,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
74.97,,20.42613952766783,0.2607972971273312,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
77.108,,22.30997704222476,3.0278685597715653,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
84.986,,6.981362688563611,0.13624486827610438,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
86.022,,9.089734220509822,0.17392244496259654,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
87.301,,2.1083715319462106,0.05395808414118954,,,,,,,,,,83,125,Bi,,0,,5+,3.68E+5,,4,Y,11612948758649.855,126227703898.368,EC+B+,100,,2878.4,26,82,126,Pb,1-Jun-2007,M. J. MARTIN,2025-02-24
87.388,,7.642038353523353,1.043234908653939,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
88.458,,9.980502089701499,1.361928884761553,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24
89.784,,2.338463736178146,0.32150853230881027,,,,,,,,,,83,125,Bi,,1571.1,0.4,10-,2.58,,4,ms,0.00258,0.00004,IT,100,,,,83,125,Bi,1-Jun-2007,M. J. MARTIN,2025-02-24

