energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
34.8,0.1,0.008,0.008,,876.36,,841.55,[M1 E2],,,1.5E3,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
42.8,,0.085,0.008,,42.85,,0,E2,,,1070,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
99.2,0.1,0.2244,0.022272853431924703,,142.06,,42.85,E2,,,19.4,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
734.3,0.1,3.162,0.3456255198911099,,876.36,,142.06,E1,,,0.00752,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
798.7,0.1,62.22,6.840065789157294,,841.55,,42.85,E1,,,0.00648,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
833.5,0.1,5.1,0.5441837924819151,,876.36,,42.85,E1,,,0.00601,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
982.2,0.2,0.2244,0.028428858577157122,,1124.28,,142.06,[E2],,,0.01428,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
986,0.2,0.2652,0.03852168220625885,,1128.06,,142.06,(E1),,,0.00449,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
1023.4,0.2,0.153,0.024462420158275426,,1165.49,,142.06,[E2],,,0.01321,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
1036,0.1,1.785,0.20588591501120226,,1078.83,,42.85,E1,,,0.00412,,97,149,Bk,X,0,,2(-),1.80,,2,d,155520,1728,EC+B+,100,,1350,60,96,150,Cm,1-Jan-2011,E. BROWNE and  J. K. TULI,2025-02-24
