energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
28.51,0.1,,,,28.53,189,0.0,[M1+E2],0.24,LT,6.9,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
411.48,0.08,4.3,0.6,,411.48,189,0.0,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
539.5,0.08,0.6574,0.10278443461925546,,2687.31,,2147.81,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
578.06,0.18,0.6042,0.09339978586699223,,1940.33,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
655.17,0.06,7.676,0.9277930803794562,,1362.25,,707.13,D,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
707.05,0.06,38,4.279065318501226,,707.13,32.32,0.0,E2,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
740.82,0.08,2.85,0.33630938137375826,,2103.13,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
786.02,0.12,1.596,0.20302709178826356,,2147.81,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
840.29,0.1,0.95,0.12560254774486065,,2780.60,,1940.33,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
913.38,0.2,0.2584,0.043697597187946156,,3231.44,,2318.09,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
939.9,0.2,0.4256,0.06668882964934982,,,,,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
955.84,0.08,2.204,0.25849564793241686,,2318.09,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
962.74,0.09,1.39,0.19,,991.30,,28.53,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
991.35,0.15,0.3,0.05,,991.30,189,0.0,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
997.93,0.12,0.36,0.05,,1026.47,,28.53,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
1097.85,0.1,1.01,0.15,,1097.86,189,0.0,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-N,25.3,1.5,4464,4,36,53,Kr,30-Nov-2021,Balraj Singh,2025-02-24
1123.37,0.15,0.4978,0.06702984409947557,,1830.50,,707.13,E2,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1133.5,0.4,0.1862,0.042756987733001024,,,,,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1233.21,0.08,4.18,0.465514768831237,,1940.33,,707.13,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1323.57,0.12,0.798,0.11327841806805036,,2685.83,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1344.76,0.15,0.513,0.07067786074861067,,3285.10,,1940.33,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1362.32,0.1,11.21,1.4684263686000738,,1362.25,32.32,0.0,E2,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1396.16,0.13,0.95,0.12560254774486065,,2103.13,,707.13,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1418.34,0.11,0.798,0.11327841806805036,,2780.60,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1440.21,0.12,0.323,0.04560877108627243,,2147.81,,707.13,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1465.9,0.3,0.3648,0.056760902036525104,,2828.26,,1362.25,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1486,0.4,0.5586,0.09912355925812995,,2193.1,,707.13,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
1542.2,0.13,1.33,0.1805436235373601,,2249.34,,707.13,,,,,,35,55,Br,,0,,,1.91,,1,s,1.91,0.01,B-,100,,10959,4,36,54,Kr,1-Mar-2020,S. K. Basu and  E.A. MCCUTCHAN,2025-02-24
