energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
352.4,2.3,0.1725,0,,3390.6,,3038.69,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
532.2,0.4,3.795,0,,1394.02,,861.62,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
547.7,0.1,19.665,0,,1715.02,,1167.33,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
861.6,0.1,34.5,0,,861.62,12.4,0.0,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1167.5,0.3,23.46,0,,1167.33,12.4,0.0,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1314.8,0.6,4.485,0,,2708.8,,1394.02,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1323.7,0.2,13.8,0,,3038.69,,1715.02,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1394,0.2,26.565,0,,1394.02,12.4,0.0,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1424,0.7,2.415,0,,3772.1,,2347.2,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
1480.1,0.3,22.425,0,,3195.2,,1715.02,,,,,,20,31,Ca,,0,,3/2(-),10.0,,8,s,10,0.8,B-,100,,6918.0,26,21,30,Sc,1-Mar-2016,Wang Jimin and Huang Xiaolong,2025-02-24
