energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
128,,63,9.93176721434811,,1992,,1864,E2,,,0.63,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
138,,66,10.017983829094554,0.00000022,2130,,1992,E2,,,0.56,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
388.7,0.5,2.24,1.4560017230759035,0.000006,388.4,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
451,0.2,49.616,2.0166104600184935,,2120.2,,1669.2,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
539,,96,13.6,,1864,,1325,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
949.9,0.5,12.376,1.8480414403838459,,2120.2,,1170.3,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1015.5,0.2,3.08,0.5600084699359467,,,,,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1138.4,0.4,0.952,0.16800269731168008,,,,,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1170.3,0.3,11.2,0.11255860695655398,,1170.3,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1314.4,0.2,1.4,0.11200874965822982,,,,,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1325,,108,19.386593305684215,,1325,,0,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
1669.2,0.1,56,0.056,,1669.2,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
1731.8,0.1,2.464,0.2240135515900768,,2120.2,0.000006,388.4,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
2120.1,0.5,6.216,0.33605749308116906,,2120.2,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
2585.5,0.9,0.728,0.1680015773259287,,2585.8,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
2738.3,0.6,0.728,0.1680015773259287,,4407.4,,1669.2,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
2804.9,0.3,0.616,0.11200169398718932,,5390.8,,2585.8,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
4407,1,0.28,0.056000699995625056,,4407.4,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
4631,1,0.336,0.056001007990928164,,4631.1,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
5098,1,0.616,0.16800112932953754,,5098.1,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
5196,1,0.392,0.11200068599789914,,5196.1,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
5391,1,0.224,0.11200022399977601,,5390.8,0.32,0,,,,,,48,82,Cd,,0,,0+,162,,7,ms,0.162,0.007,B-,100,,8789,22,49,81,In,31-MAY-2008,BALRAJ SINGH,2025-02-24
3.388,,4.1176325016,0.4017469555161415,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
22.983,,13.427359939064523,1.513266117057286,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
23.173,,25.25363915566019,2.8436120988026814,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
26.184,,7.03915643424305,0.7952839859839693,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
26.381,,8.320282905275285,0.9393665524546401,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24
26.641,,1.2811264710322352,0.14895938570390505,,,,,,,,,,48,82,Cd,,2130,2,(8+),220,,30,ns,0.00000022,0.00000003,IT,100,,,,48,82,Cd,31-MAY-2008,BALRAJ SINGH,2025-02-24

