energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
35.1,0.1,,,0.00001,35.10,,0.0,[M2],,,264,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
38.9,0.1,,,,38.93,,0.0,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
40.6,0.3,,,,402.62,,362.06,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
84.79,0.09,,,,,,,,,,,,58,93,Ce,X,0,,,1.02,,6,s,1.02,0.06,B-,,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
96.8,0.2,,,0.00000002,96.8+Y,,0.0+Y,,,,,,58,93,Ce,X,0,,,1.02,,6,s,1.02,0.06,B-,,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
118.57,0.09,,,,,,,,,,,,58,93,Ce,X,0,,,1.02,,6,s,1.02,0.06,B-,,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
142.1,0.1,,,,,,,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
323.1,0.1,,,,362.06,,38.93,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
362.1,0.1,,,,362.06,,0.0,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
363.7,0.2,,,,402.62,,38.93,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
402.5,0.4,,,,402.62,,0.0,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
428.8,0.2,,,,467.73,,38.93,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
597.9,0.3,,,,636.81,,38.93,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24
636.8,0.2,,,,636.81,,0.0,,,,,,58,93,Ce,,0,,(5/2+),1.76,,6,s,1.76,0.06,B-,100,,5555,21,59,92,Pr,20-Nov-2008,BALRAJ SINGH,2025-02-24

