energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1548,2,2.7,0.5,,3778.7,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2230.5,1.5,70,3,,2230.5,,0,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2463.8,1,3,0.3,,4694.2,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2885,2,0.76,0.3,,6664.0,,3779,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
3317.5,1.5,1.9,0.3,,5548.7,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
4281.5,1.5,2,0.1,,4281.5,,0,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
4433,2,0.6,0.2,,6664.0,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
4694,2,2.1,0.5,,4694.2,,0,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
4770,1.5,15.5,1.5,,7000.5,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
4881,4,0.34,0.15,,7112,,2230.5,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
5549.5,2,1.2,0.2,,5548.7,,0,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
7194,3,0.31,0.08,,7194,,0,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
511,,202.75862,,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
0.185,,0.0000388606100893659,0.000007564506544624742,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2.306,,0.0005585754481537429,0.000018263823243752164,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2.308,,0.0011054333032925845,0.00003572833420656162,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2.466,,0.0001031685425896723,0.000007442591627508478,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
2.466,,0.0001031685425896723,0.000007442591627508478,,,,,,,,,,17,15,Cl,,0,,1+,298,,1,ms,0.298,0.001,EC+B+,100,,12680.8,6,16,16,S,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24

