energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
32.6,,,,,32.5,3360,0,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
233.6,,0.574,0.1351480669488099,,269.3,,35.7,[M1+E2],,,1.9,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
311.7,,0.672,0.16011246047700348,,311.7,3360,0,[E1],,,0.0411,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
389.7,,1.638,0.43209373982968097,,422.3,,32.5,[M1+E2],,,0.44,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
415.9,,0.21,0.09529428104561155,,978.4,,562.5,[M1+E2],,,0.37,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
422.3,,0.924,0.2274818674092509,,422.3,3360,0,[M1+E2],,,0.35,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
435.8,,0.196,0.0816333265278342,,978.4,,542.6,[M1+E2],,,0.32,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
438.2,,1.596,0.3557639666970223,,438.2,3360,0,[M1+E2],,,0.32,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
530,,2.086,0.472784306000104,,562.5,,32.5,[M1+E2],,,0.19,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
542.7,,14,3.0220019854394535,,542.6,3360,0,[M1+E2],,,0.18,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
562.5,,1.316,0.5058893159575522,,562.5,3360,0,[M1+E2],,,0.16,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
945.9,,0.196,0.10662082348209471,,978.4,,32.5,[M1 E2],,,0.043,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
978.2,,1.288,0.32310988842807026,,978.4,3360,0,[M1+E2],,,0.039,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
19.075,,2.5455158671488,0.8255529140900132,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
107.218,,1.2989881997420751,0.5450943277055215,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
112.15,,2.0220862387018603,0.8484914167444949,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
126.449,,0.7628169500414061,0.3204354744118582,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
128.067,,1.032854150356064,0.4338528674979743,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24
130.195,,0.2700372003146578,0.11349826179482438,,,,,,,,,,96,155,Cm,,0,,(1/2+),16.8,,2,m,1008,12,B-,100,,1420,20,97,154,Bk,23-Sep-2022,C. Morse,2025-02-24

