energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
91.9,0.2,1.1625,0.08659857100437628,,1408.50,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
385.4,0.3,0.54,0.04518063744570233,,1316.62,,931.27,M1,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
411.5,0.3,1.0725,0.08403125906470758,,411.39,,0.0,M1+E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
477.2,0.2,20.175,1.707936547416209,,1408.50,,931.27,M1+E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
520,0.3,0.825,0.08430450759004526,,931.27,,411.39,E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
803.7,0.2,1.8675,0.1544388956836975,,2212.2,,1408.50,M1,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
827,0.4,0.21,0.060795065589240055,,2144.0,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
931.1,0.3,75,3.5,,931.27,,0.0,M1+E2,0.40,3,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
984.6,0.3,0.5175,0.10044636628569498,,2301.3,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1212.8,0.3,0.2625,0.032404667873625864,,2144.0,,931.27,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1316.6,0.3,7.0875,0.3448214211733372,,1316.62,,0.0,E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1370,0.3,2.9175,0.25659905007618405,,2301.3,,931.27,E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1408.5,0.3,16.875,0.791063366614837,,1408.50,,0.0,E2,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1556,0.4,0.04575,0.00998101823462917,,2872.3,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1622.3,0.4,0.045,0.005654423047491229,,2939.0,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1792.1,0.3,0.08175,0.013308520766786968,,3108.7,,1316.62,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
1940.6,0.4,0.01425,0.006036739600148411,,2872.3,,931.27,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
2144.2,0.6,0.09,0.008595929269136642,,2144.0,,0.0,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
2177.6,0.6,0.2925,0.03990704824965134,,3108.7,,931.27,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
2578.7,0.6,0.04275,0.005616273230532859,,2578.8,,0.0,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
2872.4,0.6,0.11775,0.00813603250976789,,2872.3,,0.0,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
2938.9,0.5,0.057,0.01010633959453174,,2939.0,,0.0,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
3108.3,0.6,0.00525,0.002263299582468039,,3108.7,,0.0,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
511,,151.7932,,,,,,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
0.728,,0.201024270209565,,,,,,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
6.391,,2.2769813417441997,,,,,,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
6.404,,4.458549719491286,,,,,,,,,,,27,28,Co,,0,,7/2-,17.53,,3,h,63108,108,EC+B+,100,,3451.4,5,26,29,Fe,30-Apr-2007,HUO JUNDE,2025-02-24
