energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
62.289,0.002,16.3856,0.6226900352502841,0.0000000206,152.9282,0.00000000043,90.6391,(M1),,,0.0787,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
90.639,0.002,53.2,1.9029768679624037,0.00000000043,90.6391,28512000,0.0,M1,,,0.0287,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
133.8,0.17,0.00000031388,0.00000001545553946001239,,1155.32,,1021.62,(M1(+E2)),-0.15,15,0.013,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
152.928,0.002,30.324,1.088214114960838,0.0000000206,152.9282,28512000,0.0,E2,,,0.0725,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
595.3,,0.000266,0.0000095,,748.27,0.0000000206,152.9282,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
657.5,,0.000266,0.0000095,,748.27,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1021.3,,0.001064,0.000038,,1021.62,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1027.8,0.7,0.00012768,0.00003224406922210657,,2182.3,,1155.32,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1064.63,0.17,0.0000266,0.000005404155808264598,,1155.32,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1155.33,0.17,0.0000798,0.00002147,,1155.32,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1361.61,0.07,0.04522,0.004552116101331336,,1514.49,0.0000000206,152.9282,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1384,,,,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1423.3,0.3,0.010108,0.003212348829127995,,1514.49,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1433,,,,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1449,,,,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1508.3,0.2,0.00798,0.0032046979576864964,,1661.26,0.0000000206,152.9282,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1514.1,0.2,0.026068,0.003325,,1514.49,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
1570.6,0.2,0.019684,0.0032684970552227825,,1661.26,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2091.1,0.7,0.000399,0.00008630455897575748,,2182.3,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2143.7,0.6,0.00092036,0.00014217193569759118,,2234.9,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2155.7,1.2,0.00016492,0.000053525060485720145,,2309.4,0.0000000206,152.9282,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2181.6,1.1,0.00003192,0.000021310513837071126,,2182.3,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2218.6,1,0.00019152,0.00005891838422767549,,2309.4,0.00000000043,90.6391,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2236.2,1,0.00022344,0.00006433681683142242,,2234.9,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
2310.6,1.4,0.00010108,0.00003212348829127995,,2309.4,28512000,0.0,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
511,,185.5623448,,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
0.536,,0.069,0.014,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
4.945,,0.847,0.023,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
4.952,,1.67,0.04,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
5.444,,0.335,0.01,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24
5.444,,0.335,0.01,,,,,,,,,,24,25,Cr,,0,,5/2-,42.3,,1,m,2538,6,EC+B+,100,,2629.8,24,23,26,V,14-Jul-2008,T. W. Burrows{+a},2025-02-24

