energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
30.3,,,,,264.5,,234.52,,,,,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
38.4,0.3,2.61,0.1,,234.52,0.000000008,196.01,M1+E2,0.15,3,14.2,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
55.1,0.3,0.08,0.05,,234.52,,179.48,[E1],,,1.096,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
59.3,0.5,0.1,0.03,,,,,,,,,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
59.3,0.5,0.132,0.06847627326307996,,,,,,,,,,55,66,Cs,,0,,3/2(+),155,,4,s,155,4,EC+B+,100,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
68.5,0.3,0.0392,0.001,122,68.5,155,0.0,M3,,,433,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,IT,17,,,,55,66,Cs,20-Jan-2009,S. OHYA,2025-02-24
69,1,0.05,0.03,,264.5,0.000000008,196.01,,,,,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
85.9,0.3,2.046,0.9393210313838395,,239.77,0.00000008,153.96,M1,,,1.267,,55,66,Cs,,0,,3/2(+),155,,4,s,155,4,EC+B+,100,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
85.9,0.3,0.47,0.08,,239.74,0.00000008,153.95,M1,,,1.267,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
108,0.2,0.66,0.31591296269700614,,661.06,,553.03,M1,,,0.660,,55,66,Cs,,0,,3/2(+),155,,4,s,155,4,EC+B+,100,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
111,0.3,0.44,0.05,,560.83,,449.85,M1,,,0.610,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
153.9,0.2,15.015,6.842927005309935,0.00000008,153.96,2406,0,E2,,,0.397,,55,66,Cs,,0,,3/2(+),155,,4,s,155,4,EC+B+,100,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
153.9,0.2,1.17,0.13,0.00000008,153.95,2406,0,E2,,,0.397,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
159.7,0.2,1.65,0.7565057831900559,,355.77,0.000000008,196.08,M1,,,0.221,,55,66,Cs,,0,,3/2(+),155,,4,s,155,4,EC+B+,100,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
179.4,0.2,30.2,0.5,,179.48,2406,0,M1,,,0.1606,,55,66,Cs,,68.5,0.3,9/2(+),122,,3,s,122,3,EC+B+,83,,5379,18,54,67,Xe,20-Jan-2009,S. OHYA,2025-02-24
