energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
117.88,0.13,0.27,,,3272.718,,3154.64,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
137.47,0.05,1,,,3154.64,,3017.08,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
180.12,0.03,2.9,,,2813.790,0.0000000254,2633.635,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
235.81,0.11,0.43,,,,,,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
258.63,0.03,3,,,3233.259,,2974.56,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
298.1,0.1,0.72,,,3272.718,,2974.56,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
340.921,0.02,17,,,2974.563,0.0000000254,2633.635,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
365.47,0.24,1.2,,,3638.11,,3272.72,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
419.5,0.02,5.5,,,3233.259,,2813.79,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
464.16,0.022,3.8,,,2813.790,,2349.66,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
527.04,0.13,0.51,,,3760.30,,3233.26,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
598.706,0.014,89,,,598.695,,0.00,[E2],,,1.15E-3,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
639.08,0.14,0.32,,,3272.718,0.0000000254,2633.635,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
697.815,0.014,59,,,1296.498,,598.695,[E2],,,7.42E-4,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
707.92,0.06,0.85,,,2974.563,,2266.484,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
781.71,0.13,0.45,,,3756.25,,2974.56,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
888.59,0.11,0.51,,,3154.64,,2266.484,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
939.1,0.5,0.13,,,3572.7,0.0000000254,2633.635,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1006.23,0.03,2.6,,,3272.718,,2266.484,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1053.22,0.03,4.5,,,2349.663,,1296.498,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1077.63,0.19,0.4,,,4715.70,,3638.11,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1149.43,0.08,1.3,,,4123.84,,2974.56,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1218.47,0.22,0.45,,,5886.70,,4668.32,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1258,0.3,0.21,,,,,,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
1280.98,0.09,1.3,,,3914.65,0.0000000254,2633.635,,,,,,29,47,Cu,,0,,3(-),637,,7,ms,0.637,0.007,B-,100,,11321.4,17,30,46,Zn,08-JAN-2024,B. Singh and  J. Chen and  A.R. Farhan,2025-02-24
