energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
28.227,0.005,1.1316,0.10075018610404647,0.0000000003,82.4695,0.00000000344,54.2391,M1,,,17.02,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
54.239,0.001,0.8142,0.13088670673525252,0.00000000344,54.2391,96566.4,0.0,E2,,,31.3,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
82.47,0.002,13.8,0.7,0.0000000003,82.4695,96566.4,0.0,M1,,,4.55,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
290.66,0.1,0.0138,0.004198761722222399,,373.13,0.0000000003,82.4695,M1,,,0.1336,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
343.51,0.03,0.0552,0.014081193131265546,,425.987,0.0000000003,82.4695,(E1),,,0.01281,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
371.75,0.03,0.5244,0.1135593237035163,,425.987,0.00000000344,54.2391,E1,,,0.01060,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
425.99,0.03,0.5796,0.1276322843170959,,425.987,96566.4,0.0,E1,,,0.00770,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
7.656,,17.875975299441,1.1079447366878734,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
46.7,,14.13689475520324,0.7565069676410909,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
47.547,,25.177016482997757,1.3426250441469905,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
53.982,,8.134235444284922,0.4428684586833512,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
54.577,,10.249136659799001,0.5565301136586351,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24
55.293,,2.1149012155140796,0.1221175652527697,,,,,,,,,,66,100,Dy,,0,,0+,81.6,,1,h,293760,360,B-,100,,485.9,9,67,99,Ho,1-Mar-2008,CORAL M. BAGLIN,2025-02-24

