energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
5.025,0.006,0.07,0.005,0.00000000477,5.028,60589297.87121664,0.0,M1+E2,0.021,1,1.29E3,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
12.385,0.008,0.0313,0.0020302022066779456,0.000000000415,129.044,0.000000000055,116.653,M1+E2,0.021,4,255,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
85.6,0.1,0.06,0.004386342439892262,,998.59,,913.02,M1+E2,0.22,4,4.89,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
111.621,0.004,20.5,1.0090713552569015,0.000000000055,116.653,0.00000000477,5.028,M1+E2,-0.160,3,2.26,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
116.656,0.006,2.3,0.09143850392476903,0.000000000055,116.653,60589297.87121664,0.0,E2,,,1.723,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
124.017,0.004,9.1,0.4056217449792356,0.000000000415,129.044,0.00000000477,5.028,E2,,,1.376,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
166.4,0.3,,,,,,,,,,,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
175.63,0.04,0.089,0.009387699398681233,,913.02,,737.40,[M1],,,0.628,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
197.7,0.2,0.027,0.005065185090398968,,326.88,0.000000000415,129.044,[M1],,,0.452,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
210.1,0.2,0.007,0.00021011663427725089,,326.88,0.000000000055,116.653,[E2],,,0.221,,68,103,Er,,0,,5/2-,7.516,,2,h,27057.6,7.2,B-,100,,1492.4,11,69,102,Tm,30-Jun-2018,CORAL M. BAGLIN and  E.A. MCCUTCHAN,2025-02-24
