energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.12,,,,0.000029,35.59,,34.47,,,,,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
1.12,,,,,35.59,,34.47,,,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
8,,,,0.000213,86,,78.33,,,,,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
34.4,,,,,34.47,11563.2,0.0,(M1 E2),,,,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
34.47,,,,,34.47,,0.0,,,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
35.5,,0.0054,0.0005,0.000029,35.59,11563.2,0.0,(M2),,,1.287E4,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
35.59,,,,,35.59,,0.0,,,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
36.4,,,,,211.82,0.000000042,175.13,,,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
39.881,0.01,,,,733.54,,693.66,(E2),,,2.10E3,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,B-,98,2,1091.6,23,100,154,Fm,31-Jan-2019,BALRAJ SINGH,2025-02-24
42.6,,,,,78.33,0.000029,35.59,(M1 E2),,,,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
42.74,,,,,78.33,,35.59,,,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
44.992,0.01,0.062,0.004,,44.992,11664,0.0,E2,,,1172,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,B-,98,2,1091.6,23,100,154,Fm,31-Jan-2019,BALRAJ SINGH,2025-02-24
45.79,,,,,80.26,,34.47,(M1+E2),,,,,99,155,Es,,0,,(7+),275.7,,5,d,23820480,43200,A,100,,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
45.79,,,,,80.26,,34.47,(M1+E2),,,,,99,155,Es,,84.2,2.5,2+,39.3,,2,h,141480,720,A,0.32,0.01,6617.2,5,97,153,Bk,1-Aug-2001,Y. Akovali,2025-02-24
