energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
80.46,0.1,0.014454,0.0014244634077434212,,1627.74,,1547.302,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
110.943,0.024,1.91844,0.12798130488473697,,1547.302,,1436.36,M1+E2,-1.98,6,1.538,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
120.44,0.08,0.017082,0.006602075431256447,,1996.959,,1876.64,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
136.325,0.07,0.003285,0.0006687854663492621,,,,,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
160.7,0.06,0.015768,0.0014445054517031079,,2133.420,,1972.719,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
172.4,0.4,0.0009855,0.0003306334828779445,,2512.98,,2340.62,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
176.62,0.09,0.007884,0.0007222527258515539,,1804.24,,1627.74,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
185.2,0.4,0.0005913,0.0003292696463386809,,2340.62,,2155.50,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
191.38,0.03,0.59787,0.03995854101440642,,1627.74,,1436.36,M1+E2,0.084,16,0.272,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
199.14,0.03,0.029565,0.0034722975102948767,,1857.69,,1658.562,,,,,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
212.94,0.06,0.021024,0.001538374466766788,,2346.39,,2133.42,E2,,,0.1693,,63,82,Eu,,0,,5/2+,5.93,,4,d,512352,3456,EC+B+,100,,2660,3,62,83,Sm,1-Oct-2008,E. BROWNE and  J. K. TULI,2025-02-24
