energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
168.688,0.002,99.1752,2.7456912863612324,,546.438,1266,377.749,[M1],,,0.00783,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
377.748,0.005,1.64331,0.03774928476143621,1266,377.749,483062.4,0.0,E4,,,0.0399,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
621.7,0.2,51,3,,2907.7,,2285.98,,,,,,26,26,Fe,,6958,0.4,12+,45.9,,6,s,45.9,0.6,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
704.6,0.2,0.02883,0.009626889424938877,,,,,,,,,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
869.9,0.2,93,5,,869.90,483062.4,0.0,,,,,,26,26,Fe,,6958,0.4,12+,45.9,,6,s,45.9,0.6,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
929.5,0.2,100,0,,3837.2,,2907.7,,,,,,26,26,Fe,,6958,0.4,12+,45.9,,6,s,45.9,0.6,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
1039.928,0.017,0.095139,0.004279544017766379,,1417.688,1266,377.749,,,,,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
1416.1,0.2,48,3,,2285.98,,869.90,,,,,,26,26,Fe,,6958,0.4,12+,45.9,,6,s,45.9,0.6,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
1530.709,0.019,0.045167,0.0021193237128857875,,,,,,,,,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
1727.57,0.08,0.21142,0.010479718507669947,,,,,,,,,,26,26,Fe,,0,,0+,8.275,,8,h,29790,28.8,EC+B+,100,,2379.29,22,25,27,Mn,10-Jul-2015,YANG DONG and  HUO JUNDE,2025-02-24
