energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
42.76,0.05,0.013,0.001,,42.721,,0.0,E2,,,1293,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
99.16,0.05,0.031,0.003,,141.875,,42.721,E2,,,23.8,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
151,5,0.000999408,0.000000003,,296.22,,,E2,,,3.33,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
19.579,,7.043223556305235,0.6170628293913242,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
109.867,,0.00004498106933820188,0.0000007233262568167978,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
115.063,,0.00006960858764809948,0.0000010864759611115435,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
129.671,,0.00002653477307794884,0.0000007275990086393598,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
131.332,,0.00003598115229369863,0.0000009776630643568705,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24
133.529,,0.000009446379215749787,0.00000029102651628337555,,,,,,,,,,100,154,Fm,,0,,0+,3.240,,2,h,11664,7.2,A,99.9408,0.0003,7307.3,10,98,152,Cf,1-Aug-2001,Y. Akovali,2025-02-24

