energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
1.733,0.012,0.00000022718,0.00000001228,,1.733,2532,0.0,[M1+E2],,,3.0E7,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
11.86,0.003,0.003996,0.000216,0.000000000236,101.8942,0.000000000254,90.0343,[M1+E2],,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
12.296,0.006,0.00185,0.0001,0.000000000041,296.576,0.000000000029,284.280,[M1+E2],,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
15.922,0.007,0.00814,0.00044,0.000000000058,176.973,0.000000000039,161.051,[M1+E2],,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
25.768,0.003,0.00888,0.00048,,25.768,2532,0.0,[M1+E2],,,3.0E3,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
37.9,0.1,0.6068,0.1443752056275592,0.000000000236,101.8942,,64.077,E1,,,1.466,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
40.34,0.006,0.0333,0.0018,0.000000000039,161.051,0.000000000047,120.711,[M1+E2],,,44.2,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
56.262,0.006,0.00814,0.00044,0.000000000058,176.973,0.000000000047,120.711,[E2],,,147.5,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
64.085,0.01,0.03404,0.006909500705550293,,64.077,2532,0.0,[E2],,,78.8,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
64.267,0.002,13.542,1.5851372180350822,0.000000000254,90.0343,,25.768,E1,,,0.358,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
76.1,0.1,0.1406,0.023464867355261144,0.000000000236,101.8942,,25.768,[E1],,,0.228,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
88.301,0.012,1.184,0.064,0.000000000254,90.0343,,1.733,[E1],,,0.1536,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
90.035,0.002,36.26,4.187075351602835,0.000000000254,90.0343,2532,0.0,E1,,,0.1458,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
100.1,0.2,2.516,0.5355557860764834,0.000000000236,101.8942,,1.733,E1,,,0.1101,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
101.894,0.002,3.33,0.5483830777841344,0.000000000236,101.8942,2532,0.0,E1,,,0.1051,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
107.306,0.004,0.555,0.059860170397351864,0.000000000029,284.280,0.000000000058,176.973,E1,,,0.401,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
113.03,0.05,0.0814,0.029925240182828942,0.000000000058,176.973,,64.077,[M1+E2],,,11.01,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
120.709,0.008,1.3024,0.15724032561655424,0.000000000047,120.711,2532,0.0,M1(+E2),0.3,LT,8.94,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
123.17,0.05,0.1258,0.016287418457201865,0.000000000029,284.280,0.000000000039,161.051,[E1],,,0.290,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
131,0.1,0.1036,0.015824032355881985,0.000000000029,284.280,,153.275,[E1],,,0.250,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
135.28,0.008,0.666,0.19573900990860255,0.000000000039,161.051,,25.768,[M1+E2],,,6.61,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
135.525,0.005,0.962,0.37363618668431997,0.000000000041,296.576,0.000000000039,161.051,(E1),,,0.230,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
139.65,0.1,0.0666,0.015231546211727816,0.00000000002,523.851,0.000000000021,384.355,[E1],,,0.214,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
145.139,0.016,0.0666,0.008229216244576393,,,,,,,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
149.3,0.1,0.1406,0.016637307474468337,,1468.14,,1318.84,,,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
151.177,0.021,0.2812,0.19299948186458946,0.000000000058,176.973,,25.768,[M1 E2],,,4.82,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
151.553,0.025,0.1184,0.0161245154965971,,153.275,,1.733,[M1 E2],,,4.79,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
153.272,0.015,0.1036,0.015824032355881985,,153.275,2532,0.0,[M1 E2],,,4.63,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
159.37,0.05,0.2072,0.024865236777477106,0.000000000039,161.051,,1.733,[M1+E2],,,4.15,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
159.742,0.041,0.0666,0.029818115299260615,,598.51,,438.795,[M1 E2],,,4.12,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
161.052,0.013,0.3996,0.04284343590329795,0.000000000039,161.051,2532,0.0,M1 E2,,,4.03,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
163.563,0.007,1.4652,0.1613722404876378,0.000000000029,284.280,0.000000000047,120.711,E1,,,0.1462,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
173.9,0.3,0.0666,0.015231546211727816,,,,,,,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
175.228,0.014,0.444,0.2969713790923294,0.000000000058,176.973,,1.733,M1 E2,,,3.17,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
175.867,0.004,0.962,0.22800877176108816,0.000000000041,296.576,0.000000000047,120.711,(E1),,,0.1227,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
178.47,0.1,0.2072,0.03164806471176397,,475.033,0.000000000041,296.576,E1,,,0.1185,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
182.394,0.015,0.2516,0.03257483691440373,0.000000000029,284.280,0.000000000236,101.8942,M1+E2,0.6,3,2.3,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
187.274,0.035,0.0666,0.022489997776789575,0.000000000006,471.567,0.000000000029,284.280,[M1 E2],,,2.63,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
194.255,0.01,0.1406,0.016637307474468337,0.000000000029,284.280,0.000000000254,90.0343,M1 E2,,,2.37,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
200.85,0.05,0.555,0.059860170397351864,0.00000000001,675.863,,475.033,[E1],,,0.0893,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
202.394,0.004,0.074,0.01533101431738944,,,,,,,,,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
204.3,0.01,2.738,0.2668107943843352,0.00000000001,675.863,0.000000000006,471.567,M1(+E2),0.7,LE,1.8,,87,140,Fr,,0,,1/2+,2.47,,3,m,148.2,1.8,B-,100,,2505,6,88,139,Ra,15-Jan-2016,ICTP-2014 Workshop Group,2025-02-24
