energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
13.8,,0.005935,0,,347.10,,333.30,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
203.6,0.5,0.05935,0,,784.00,,580.4,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
233.3,0.4,0.077155,0.017804999999999998,,580.4,,347.10,M1,,,0.176,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
247.1,0.5,,,,580.4,,333.30,(E2),,,0.108,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
257.3,0.3,0.05935,0.029675,,604.40,,347.10,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
271.1,0.5,0.160245,0.04748,,604.40,,333.30,M1+(E2),,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
274.4,0.2,0.492605,0.02374,,621.50,,347.10,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
282.4,0.2,0.08309,0.017804999999999998,,629.50,,347.10,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
288.2,0.2,0.124635,0.02374,,621.50,,333.30,,,,,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
333.3,0.1,5.935,0,,333.30,10.2,0.0,M1,,,0.0677,,64,80,Gd,,0,,0+,4.47,,6,m,268.2,3.6,EC+B+,100,,3860,30,63,81,Eu,1-Dec-2000,A.A. Sonzogni,2025-02-24
