energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
62,0.2,26.73,5.916088234636127,0.0000000012,62.0,,0,[M1],,,0.266,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
190.8,0.2,10.329,1.4002260531785573,,190.8,,0,M1+E2,-0.7,3,0.029,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
459.1,0.5,1.98,0.3567856499356441,,649.7,,190.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
587.7,0.2,2.64,0.509132595695856,,649.7,0.0000000012,62.0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
618.7,0.4,1.518,0.2953252444339969,,809.2,,190.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
649.7,0.2,33,4,,649.7,,0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
753,0.3,1.287,0.25207141845120007,,,,,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
809.1,0.2,21.45,2.915887514977215,,809.2,,0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
826.8,1.5,0.363,0.1391402170474087,,1902,,1075.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
884.9,0.3,0.33,0.13792751719653334,,1075.8,,190.8,D+Q,-0.23,4,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
970.7,1.5,0.231,0.10288342918079665,,2046.3,,1075.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1070.2,0.3,0.924,0.14948244044034067,,1879.3,,809.2,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1075.9,0.3,0.825,0.14071602609511114,,1075.8,,0,Q+O,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1150.7,1.5,0.132,0.06791170738539858,,3197.0,,2046.3,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1183.6,0.3,0.462,0.11374093370462544,,3085.1,,1902,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1205.7,0.4,1.221,0.19831288409984865,,3085.1,,1879.3,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1229.8,0.3,2.211,0.4000412478732662,,1879.3,,649.7,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1237.1,0.3,1.254,0.18139735389470266,,2046.3,,809.2,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1511.9,1,0.33,0.07717512552629896,,2161.7,,649.7,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1600.8,0.5,0.693,0.12983451005029442,,1662.8,0.0000000012,62.0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1616.6,0.5,0.726,0.13245754036671525,,3279.3,,1662.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1688.5,0.5,2.211,0.333208643345277,,1879.3,,190.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1816.3,1.5,0.396,0.11002272492535349,,1879.3,0.0000000012,62.0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1879.2,0.5,0.957,0.25848984506165806,,1879.3,,0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
1902,2,0.396,0.11002272492535349,,1902,,0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2099.6,0.4,1.485,0.2054288197892399,,2161.7,0.0000000012,62.0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2121.6,1,0.33,0.10677546534667971,,2929.4,,809.2,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2121.6,1,0.33,0.10677546534667971,,3197.0,,1075.8,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2162.6,1.2,0.528,0.11788553770501282,,2161.7,,0,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2219,2,0.231,0.134937022347464,,,,,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2279.5,0.5,0.33,0.10677546534667971,,2929.4,,649.7,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2387.6,1,0.363,0.17076592165886026,,3197.0,,809.2,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2448,0.4,1.386,0.23547611343828487,,,,,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
2469.3,1.5,0.33,0.07717512552629896,,3279.3,,809.2,,,,,,32,33,Ge,,0,,3/2-,30.9,,5,s,30.9,0.5,EC+B+,100,,6179.3,23,31,34,Ga,1-Aug-2009,E. BROWNE and  J. K. TULI,2025-02-24
