energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.273,0.004,0.00033,0.00004,,16.273,,0.0,(M2),,,4.30E4,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
50.8,0.1,13.2,1.8,3690,1172.90,,1122.10,(E1),,,0.418,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,IT,46,2,,,72,110,Hf,15-Jul-2015,BALRAJ SINGH,2025-02-24
59.1,0.1,5,0.9,,173.33,,114.22,(M1),,,3.41,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
75.6,0.1,1.4,0.3,,173.33,,97.77,(M1),,,9.74,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
97.8,0.1,9.2,0.8,,97.8,,0.0,E2,,,3.85,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,IT,46,2,,,72,110,Hf,15-Jul-2015,BALRAJ SINGH,2025-02-24
97.8,0.1,4.4,1.6,,97.77,,0.0,M1,,,4.65,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
97.85,0.04,0.11,0.01,,97.85,,0.0,M1,,,4.64,,72,110,Hf,,0,,0+,8.90E+6,,9,Y,280856641173868.8,2840123337713.28,B-,100,,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
114.3,,7.1,0.9,,114.22,,0.0,(M1),,,2.97,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
114.32,0.01,3,0.1,,114.320,,0.0,(M1),,,2.97,,72,110,Hf,,0,,0+,8.90E+6,,9,Y,280856641173868.8,2840123337713.28,B-,100,,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
132.8,0.1,3.4,0.8,,652.41,950.4,519.61,(M1),,,1.94,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
143.2,0.1,4.9,0.6,,316.51,,173.33,(M1 E2),,,1.3,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
146.8,0.1,5.4,0.7,,163.14,,16.273,M1,,,1.459,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
156.09,0.02,7,0.2,,270.408,,114.320,E2,,,0.700,,72,110,Hf,,0,,0+,8.90E+6,,9,Y,280856641173868.8,2840123337713.28,B-,100,,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
171.5,0.1,4.4,1.2,,334.61,,163.14,M1,,,0.941,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
172.55,0.04,0.2,0.02,,270.408,,97.85,E2,,,0.492,,72,110,Hf,,0,,0+,8.90E+6,,9,Y,280856641173868.8,2840123337713.28,B-,100,,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
173.4,0.1,3.2,1.1,,173.33,,0.0,[E2],,,0.484,,72,110,Hf,,1172.87,0.18,(8-),61.5,,15,m,3690,90,B-,54,2,381,6,73,109,Ta,15-Jul-2015,BALRAJ SINGH,2025-02-24
