energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
8,8,,,,34,,26.1,,,,,,80,105,Hg,,99.3,0.5,13/2+,21.6,,15,s,21.6,1.5,IT,54,10,,,80,105,Hg,1-Nov-2005,S. -C. WU,2025-02-24
8.9,,,,0.0000000048,8.9,255,0.0,(E2),,,,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
15,,,,,94,,79,[M1],,,,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,A,6,1,5773,4,78,103,Pt,31-Aug-2005,S. -C. WU,2025-02-24
17.17,0.03,,,0.000000007,40.8,,23.6,M1+E2,0.13,7,6.6E02,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
23.6,0.1,,,,23.6,255,0.0,M2,,,1.45E04,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
26.1,,0.025,0.008,,26.1,49.1,0.0,M1+E2,1.3,6,2.2E3,,80,105,Hg,,99.3,0.5,13/2+,21.6,,15,s,21.6,1.5,IT,54,10,,,80,105,Hg,1-Nov-2005,S. -C. WU,2025-02-24
35.75,0.05,,,0.00000000054,35.78,255,0.0,M1+E2,0.50,,155,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
61,,,,,382,,323,,,,,,80,105,Hg,,99.3,0.5,13/2+,21.6,,15,s,21.6,1.5,A,0.03,,5773,4,78,103,Pt,31-Aug-2005,S. -C. WU,2025-02-24
65.3,,0.033,0.006,21.6,99,,34,E3,,,1610,,80,105,Hg,,99.3,0.5,13/2+,21.6,,15,s,21.6,1.5,IT,54,10,,,80,105,Hg,1-Nov-2005,S. -C. WU,2025-02-24
79,,,,,79,52,0.0,[M1 E2],,,,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,A,6,1,5773,4,78,103,Pt,31-Aug-2005,S. -C. WU,2025-02-24
94,,,,,94,52,0.0,E2,,,,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,A,6,1,5773,4,78,103,Pt,31-Aug-2005,S. -C. WU,2025-02-24
97.4,0.1,,,,,,,,,,,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
98.5,0.1,,,0.00000000037,107.5,0.0000000048,8.9,M1,,,7.88,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
106,,,,,382,,,(E2),,,,,80,105,Hg,,99.3,0.5,13/2+,21.6,,15,s,21.6,1.5,A,0.03,,5773,4,78,103,Pt,31-Aug-2005,S. -C. WU,2025-02-24
107.4,0.1,,,0.00000000037,107.5,255,0.0,M1+E2,1.2,,4.84,,80,105,Hg,,0,,1/2-,49.1,,10,s,49.1,1,EC+B+,94,1,5674,14,79,106,Au,1-Nov-2005,S. -C. WU,2025-02-24
