energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
118.6,,0.0000122,0.000001,2560.2,532.48,,413.84,[M4],,,2310,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
158.3,0.1,52.3,1,0.00000000247,158.3,,0.0,E2,,,0.914,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
255,,0.002615,0.00005,,413.84,0.00000000247,158.3,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
374.1,0.1,13.7549,1.078556906240927,2560.2,532.48,0.00000000247,158.3,M4+E5,0.092,15,6.0,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
413.4,0.2,0.027196,0.0021556586000570682,,413.84,,0.0,E2,,,0.0437,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
11.777,,36.64939153879743,1.9954840735566572,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
68.894,,17.990190170628225,1.0998215654077037,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
70.82,,30.497016732714403,1.8599350999149342,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
80.316,,10.349937436444367,0.6498235408935802,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
81.285,,13.382469105322565,0.8386266794942059,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24
82.477,,3.0325316688781996,0.19730570647457985,,,,,,,,,,80,119,Hg,,532.48,0.1,13/2+,42.67,,9,m,2560.2,5.4,IT,100,,,,80,119,Hg,15-Oct-2006,BALRAJ SINGH,2025-02-24

