energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
9.1,0.1,0.000325,0.0000541040663906143,0.000006,234.33,,225.285,M1+E2,0.0189,21,530,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
22.15,0.05,,,0.000000005,224.532,0.0000000004,202.413,[E2],,,2.39E3,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
22.15,0.05,0.0000525,0.00001181905241548577,,154.48,,132.195,[E2],,,2.39E3,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
37.8,0.04,1.3375,0.2970862669326874,0.0000000007,240.196,0.0000000004,202.413,(E1),,,0.778,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
39.39,0.02,3.3125,0.42943276540105785,0.00000000334,39.384,35640,0.0,M1+E2,0.222,4,11.9,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
45.38,0.05,4.5,3.2945561157764485,,132.195,0.0000000011,86.767,E1,,,0.467,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
47.37,0.02,2.25,0.36796738985948196,0.0000000011,86.767,0.00000000334,39.384,M1+E2,0.115,10,4.03,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
49.52,0.05,0.075,0.017492855684535902,0.0000000004,136.320,0.0000000011,86.767,M1+E2,0.11,3,3.4,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
66.12,0.03,0.16375,0.021032653184988336,0.0000000004,202.413,0.0000000004,136.320,M1+E2,0.42,5,8.74,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
74.33,0.03,0.04125,0.006210072463345336,,423.33,,349.002,,,,,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
79.72,0.05,0.03,0.004382921400162225,0.000006,234.33,,154.48,E1+M2,0.23,3,3.3,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
86.75,0.02,0.775,0.1002758694801496,0.0000000011,86.767,35640,0.0,E2,,,4.63,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
88.26,0.05,0.02125,0.005612708793443679,0.000000005,224.532,0.0000000004,136.320,M1,,,3.43,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
91.35,0.03,0.075,0.015402921800749363,,440.341,,349.002,M1,,,3.11,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
92.22,0.06,0.0375,0.013285330255586423,0.000000005,224.532,,132.195,[E1],,,0.383,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
96.91,0.02,1.0375,0.13416501034174297,0.0000000004,136.320,0.00000000334,39.384,M1+E2,0.22,4,2.64,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
100.84,0.06,0.0475,0.01722069975349434,,325.406,0.000000005,224.532,[M1 E2],,,2.48,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
101.34,0.07,0.065,0.02381365154695936,,349.002,0.000000001,247.791,[M1 E2],,,2.44,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
102.16,0.03,0.06375,0.010713192801401457,0.000006,234.33,,132.195,E1+M2,0.45,6,3.8,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
103.89,0.02,2.175,0.2842133881434863,0.0000000007,240.196,0.0000000004,136.320,E1,,,0.279,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
108.79,0.02,0.4625,0.06087076473973364,,349.002,0.0000000007,240.196,M1,,,1.88,,67,88,Ho,,0,,5/2+,48,,2,m,2880,120,EC+B+,100,,3116,20,66,89,Dy,21-Oct-2019,N. NICA,2025-02-24
