energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
46.9,1,8.265,2.2562732547278044,,47,78,0.0,(M1),,,6.79,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
74.6,,,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
90.9,0.6,8.091,1.1461492049467208,0.000144,413,,322,(M2),,,11.0,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
275,,,,,,,,,,,,,53,62,I,,0,,(5/2+),1.3,,2,m,78,12,EC+B+,100,,5725,40,52,63,Te,1-Sep-2012,JEAN BLACHOT,2025-02-24
275.3,0.6,28.71,6.775618052989705,,322,,47,[E2],,,0.0533,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
284,,,,,,,,,,,,,53,62,I,,0,,(5/2+),1.3,,2,m,78,12,EC+B+,100,,5725,40,52,63,Te,1-Sep-2012,JEAN BLACHOT,2025-02-24
322.5,0.4,84.39,9.75373774509034,,322,78,0.0,[M1],,,0.0312,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
414,2,2.61,0.3755276288104512,0.000144,413,78,0.0,[E3],,,0.0453,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
460,,,,,,,,,,,,,53,62,I,,0,,(5/2+),1.3,,2,m,78,12,EC+B+,100,,5725,40,52,63,Te,1-Sep-2012,JEAN BLACHOT,2025-02-24
709,,,,,,,,,,,,,53,62,I,,0,,(5/2+),1.3,,2,m,78,12,EC+B+,100,,5725,40,52,63,Te,1-Sep-2012,JEAN BLACHOT,2025-02-24
4.335,,12.198859357488,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
28.318,,30.696798622729816,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
28.613,,57.014856282930566,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
32.395,,16.426260983963804,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
32.68,,20.138595966339622,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24
33.04,,3.7123349823758196,,,,,,,,,,,53,62,I,,564.7,0.3,(9/2+),0.50,,10,ns,0.0000000005,0.0000000001,IT,100,,,,53,62,I,1-Sep-2012,JEAN BLACHOT,2025-02-24

