energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
41,0.5,0.25,0.06,0.000000022,2321.16,,2280.34,E1,,,2.18,,49,69,In,,200,,8-,8.5,,3,s,8.5,0.3,B-,1.4,0.3,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
138.2,0.5,21.59,0.1,8.5,200,267,60,(E3),,,3.56,,49,69,In,,200,,8-,8.5,,3,s,8.5,0.3,IT,98.6,0.3,,,49,69,In,1-Feb-1993,K. KITAO,2025-02-24
186.24,0.23,0.0432,0.010645942889194925,,,,,,,,,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
208.52,0.01,2.6016,0.1118388572902996,,2488.80,,2280.28,M1+E2,-0.17,4,0.0762,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
229.65,0.01,0.75168,0.03290321716793056,,2963.35,,2733.70,[M1 E2],,,0.072,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
237.6,0.5,0.0384,0.019237463450257678,,2280.28,,2042.81,[E2],,,0.0774,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
253.678,0.01,1.3,0.3,,2574.84,0.000000022,2321.16,E2,,,0.0620,,49,69,In,,200,,8-,8.5,,3,s,8.5,0.3,B-,1.4,0.3,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
285.22,0.11,0.07776,0.009902772339097773,,2327.94,,2042.81,[M1 E2],,,0.037,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
298.58,,,,,2056.8,,1758.0,E0,,,,,49,69,In,,0,,1+,5.0,,5,s,5,0.5,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
411.44,0.18,0.03552,0.006811057186663463,,3374.53,,2963.35,[M1 E2],,,0.0130,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
445.98,0.02,5.5296,0.23768483334028698,,2488.80,,2042.81,E2,,,0.0103,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
472.21,0.12,0.19872,0.022936662791260633,,,,,,,,,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
474.57,0.02,2.88,0.13159027319676786,,2963.35,,2488.80,,,,,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
510.5,0.1,0.1248,0.019592090240706836,,2999.27,,2488.80,,,,,,49,69,In,,60,,5+,4.45,,5,m,267,3,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
528,0.5,0.7,0.2973213749463701,,1758.0,,1229.9,,,,,,49,69,In,,0,,1+,5.0,,5,s,5,0.5,B-,100,,4425,8,50,68,Sn,1-Feb-1993,K. KITAO,2025-02-24
