energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
22.45,,0.000257,0.000014,,22.45,,0.0,E2,,,5.54E3,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
26.1,0.1,0.000101,0.000003,4032,26.1,,0.0,M3,,,9.9E5,,77,113,Ir,,26.1,0.1,(1)-,1.120,,3,h,4032,10.8,IT,100,,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
36.184,0.017,2.72,0.17,0.000002,36.184,,0.0,E1,,,1.241,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
38.9,0.1,0.074,0.003,591.6,1705.80,,1666.90,M2+E3,0.10,2,1.23E3,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,EC+B+,91.4,0.2,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
56.128,0.023,1.09,0.07,0.0000000037,227.66,0.0000000037,171.532,M1,,,5.80,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
97.93,0.15,0.09072,0.01328928892002879,,1681.60,,1583.82,M1+E2,0.40,12,5.80,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
116.7,0.1,,,,,,,,,,,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,EC+B+,91.4,0.2,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
135.348,0.014,2.98,0.1,0.0000000037,171.532,0.000002,36.184,E2,,,1.401,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
148.7,0.1,0.0185,0.0013,11113.2,376.4,0.0000000037,227.66,M4,,,475,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
186.68,0.04,49.68,2.5241307414632863,,186.69,,0.0,E2,,,0.420,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
186.7,,64.16,0.14,,186.7,,0.0,E2,,,0.420,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,EC+B+,91.4,0.2,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
190.52,0.2,0.12744,0.024116270441343124,,1872.10,,1681.60,M1,,,0.903,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
196.85,0.15,3.24,0.3405891953659129,,1583.82,,1386.91,E2+M1,1.0,5,0.59,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
198.08,0.2,1.836,0.22404519633323985,,755.92,,557.93,E2+M1,-9,4,0.349,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
199.3,0.3,0.216,0.0651769898046849,,955.24,,755.92,E2,,,0.336,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
205.206,0.026,1.34,0.07,0.0000000037,227.66,,22.45,E1,,,0.0640,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,IT,8.6,0.2,,,77,113,Ir,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
206.6,0.1,,,,,,,,,,,,77,113,Ir,,376.4,0.1,11-,3.087,,12,h,11113.2,43.2,EC+B+,91.4,0.2,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
207.91,0.06,1.1232,0.15551977366238673,,755.92,,547.88,E2(+M1),-16,13,0.293,,77,113,Ir,,0,,4-,11.78,,10,d,1017792,8640,EC+B+,100,,1954.2,15,76,114,Os,15-Oct-2020,Balraj Singh and {+1} and Jun Chen{+2},2025-02-24
