energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
220.632,0.005,4.80004,0.061758409953624936,,593.394,,372.762,M1+E2,-0.09,4,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
372.76,0.007,86.8,0.2,,372.762,,0,M1+E2,-0.161,14,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
396.861,0.006,11.8482,0.08275279088949206,,990.257,,593.394,E1(+M2),-0.1,1,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
404.214,0.013,0.36456,0.013047068636287617,,1394.473,,990.257,M1+E2,0.32,5,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
593.39,0.006,11.25796,0.08231414216281428,,593.394,,0,E2(+M3),0,AP,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
617.49,0.006,79.1616,0.6343875156400857,,990.257,,372.762,E1(+M2),-0.015,17,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
801.07,0.013,0.14756,0.013024438567554458,,1394.473,,593.394,E1(+M2),-0.03,4,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
990.245,0.008,0.28644,0.03472627247488564,,990.257,,0,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
1021.698,0.013,1.96168,0.026429377593882152,,1394.473,,372.762,E1(+M2),0.11,12,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
1394.448,0.014,0.131068,0.007817835250246707,,1394.473,,0,E1(+M2),0,AP,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
0.358,,0.0002488844306505102,0.000049693442480969935,,,,,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
3.688,,0.003316026156160955,0.00009587413031410781,,,,,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
3.692,,0.006552116491130122,0.00018665177595198165,,,,,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
4.013,,0.0012789112870889236,0.00004287159755872105,,,,,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24
4.013,,0.0012789112870889236,0.00004287159755872105,,,,,,,,,,19,24,K,,0,,3/2+,22.3,,1,h,80280,360,B-,100,,1833.5,5,20,23,Ca,31-Mar-2015,BALRAJ SINGH AND JUN CHEN{+#},2025-02-24

