energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
27.513,0.014,1.9376,0.16487182900665595,,27.515,,0,M1(+E2),0.07,5,6.4,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
28.26,0.11,0.02768,0.010458623236353817,,390.547,,362.240,[M1],,,5.42,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
122.27,0.06,0.19722,0.011448178894479244,,390.547,,268.24,[E2],,,0.463,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
165.98,0.04,3.10362,0.19938041629006598,,362.240,,196.292,M1+E2,0.74,10,0.077,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
168.5,0.2,0.00692,0.00032,,196.292,,27.515,,,,,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
176.71,0.17,0.02422,0.0070100499284955166,,,,,,,,,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
196.301,0.01,25.9846,1.2139899340604106,,196.292,,0,M1+E2,0.92,15,0.050,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
240.71,0.04,0.25258,0.013576037713559874,,268.24,,27.515,,,,,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
268.24,,0.03,0.014,,268.24,,0,[E2],,,0.0268,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
311.69,0.03,0.10726,0.008513988489538849,,1915.52,,1603.83,,,,,,36,52,Kr,,0,,0+,2.825,,19,h,10170,68.4,B-,100,,2917.7,26,37,51,Rb,1-Nov-2013,E.A. McCutchan and A.A. Sonzogni,2025-02-24
