energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
117,0.5,,,,2056.02,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
255.93,0.09,,,0.000000000141,255.96,6000,0.0,E2,,,0.0755,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
312.5,0.1,,,,1295.96,,983.41,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
313.3,0.1,,,,2056.02,,1742.54,M1+E2,-2.0,11,0.0402,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
316.4,0.3,,,,2255.12,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
346.5,0.5,,,,2100.28,,1753.80,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
351.9,0.2,,,,2407.93,,2056.02,Q,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
362.7,0.1,,,,1236.20,,873.55,E2(+M1),,,0.0273,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
397,0.5,,,,1742.54,,1345.39,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
408.4,0.5,,,,1753.80,,1345.39,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
422.4,0.5,,,,1295.96,,873.55,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
455,0.1,,,,711.03,0.000000000141,255.96,E2,,,0.01283,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
457.8,0.3,,,,1753.80,,1295.96,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
462.5,0.3,,,,1807.90,,1345.39,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
469.2,0.5,,,,2407.93,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
471.8,0.1,,,,1345.39,,873.55,E2,,,0.01158,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
475.3,0.5,,,,1807.90,,1332.46,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
505.1,0.2,,,,2247.55,,1742.54,E2(+M1),,,0.0112,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
517.6,0.2,,,,1753.80,,1236.20,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
520.3,0.2,,,,2459.11,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
520.7,0.3,,,,2576.77,,2056.02,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
525.2,0.1,,,,1236.20,,711.03,M1+E2,-1.7,2,0.0095,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
544.8,0.1,,,,1890.20,,1345.39,Q,,,0.00788,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
554.3,0.5,,,,,,,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
557.8,0.5,,,,1890.20,,1332.46,(M1+E2),2.8,17,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
560.2,0.3,,,,2499.13,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
571.7,0.2,,,,1807.90,,1236.20,Q,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
573.5,0.5,,,,2512.26,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
573.7,0.5,,,,1810.11,,1236.20,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
584.9,0.2,,,,1295.96,,711.03,(E2),,,0.00653,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
606.4,0.1,,,,1938.84,,1332.46,E1,,,0.00212,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
617.5,0.1,,,,873.55,0.000000000141,255.96,M1+E2,5,2,0.00577,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
621.4,0.1,,,,1332.46,,711.03,E2,,,0.00559,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
627.7,0.5,,,,2566.31,,1938.84,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
628.2,0.1,,,,2684.31,,2056.02,,,,,,57,69,La,V,0,,(4 5),54,,2,s,54,2,EC+B+,0,,7696,91,56,70,Ba,1-Oct-2021,H. Iimura and  J.Katakura and  S. Ohya,2025-02-24
