energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
44.52,0.1,0.865,0.016,,44.51,,0.0,E2,,,114.6,,71,99,Lu,,92.91,0.09,(4)-,0.67,,10,s,0.67,0.1,IT,100,,,,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
48.42,0.1,0.44634,0.008256,0.67,92.91,,44.51,M2,,,223,,71,99,Lu,,92.91,0.09,(4)-,0.67,,10,s,0.67,0.1,IT,100,,,,71,99,Lu,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
84.262,0.004,8.7165,0.5683396871590088,0.00000000158,84.262,,0.0,E2,,,6.28,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
118.8,0.15,0.032184,0.0033867767862674385,,1425.24,,1306.39,[E1],,,0.217,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
119.9,0.2,0.006705,0.000722821035941816,,2939.73,,2819.77,[M1 E2],,,1.81,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
134.05,0.15,0.012516,0.0014325840289490875,,3099.64,,2965.66,[E1],,,0.1579,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
142.5,0.15,0.009387,0.0009706286622596718,,3258.18,,3115.58,[E1],,,0.1344,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
152.6,0.03,0.27267,0.014159237267593194,,2819.77,,2667.19,[E1],,,0.1123,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
160.2,,,,,1228.84,,1069.36,E0,,,7,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
166.7,0.2,0.0060345,0.0007131754692920951,,3123.94,,2956.55,[E1],,,0.0890,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
166.7,0.2,0.0060345,0.0007131754692920951,,2367.65,,2200.91,[M1 E2],,,0.64,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
170.8,0.2,0.003129,0.00046441899185972144,,3146.03,,2975.32,,,,,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
170.8,0.2,0.003129,0.00046441899185972144,,3213.27,,3042.46,,,,,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
193.13,0.05,2.06961,0.10696381677932029,,277.44,0.00000000158,84.262,E2,,,0.302,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
199.65,0.15,0.00894,0.0009637613812557547,,3291.82,,3091.93,[E1],,,0.0557,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
199.65,0.15,0.00894,0.0009637613812557547,,2947.84,,2748.08,[M1],,,0.478,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
201.75,0.15,0.015645,0.0014816143222849865,,1566.38,,1364.53,[E1],,,0.0542,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
205.55,0.2,0.0078225,0.0007408071611424932,,1717.95,,1512.37,(M1+E2),,,0.34,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
209.9,0.2,0.0073755,0.0007333343371205251,,3301.95,,3091.93,,,,,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
220.9,0.15,0.0189975,0.0010172488633564552,,2496.20,,2275.49,[M1 E2],,,0.28,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
222.4,0.15,0.04023,0.002103017118332611,,3314.42,,3091.93,[M1],,,0.355,,71,99,Lu,,0,,0+,2.012,,30,d,173836.8,2592,EC+B+,100,,3458,17,70,100,Yb,1-Oct-2018,C.M. Baglin{+1} and  E.A. McCutchan{+2} and  S. Basunia{+1,2025-02-24
