energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
31,2,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
44.5,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
50,,,,,50.9+X,,0+X,(M1),,,,,101,150,Md,,0,,7/2-,4.27,,11,m,256.2,6.6,A,10,1,7963,4,99,148,Es,31-Mar-2014,C. D. NESARAJA,2025-02-24
53,2,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
64,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
71.5,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
84,2,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
97,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
108,2,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
168,2,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
216,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
233.5,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
242.7,0.3,,,,293.69+X,,50.9,(E1),,,,,101,150,Md,,0,,7/2-,4.27,,11,m,256.2,6.6,A,10,1,7963,4,99,148,Es,31-Mar-2014,C. D. NESARAJA,2025-02-24
265,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
290,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
293.7,0.1,,,,293.69+X,,0+X,(E1),,,,,101,150,Md,,0,,7/2-,4.27,,11,m,256.2,6.6,A,10,1,7963,4,99,148,Es,31-Mar-2014,C. D. NESARAJA,2025-02-24
317,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
390,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24
468,1,,,,,,,,,,,,101,150,Md,,844,,(23/2+),1.4,,3,s,1.4,0.3,IT,100,,,,101,150,Md,23-Sep-2022,C. Morse,2025-02-24

