energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
222,,,,,956,,734,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-N,14,2,7991,8,13,19,Al,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
223,,,,,1179,,956,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-N,14,2,7991,8,13,19,Al,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
596,,5,1,,4310.3,,3714.2,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
734,,,,,734,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-N,14,2,7991,8,13,19,Al,24-Aug-2011,CHRISTIAN OUELLET and  BALRAJ SINGH,2025-02-24
1046,,4,1,,4310.3,,3264.5,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
1466,,3,1,,4730.4,,3264.5,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
1618,,16,2,,1617.9,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
1647,,7,1,,3264.5,,1617.9,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
1838,,9,2,,1838.2,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
2096,,9,2,,3714.2,,1617.9,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
2365,,7,1,,2365.1,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
2692,,4,2,,4310.3,,1617.9,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
2892,,3,1,,4730.4,,1838.2,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
3714,,8,2,,3714.2,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24
4730,,10,3,,4730.4,,0,,,,,,12,21,Mg,,0,,3/2-,90.5,,16,ms,0.0905,0.0016,B-,100,,13460,7,13,20,Al,31-Mar-2011,JUN CHEN AND BALRAJ SINGH,2025-02-24

