energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
93.8,,6.4,,0.00000000078,451.2,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
229.9,,0.22,,,681.3,0.00000000078,451.2,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
268.1,,0.78,,,625.7,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
323.7,,0.81,,,681.3,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
357.2,,49,,0.00000000011,357.5,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
424.4,,1.6,,,875.8,0.00000000078,451.2,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
451.1,,7.4,,0.00000000078,451.2,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
455.5,,0.93,,,906.7,0.00000000078,451.2,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
507,,6.9,,,1132.8,,625.7,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
549.2,,0.37,,,906.7,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
625.7,,7.8,,,625.7,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
658.6,,1.8,,,1534.5,,875.8,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
681.7,,1.8,,,681.3,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
681.7,,1.8,,,1132.8,0.00000000078,451.2,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
775.5,,6.4,,,1132.8,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
820.8,,0.78,,,1178.3,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
908.8,,0.74,,,1534.5,,625.7,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
1083.4,,0.28,,,1534.5,0.00000000078,451.2,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
1132.8,,17,,,1132.8,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
1177,,2.7,,,1534.5,0.00000000011,357.5,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
1464,1,,,,,,,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24
1542.6,,0.98,,,1542.6,6.1,0.0,,,,,,25,38,Mn,,0,,5/2(-),0.276,,6,s,0.276,0.006,B-,100,,8749,6,26,37,Fe,30-Sep-2023,Jun Chen,2025-02-24

