energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
45.8,0.2,,,,45.80,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
83.4,0.2,,,,83.38,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
93,1,,,,138.9,,45.80,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
95,1,,,,178.3,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
150.8,0.5,,,,620.77,,469.83,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
172,1,,,,691.59,,519.22,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
176,1,,,,259.0,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
200.5,0.5,,,,687.62,,487.1,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
204.5,0.5,,,,691.59,,487.1,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
205,1,,,,383.2,,178.3,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
217.8,0.2,,,,687.62,,469.83,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
259,1,,,,259.0,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
299.8,0.5,,,,383.2,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
308.5,0.5,,,,691.59,,383.2,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
330.9,0.5,,,,469.83,,138.9,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
383.2,0.5,,,,383.2,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
404,1,,,,487.1,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
417.3,0.5,,,,887.2,,469.83,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
423.91,0.017,,,,469.83,,45.80,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
429,1,,,,687.62,,259.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
436,1,,,,519.22,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
469.8,0.2,,,,469.83,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
487,1,,,,487.1,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
519.2,0.2,,,,519.22,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
547.7,0.5,,,,686.6,,138.9,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
574.8,0.5,,,,620.77,,45.80,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
599,0.5,,,,1219.85,,620.77,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
608.2,0.2,,,,691.59,,83.38,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
616,1,,,,1085.95,,469.83,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
620.8,0.2,,,,620.77,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
641.8,0.5,,,,687.62,,45.80,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
687.6,0.2,,,,687.62,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
691.6,0.2,,,,691.59,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
750,0.2,,,,1219.85,,469.83,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
887.3,0.5,,,,887.2,,0.0,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
1040.2,0.2,,,,1085.95,,45.80,,,,,,42,61,Mo,,0,,(3/2+),67.5,,15,s,67.5,1.5,B-,100,,3650,13,43,60,Tc,1-Mar-2009,D. DE FRENNE,2025-02-24
