energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
240.12,0.11,0.0079264,0.0005944848445503047,,5715.93,,5475.59,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
409.22,0.2,0.00118896,0.000594480109002816,,6125.00,,5715.93,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
409.22,0.2,0.0009908,0.0005944800756964021,,4350.02,,3941.48,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
424.3,0.3,0.00138712,0.0002972402967297671,,5715.93,,5291.65,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
456,0.4,0.00118896,0.00039632016350420527,,5291.65,,4834.92,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
485.05,0.09,0.056971,0.0008918868318906833,,4834.92,,4350.02,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
502.73,0.09,0.054494,0.0007928117176227909,,4834.92,,4332.02,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
551.28,0.13,0.00455768,0.00039632240259667383,,4901.16,,4350.02,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
569.67,0.25,0.00188252,0.0002972405465275557,,4901.16,,4332.02,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
582.46,0.21,0.002477,0.0004954005677227268,,4901.16,,4319.17,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
640.5,0.3,0.00138712,0.00039632022254737395,,5475.59,,4834.92,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
833.26,0.1,0.04963908,0.000792782486247016,,6125.00,,5291.65,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
892.85,0.19,0.00525124,0.000693561822550809,,4834.92,,3941.48,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
958.81,0.12,0.0108988,0.0012880442273462507,,4901.16,,3941.48,,,,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
1002.61,0.12,1.2702056,0.007935725179213303,,3941.48,,2938.26,M1+E2,-0.05,4,,,11,15,Na,,0,,3+,1.07128,,25,s,1.07128,0.00025,B-,100,,9354,4,12,14,Mg,1-Feb-2016,M.S. Basunia and A.M. Hurst,2025-02-24
